Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,16,4,AFG,1,0,0.6,0.29,,60
Albania,16,8,ALB,1,0,2.27,3.5,,51
Algeria,16,12,DZA,1,0,0.69,0.69,,158
Angola,16,24,AGO,1,0,0.88,0.42,,72
Azerbaijan,16,31,AZE,1,0,1.06,1.2,,62
Argentina,16,32,ARG,1,0,3.43,4.25,,954
Australia,16,36,AUS,1,0,45.9,83.99,,10902
Austria,16,40,AUT,1,0,14.18,27.08,,1212
Bahamas,16,44,BHS,1,0,1.21,1.54,,3
Bahrain,16,48,BHR,1,0,0.13,0.09,,1
Bangladesh,16,50,BGD,1,0,0.33,0.28,,240
Armenia,16,51,ARM,1,0,2.2,2.79,,39
Barbados,16,52,BRB,1,0,0,0,,0
Belgium,16,56,BEL,1,0,17.17,31.2,,1807
Bhutan,16,64,BTN,1,0,0,0,,0
Bolivia,16,68,BOL,1,0,1.98,1.71,,103
Bosnia Herzegovina,16,70,BIH,1,0,7.31,12.57,,200
Botswana,16,72,BWA,1,0,1.7,1.1,,13
Brazil,16,76,BRA,1,0,3.63,4.69,,4958
Belize,16,84,BLZ,1,0,4.21,3.42,,7
Solomon Islands,16,90,SLB,1,0,0,0,,0
Brunei Darussalam,16,96,BRN,1,0,0,0,,0
Bulgaria,16,100,BGR,1,0,3.83,7.4,,246
Myanmar,16,104,MMR,1,0,0.34,0.29,,76
Burundi,16,108,BDI,1,0,0.53,0.22,,14
Belarus,16,112,BLR,1,0,6.45,9.81,,431
Cambodia,16,116,KHM,1,0,0.59,0.39,,33
Cameroon,16,120,CMR,1,0,1.38,0.53,,74
Canada,16,124,CAN,1,0,15.85,33.75,,6434
Cape Verde,16,132,CPV,1,0,0.57,0.7,,2
Central African Republic,16,140,CAF,1,0,1.16,0.44,,11
Sri Lanka,16,144,LKA,1,0,0.39,0.52,,54
Chad,16,148,TCD,1,0,0.92,0.46,,40
Chile,16,152,CHL,1,0,4.12,5.89,,559
China,16,160,CHN,1,0,0.37,0.61,,4402
Colombia,16,170,COL,1,0,2.84,3.42,,865
Comoros,16,174,COM,1,0,0,0,,0
"Congo, Republic of",16,178,COG,1,0,2.22,0.86,,25
"Congo, Democratic Republic of",16,180,COD,1,0,1.57,0.69,,327
Costa Rica,16,188,CRI,1,0,2.14,2.98,,77
Croatia,16,191,HRV,1,0,14.8,28.53,,559
Cuba,16,192,CUB,1,0,1.2,2.17,,122
Cyprus,16,196,CYP,1,0,5.87,9.81,,60
Czechia,16,203,CZE,1,0,15.33,28.92,,1530
Benin,16,204,BEN,1,0,0.49,0.17,,11
Denmark,16,208,DNK,1,0,26.85,50.45,,1463
Dominican Republic,16,214,DOM,1,0,0.58,0.6,,33
Ecuador,16,218,ECU,1,0,2.73,2.79,,253
El Salvador,16,222,SLV,1,0,0.81,0.85,,26
Equatorial Guinea,16,226,GNQ,1,0,0,0,,0
Ethiopia,16,231,ETH,1,0,0.35,0.2,,120
Eritrea,16,232,ERI,1,0,0.4,0.22,,4
Estonia,16,233,EST,1,0,10.62,18.15,,114
Fiji,16,242,FJI,1,0,0.25,0.22,,1
Finland,16,246,FIN,1,0,19.96,42.35,,1161
France (metropolitan),16,250,FRA,1,0,14.45,24.82,,7880
French Guyana,16,254,GUF,1,0,2.84,2.57,,4
French Polynesia,16,258,PYF,1,0,4.63,6.26,,9
Djibouti,16,262,DJI,1,0,0,0,,0
Gabon,16,266,GAB,1,0,0,0,,0
Georgia,16,268,GEO,1,0,4.61,6.82,,129
The Republic of the Gambia,16,270,GMB,1,0,0,0,,0
Gaza Strip and West Bank,16,275,PSE,1,0,0.73,0.48,,13
Germany,16,276,DEU,1,0,13.41,28.11,,11667
Ghana,16,288,GHA,1,0,0,0,,0
Greece,16,300,GRC,1,0,8.39,16.47,,834
"France, Guadeloupe",16,312,GLP,1,0,2.32,4.34,,8
Guam,16,316,GUM,1,0,0,0,,0
Guatemala,16,320,GTM,1,0,0.64,0.44,,40
Guinea,16,324,GIN,1,0,0.23,0.09,,6
Guyana,16,328,GUY,1,0,0,0,,0
Haiti,16,332,HTI,1,0,0.28,0.23,,13
Honduras,16,340,HND,1,0,0.63,0.45,,23
Hungary,16,348,HUN,1,0,8.31,15.03,,688
