Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,18,4,AFG,1,0,0.08,0.05,,11
Albania,18,8,ALB,1,0,0.87,1.23,,18
Algeria,18,12,DZA,1,0,0.22,0.22,,50
Angola,18,24,AGO,1,0,0,0,,0
Azerbaijan,18,31,AZE,1,0,0.31,0.33,,17
Argentina,18,32,ARG,1,0,0.47,0.61,,136
Australia,18,36,AUS,1,0,2.8,5.99,,777
Austria,18,40,AUT,1,0,0.84,2.03,,91
Bahamas,18,44,BHS,1,0,0,0,,0
Bahrain,18,48,BHR,1,0,1.45,0.52,,6
Bangladesh,18,50,BGD,1,0,0,0,,3
Armenia,18,51,ARM,1,0,0.49,0.72,,10
Barbados,18,52,BRB,1,0,0,0,,0
Belgium,18,56,BEL,1,0,1.92,4.64,,269
Bhutan,18,64,BTN,1,0,0,0,,0
Bolivia,18,68,BOL,1,0,0.14,0.13,,8
Bosnia Herzegovina,18,70,BIH,1,0,0.3,0.63,,10
Botswana,18,72,BWA,1,0,0,0,,0
Brazil,18,76,BRA,1,0,0.08,0.1,,102
Belize,18,84,BLZ,1,0,0,0,,0
Solomon Islands,18,90,SLB,1,0,0,0,,0
Brunei Darussalam,18,96,BRN,1,0,0,0,,0
Bulgaria,18,100,BGR,1,0,0.61,1.11,,37
Myanmar,18,104,MMR,1,0,0.03,0.03,,7
Burundi,18,108,BDI,1,0,0.09,0.05,,3
Belarus,18,112,BLR,1,0,0.37,0.59,,26
Cambodia,18,116,KHM,1,0,0.01,0.01,,1
Cameroon,18,120,CMR,1,0,0.11,0.06,,8
Canada,18,124,CAN,1,0,1.06,2.97,,567
Cape Verde,18,132,CPV,1,0,0,0,,0
Central African Republic,18,140,CAF,1,0,0,0,,0
Sri Lanka,18,144,LKA,1,0,0.04,0.04,,4
Chad,18,148,TCD,1,0,0.55,0.18,,16
Chile,18,152,CHL,1,0,0.36,0.57,,54
China,18,160,CHN,1,0,0.11,0.18,,1288
Colombia,18,170,COL,1,0,0.29,0.36,,90
Comoros,18,174,COM,1,0,0,0,,0
"Congo, Republic of",18,178,COG,1,0,0,0,,0
"Congo, Democratic Republic of",18,180,COD,1,0,0.09,0.05,,24
Costa Rica,18,188,CRI,1,0,0.08,0.12,,3
Croatia,18,191,HRV,1,0,1.94,4.59,,90
Cuba,18,192,CUB,1,0,0.08,0.14,,8
Cyprus,18,196,CYP,1,0,0.83,1.63,,10
Czechia,18,203,CZE,1,0,0.36,0.87,,46
Benin,18,204,BEN,1,0,0,0,,0
Denmark,18,208,DNK,1,0,1.63,4.24,,123
Dominican Republic,18,214,DOM,1,0,0.07,0.09,,5
Ecuador,18,218,ECU,1,0,0.14,0.14,,13
El Salvador,18,222,SLV,1,0,0,0,,0
Equatorial Guinea,18,226,GNQ,1,0,0,0,,0
Ethiopia,18,231,ETH,1,0,0.03,0.01,,8
Eritrea,18,232,ERI,1,0,0,0,,0
Estonia,18,233,EST,1,0,0.23,0.48,,3
Fiji,18,242,FJI,1,0,0,0,,0
Finland,18,246,FIN,1,0,0.99,2.95,,81
France (metropolitan),18,250,FRA,1,0,1.21,3.61,,1147
French Guyana,18,254,GUF,1,0,0.75,0.64,,1
French Polynesia,18,258,PYF,1,0,0,0,,0
Djibouti,18,262,DJI,1,0,0,0,,0
Gabon,18,266,GAB,1,0,0.1,0.08,,1
Georgia,18,268,GEO,1,0,0.26,0.42,,8
The Republic of the Gambia,18,270,GMB,1,0,0,0,,0
Gaza Strip and West Bank,18,275,PSE,1,0,0.26,0.15,,4
Germany,18,276,DEU,1,0,1.21,3.49,,1448
Ghana,18,288,GHA,1,0,0.06,0.05,,8
Greece,18,300,GRC,1,0,0.44,1.15,,58
"France, Guadeloupe",18,312,GLP,1,0,0,0,,0
Guam,18,316,GUM,1,0,0,0,,0
Guatemala,18,320,GTM,1,0,0,0,,0
Guinea,18,324,GIN,1,0,0.01,0.01,,1
Guyana,18,328,GUY,1,0,0,0,,0
Haiti,18,332,HTI,1,0,0.09,0.07,,4
Honduras,18,340,HND,1,0,0.29,0.2,,10
Hungary,18,348,HUN,1,0,0.5,0.98,,45
Iceland,18,352,ISL,1,0,0.79,1.73,,3
India,18,356,IND,1,0,0.12,0.11,,820
Indonesia,18,360,IDN,1,0,0.17,0.14,,201
"Iran, Islamic Republic of",18,364,IRN,1,0,0.08,0.09,,38
Iraq,18,368,IRQ,1,0,0.18,0.09,,20
Ireland,18,372,IRL,1,0,0.96,2.05,,51
Israel,18,376,ISR,1,0,0.59,0.85,,38
Italy,18,380,ITA,1,0,1.76,5.64,,1658
"Côte d'Ivoire",18,384,CIV,1,0,0.29,0.13,,18
Jamaica,18,388,JAM,1,0,0.12,0.14,,2
Japan,18,392,JPN,1,0,0.99,2.9,,1776
Kazakhstan,18,398,KAZ,1,0,0.32,0.32,,30
Jordan,18,400,JOR,1,0,0.3,0.21,,11
Kenya,18,404,KEN,1,0,0.02,0.01,,2
"Korea, Democratic People Republic of",18,408,PRK,1,0,0.22,0.27,,34
"Korea, Republic of",18,410,KOR,1,0,0.31,0.62,,160
Kuwait,18,414,KWT,1,0,0.57,0.52,,14
Kyrgyzstan,18,417,KGZ,1,0,0.08,0.06,,2
"Lao People's Democratic Republic",18,418,LAO,1,0,0,0,,0
Lebanon,18,422,LBN,1,0,0.62,0.71,,24
Lesotho,18,426,LSO,1,0,0.32,0.19,,2
Latvia,18,428,LVA,1,0,0.1,0.23,,2
Liberia,18,430,LBR,1,0,0.09,0.04,,1
Libya,18,434,LBY,1,0,0.27,0.23,,8
Lithuania,18,440,LTU,1,0,0.18,0.41,,5
Luxembourg,18,442,LUX,1,0,1.3,2.46,,8
Madagascar,18,450,MDG,1,0,0.11,0.08,,11
Malawi,18,454,MWI,1,0,0,0,,0
Malaysia,18,458,MYS,1,0,0.09,0.09,,16
Maldives,18,462,MDV,1,0,0,0,,0
Mali,18,466,MLI,1,0,0.1,0.05,,5
Malta,18,470,MLT,1,0,1.73,5.39,,12
"France, Martinique",18,474,MTQ,1,0,0,0,,0
