Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,35,4,AFG,1,0,0.67,0.32,,66
Albania,35,8,ALB,1,0,1.85,3.02,,44
Algeria,35,12,DZA,1,0,1.82,1.77,,405
Angola,35,24,AGO,1,0,0.7,0.28,,49
Azerbaijan,35,31,AZE,1,0,1.54,1.73,,89
Argentina,35,32,ARG,1,0,2.07,2.56,,576
Australia,35,36,AUS,1,0,4.55,9.15,,1188
Austria,35,40,AUT,1,0,2.78,6.32,,283
Bahamas,35,44,BHS,1,0,5.35,6.16,,12
Bahrain,35,48,BHR,1,0,0.75,0.43,,5
Bangladesh,35,50,BGD,1,0,0.64,0.58,,495
Armenia,35,51,ARM,1,0,1.04,1.43,,20
Barbados,35,52,BRB,1,0,6.07,10.74,,15
Belgium,35,56,BEL,1,0,4.23,9.31,,539
Bhutan,35,64,BTN,1,0,0.6,0.48,,2
Bolivia,35,68,BOL,1,0,0.57,0.52,,31
Bosnia Herzegovina,35,70,BIH,1,0,1.33,2.77,,44
Botswana,35,72,BWA,1,0,1.32,0.84,,10
Brazil,35,76,BRA,1,0,2.36,2.99,,3161
Belize,35,84,BLZ,1,0,0,0,,0
Solomon Islands,35,90,SLB,1,0,1.62,1.09,,4
Brunei Darussalam,35,96,BRN,1,0,1.41,1.3,,3
Bulgaria,35,100,BGR,1,0,1.55,3.1,,103
Myanmar,35,104,MMR,1,0,0.45,0.4,,107
Burundi,35,108,BDI,1,0,1.07,0.4,,25
Belarus,35,112,BLR,1,0,2.5,3.98,,175
Cambodia,35,116,KHM,1,0,1.08,0.64,,54
Cameroon,35,120,CMR,1,0,0.91,0.42,,59
Canada,35,124,CAN,1,0,6.44,14.58,,2780
Cape Verde,35,132,CPV,1,0,1.62,1.4,,4
Central African Republic,35,140,CAF,1,0,1.51,0.64,,16
Sri Lanka,35,144,LKA,1,0,1.87,2.73,,282
Chad,35,148,TCD,1,0,0.3,0.13,,11
Chile,35,152,CHL,1,0,3.39,5.28,,501
China,35,160,CHN,1,0,1.36,2.33,,16803
Colombia,35,170,COL,1,0,2.67,3.19,,806
Comoros,35,174,COM,1,0,0,0,,0
"Congo, Republic of",35,178,COG,1,0,1.41,0.69,,20
"Congo, Democratic Republic of",35,180,COD,1,0,1.34,0.62,,295
Costa Rica,35,188,CRI,1,0,1.84,2.55,,66
Croatia,35,191,HRV,1,0,5.09,11.48,,225
Cuba,35,192,CUB,1,0,2,4.01,,225
Cyprus,35,196,CYP,1,0,4.88,9.32,,57
Czechia,35,203,CZE,1,0,2.87,6.2,,328
Benin,35,204,BEN,1,0,0.83,0.41,,26
Denmark,35,208,DNK,1,0,5.7,13.24,,384
Dominican Republic,35,214,DOM,1,0,1.75,1.81,,100
Ecuador,35,218,ECU,1,0,1.66,1.73,,157
El Salvador,35,222,SLV,1,0,0.85,0.88,,27
Equatorial Guinea,35,226,GNQ,1,0,0.35,0.24,,2
Ethiopia,35,231,ETH,1,0,0.61,0.32,,193
Eritrea,35,232,ERI,1,0,1.11,0.65,,12
Estonia,35,233,EST,1,0,4.11,8.12,,51
Fiji,35,242,FJI,1,0,1.29,1.3,,6
Finland,35,246,FIN,1,0,3.34,8.97,,246
France (metropolitan),35,250,FRA,1,0,4.06,9.17,,2912
French Guyana,35,254,GUF,1,0,4.15,3.86,,6
French Polynesia,35,258,PYF,1,0,3.61,4.87,,7
Djibouti,35,262,DJI,1,0,0.31,0.19,,1
Gabon,35,266,GAB,1,0,0.7,0.51,,6
Georgia,35,268,GEO,1,0,1.2,1.8,,34
The Republic of the Gambia,35,270,GMB,1,0,0,0,,0
Gaza Strip and West Bank,35,275,PSE,1,0,3.74,1.88,,51
Germany,35,276,DEU,1,0,3.7,9.07,,3765
Ghana,35,288,GHA,1,0,0.44,0.28,,46
Greece,35,300,GRC,1,0,3.12,7.86,,398
"France, Guadeloupe",35,312,GLP,1,0,6.32,15.75,,29
Guam,35,316,GUM,1,0,0.67,1.16,,1
Guatemala,35,320,GTM,1,0,0.43,0.27,,25
Guinea,35,324,GIN,1,0,0.14,0.09,,6
Guyana,35,328,GUY,1,0,0,0,,0
Haiti,35,332,HTI,1,0,0.31,0.23,,13
Honduras,35,340,HND,1,0,1.81,1.27,,65
Hungary,35,348,HUN,1,0,2.3,4.35,,199
Iceland,35,352,ISL,1,0,3.98,8.64,,15
India,35,356,IND,1,0,1.43,1.37,,10002
Indonesia,35,360,IDN,1,0,1.52,1.47,,2062
"Iran, Islamic Republic of",35,364,IRN,1,0,1.81,1.91,,830
Iraq,35,368,IRQ,1,0,2.63,1.36,,291
Ireland,35,372,IRL,1,0,5.7,10.67,,266
Israel,35,376,ISR,1,0,3.74,5.26,,234
Italy,35,380,ITA,1,0,4.1,11.09,,3258
"Côte d'Ivoire",35,384,CIV,1,0,1.13,0.66,,92
Jamaica,35,388,JAM,1,0,4.86,6.08,,90
Japan,35,392,JPN,1,0,1.93,6.22,,3811
Kazakhstan,35,398,KAZ,1,0,0.74,0.75,,70
Jordan,35,400,JOR,1,0,2.59,1.82,,95
Kenya,35,404,KEN,1,0,2.55,1.18,,329
"Korea, Democratic People Republic of",35,408,PRK,1,0,0.66,0.83,,106
"Korea, Republic of",35,410,KOR,1,0,2.11,4.4,,1129
Kuwait,35,414,KWT,1,0,2.05,1.57,,42
Kyrgyzstan,35,417,KGZ,1,0,0.29,0.18,,6
"Lao People's Democratic Republic",35,418,LAO,1,0,1.01,0.72,,27
Lebanon,35,422,LBN,1,0,3.29,3.8,,128
Lesotho,35,426,LSO,1,0,0.53,0.37,,4
Latvia,35,428,LVA,1,0,3.54,6.92,,59
Liberia,35,430,LBR,1,0,0.58,0.34,,9
Libya,35,434,LBY,1,0,1.81,1.24,,44
Lithuania,35,440,LTU,1,0,3.5,6.9,,85
Luxembourg,35,442,LUX,1,0,2.8,5.54,,18
Madagascar,35,450,MDG,1,0,0.42,0.25,,36
Malawi,35,454,MWI,1,0,0.17,0.1,,10
Malaysia,35,458,MYS,1,0,1.26,1.34,,229
Maldives,35,462,MDV,1,0,0,0,,0
Mali,35,466,MLI,1,0,0.25,0.11,,12
Malta,35,470,MLT,1,0,2.19,7.18,,16
"France, Martinique",35,474,MTQ,1,0,6.98,20.38,,35
Mauritania,35,478,MRT,1,0,1.2,0.65,,16
Mauritius,35,480,MUS,1,0,1.52,2.39,,15
Mexico,35,484,MEX,1,0,1.94,2.01,,1292
Mongolia,35,496,MNG,1,0,0.41,0.36,,6
Moldova,35,498,MDA,1,0,1.5,2.14,,41
Montenegro,35,499,MNE,1,0,1.1,1.93,,6
Morocco,35,504,MAR,1,0,1.64,1.8,,337
Mozambique,35,508,MOZ,1,0,0.3,0.19,,31
Oman,35,512,OMN,1,0,2.09,1.31,,46
Namibia,35,516,NAM,1,0,1.76,0.94,,12
Nepal,35,524,NPL,1,0,0.53,0.45,,63
The Netherlands,35,528,NLD,1,0,4.6,10.96,,940
New Caledonia,35,540,NCL,1,0,5.04,6.85,,10
Vanuatu,35,548,VUT,1,0,0.81,0.61,,1
New Zealand,35,554,NZL,1,0,4.82,9.97,,240
Nicaragua,35,558,NIC,1,0,0.71,0.54,,18
Niger,35,562,NER,1,0,0.13,0.05,,7
Nigeria,35,566,NGA,1,0,1.06,0.47,,513
Norway,35,578,NOR,1,0,5.39,11.4,,318
Pakistan,35,586,PAK,1,0,1.11,0.79,,933
Panama,35,591,PAN,1,0,1.77,2.11,,47
Papua New Guinea,35,598,PNG,1,0,1.18,0.7,,33
Paraguay,35,600,PRY,1,0,1.5,1.4,,52
Peru,35,604,PER,1,0,2.84,3.4,,569
Philippines,35,608,PHL,1,0,0.97,0.77,,435
Poland,35,616,POL,1,0,3.08,6.26,,1145
Portugal,35,620,PRT,1,0,4.37,11.37,,546
Guinea-Bissau,35,624,GNB,1,0,0.27,0.1,,1
Timor-Leste,35,626,TLS,1,0,1.16,0.72,,5
Puerto Rico,35,630,PRI,1,0,3.43,7.84,,105
Qatar,35,634,QAT,1,0,1.03,0.85,,19
"France, La Réunion",35,638,REU,1,0,2.68,4.55,,20
Romania,35,642,ROU,1,0,2.37,4.31,,399
Russian Federation,35,643,RUS,1,0,2.04,3.16,,2133
Rwanda,35,646,RWA,1,0,0.82,0.48,,32
Saint Lucia,35,662,LCA,1,0,2.53,3.29,,3
Sao Tome and Principe,35,678,STP,1,0,0,0,,0
Saudi Arabia,35,682,SAU,1,0,1.16,0.97,,201
Senegal,35,686,SEN,1,0,0.66,0.31,,27
Serbia,35,688,SRB,1,0,2.67,4.74,,201
Sierra Leone,35,694,SLE,1,0,0,0,,0
Singapore,35,702,SGP,1,0,2.58,4.95,,154
Slovakia,35,703,SVK,1,0,3.3,6.02,,160
Viet Nam,35,704,VNM,1,0,0.58,0.65,,319
Slovenia,35,705,SVN,1,0,3.45,8.11,,84
Somalia,35,706,SOM,1,0,1.29,0.57,,48
South Africa,35,710,ZAF,1,0,2.78,2.02,,604
Zimbabwe,35,716,ZWE,1,0,3.22,1.3,,95
Spain,35,724,ESP,1,0,3.16,7.86,,1806
South Sudan,35,728,SSD,1,0,1.28,0.65,,38
Sudan,35,729,SDN,1,0,1.35,0.8,,183
Suriname,35,740,SUR,1,0,2.27,2.34,,7
Eswatini,35,748,SWZ,1,0,0.79,0.51,,3
Sweden,35,752,SWE,1,0,4.66,10.68,,547
Switzerland,35,756,CHE,1,0,3.24,8.43,,367
Syrian Arab Republic,35,760,SYR,1,0,2.83,2.01,,195
Tajikistan,35,762,TJK,1,0,0.39,0.2,,10
Thailand,35,764,THA,1,0,1.26,2.12,,722
Togo,35,768,TGO,1,0,1.02,0.53,,23
Trinidad and Tobago,35,780,TTO,1,0,3.14,4.76,,33
United Arab Emirates,35,784,ARE,1,0,1.33,0.65,,45
Tunisia,35,788,TUN,1,0,1.52,1.84,,110
Türkiye,35,792,TUR,1,0,2.97,3.43,,1448
Turkmenistan,35,795,TKM,1,0,1.28,0.95,,29
Uganda,35,800,UGA,1,0,1.52,0.46,,109
Ukraine,35,804,UKR,1,0,1.45,2.31,,463
North Macedonia,35,807,MKD,1,0,0.92,1.63,,17
Egypt,35,818,EGY,1,0,1.4,1.1,,588
United Kingdom,35,826,GBR,1,0,4.94,11.22,,3801
"Tanzania, United Republic of",35,834,TZA,1,0,0.7,0.3,,95
United States of America,35,840,USA,1,0,5.7,11.02,,18255
Burkina Faso,35,854,BFA,1,0,0.51,0.21,,23
Uruguay,35,858,URY,1,0,2.84,4.61,,78
Uzbekistan,35,860,UZB,1,0,0.12,0.1,,18
Venezuela,35,862,VEN,1,0,1.61,1.74,,251
Samoa,35,882,WSM,1,0,2.3,1.91,,2
Yemen,35,887,YEM,1,0,0.19,0.1,,16
Zambia,35,894,ZMB,1,0,0.1,0.07,,7
