Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,4,4,AFG,1,0,0.56,0.42,,87
Albania,4,8,ALB,1,0,1.34,2.06,,30
Algeria,4,12,DZA,1,0,4.82,4.84,,1109
Angola,4,24,AGO,1,0,0.55,0.42,,73
Azerbaijan,4,31,AZE,1,0,0.68,0.72,,37
Argentina,4,32,ARG,1,0,0.41,0.49,,111
Australia,4,36,AUS,1,0,0.72,1.03,,134
Austria,4,40,AUT,1,0,0.48,0.8,,36
Bahamas,4,44,BHS,1,0,0,0,,0
Bahrain,4,48,BHR,1,0,0.56,0.43,,5
Bangladesh,4,50,BGD,1,0,0.86,0.81,,690
Armenia,4,51,ARM,1,0,0.58,0.72,,10
Barbados,4,52,BRB,1,0,1.26,1.43,,2
Belgium,4,56,BEL,1,0,0.66,0.93,,54
Bhutan,4,64,BTN,1,0,2.28,2.14,,9
Bolivia,4,68,BOL,1,0,0.08,0.07,,4
Bosnia Herzegovina,4,70,BIH,1,0,0.31,0.5,,8
Botswana,4,72,BWA,1,0,0.79,0.68,,8
Brazil,4,76,BRA,1,0,0.52,0.61,,646
Belize,4,84,BLZ,1,0,0,0,,0
Solomon Islands,4,90,SLB,1,0,0.81,0.55,,2
Brunei Darussalam,4,96,BRN,1,0,8.65,9.53,,22
Bulgaria,4,100,BGR,1,0,1.18,2.02,,67
Myanmar,4,104,MMR,1,0,5.11,5.26,,1400
Burundi,4,108,BDI,1,0,1.3,0.7,,44
Belarus,4,112,BLR,1,0,0.35,0.52,,23
Cambodia,4,116,KHM,1,0,3.44,2.7,,226
Cameroon,4,120,CMR,1,0,2.67,1.63,,228
Canada,4,124,CAN,1,0,0.94,1.48,,282
Cape Verde,4,132,CPV,1,0,0,0,,0
Central African Republic,4,140,CAF,1,0,1.83,0.96,,24
Sri Lanka,4,144,LKA,1,0,0.38,0.5,,52
Chad,4,148,TCD,1,0,0.65,0.25,,22
Chile,4,152,CHL,1,0,0.09,0.14,,13
China,4,160,CHN,1,0,3.39,5.08,,36656
Colombia,4,170,COL,1,0,0.4,0.46,,116
Comoros,4,174,COM,1,0,0,0,,0
"Congo, Republic of",4,178,COG,1,0,0.48,0.28,,8
"Congo, Democratic Republic of",4,180,COD,1,0,1.24,0.69,,327
Costa Rica,4,188,CRI,1,0,0.46,0.5,,13
Croatia,4,191,HRV,1,0,0.5,0.82,,16
Cuba,4,192,CUB,1,0,1.3,2.39,,134
Cyprus,4,196,CYP,1,0,0.51,0.65,,4
Czechia,4,203,CZE,1,0,0.44,0.7,,37
Benin,4,204,BEN,1,0,1.03,0.56,,36
Denmark,4,208,DNK,1,0,0.32,0.52,,15
Dominican Republic,4,214,DOM,1,0,0.76,0.76,,42
Ecuador,4,218,ECU,1,0,0.18,0.19,,17
El Salvador,4,222,SLV,1,0,0.02,0.03,,1
