Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,34,4,AFG,1,0,2.69,1.76,,367
Albania,34,8,ALB,1,0,2.67,4.18,,61
Algeria,34,12,DZA,1,0,5.67,5.64,,1293
Angola,34,24,AGO,1,0,3.6,2.85,,494
Azerbaijan,34,31,AZE,1,0,4.33,4.56,,235
Argentina,34,32,ARG,1,0,7.69,8.99,,2019
Australia,34,36,AUS,1,0,14.67,25.86,,3357
Austria,34,40,AUT,1,0,9.96,19.55,,875
Bahamas,34,44,BHS,1,0,7.37,8.73,,17
Bahrain,34,48,BHR,1,0,8.35,5.53,,64
Bangladesh,34,50,BGD,1,0,2.61,2.46,,2086
Armenia,34,51,ARM,1,0,3.94,4.87,,68
Barbados,34,52,BRB,1,0,3.99,7.16,,10
Belgium,34,56,BEL,1,0,12.92,25.8,,1494
Bhutan,34,64,BTN,1,0,0.94,0.71,,3
Bolivia,34,68,BOL,1,0,2.53,2.39,,144
Bosnia Herzegovina,34,70,BIH,1,0,3.95,7.1,,113
Botswana,34,72,BWA,1,0,5.04,4.39,,52
Brazil,34,76,BRA,1,0,4.85,5.83,,6162
Belize,34,84,BLZ,1,0,2.81,2.44,,5
Solomon Islands,34,90,SLB,1,0,2.74,2.45,,9
Brunei Darussalam,34,96,BRN,1,0,10.13,10.4,,24
Bulgaria,34,100,BGR,1,0,4.87,8.16,,271
Myanmar,34,104,MMR,1,0,4.17,3.97,,1058
Burundi,34,108,BDI,1,0,4.91,3.22,,202
Belarus,34,112,BLR,1,0,7.82,11.49,,505
Cambodia,34,116,KHM,1,0,5.15,3.94,,330
Cameroon,34,120,CMR,1,0,7.9,5.36,,748
Canada,34,124,CAN,1,0,13.96,27.32,,5208
Cape Verde,34,132,CPV,1,0,2.23,2.11,,6
Central African Republic,34,140,CAF,1,0,6.28,3.26,,81
Sri Lanka,34,144,LKA,1,0,4.41,5.84,,603
Chad,34,148,TCD,1,0,4.34,3.45,,300
Chile,34,152,CHL,1,0,6.8,9.68,,919
China,34,160,CHN,1,0,4.06,6.31,,45478
Colombia,34,170,COL,1,0,7.58,8.81,,2229
Comoros,34,174,COM,1,0,4.53,3.5,,16
"Congo, Republic of",34,178,COG,1,0,1.62,1.04,,30
"Congo, Democratic Republic of",34,180,COD,1,0,3.65,2.27,,1078
Costa Rica,34,188,CRI,1,0,7.51,9.66,,250
Croatia,34,191,HRV,1,0,12,22.4,,439
Cuba,34,192,CUB,1,0,6.37,9.94,,558
Cyprus,34,196,CYP,1,0,13.02,19.13,,117
Czechia,34,203,CZE,1,0,8.9,17.07,,903
Benin,34,204,BEN,1,0,2.13,1.44,,92
Denmark,34,208,DNK,1,0,16.65,33.97,,985
Dominican Republic,34,214,DOM,1,0,2.83,2.9,,160
Ecuador,34,218,ECU,1,0,8.18,8.45,,765
El Salvador,34,222,SLV,1,0,2.82,3,,92
Equatorial Guinea,34,226,GNQ,1,0,5.25,3.84,,32
Ethiopia,34,231,ETH,1,0,5.1,3.6,,2178
Eritrea,34,232,ERI,1,0,6.86,4.68,,86
Estonia,34,233,EST,1,0,11.72,19.58,,123
Fiji,34,242,FJI,1,0,6.26,6.52,,30
Finland,34,246,FIN,1,0,13.42,29.55,,810
France (metropolitan),34,250,FRA,1,0,14.47,30.61,,9717
French Guyana,34,254,GUF,1,0,8.25,7.72,,12
French Polynesia,34,258,PYF,1,0,8.54,11.13,,16
Djibouti,34,262,DJI,1,0,7.17,6.01,,32
Gabon,34,266,GAB,1,0,4.11,3.46,,41
Georgia,34,268,GEO,1,0,6.19,8.25,,156
The Republic of the Gambia,34,270,GMB,1,0,2.45,2.05,,26
Gaza Strip and West Bank,34,275,PSE,1,0,6.92,4.54,,123
Germany,34,276,DEU,1,0,11.62,25.23,,10475
Ghana,34,288,GHA,1,0,5.89,4.79,,786
Greece,34,300,GRC,1,0,10.17,20.12,,1019
"France, Guadeloupe",34,312,GLP,1,0,7.69,13.03,,24
Guam,34,316,GUM,1,0,6,8.1,,7
Guatemala,34,320,GTM,1,0,2.87,2.14,,196
Guinea,34,324,GIN,1,0,3.07,2.17,,146
Guyana,34,328,GUY,1,0,7.51,7.5,,30
Haiti,34,332,HTI,1,0,5.82,4.89,,282
Honduras,34,340,HND,1,0,6.55,4.97,,254
