Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,17,4,AFG,1,0,2.71,1.22,,255
Albania,17,8,ALB,1,0,6.54,13.09,,191
Algeria,17,12,DZA,1,0,3.58,3.6,,826
Angola,17,24,AGO,1,0,2.99,1.92,,333
Azerbaijan,17,31,AZE,1,0,3.9,4.19,,216
Argentina,17,32,ARG,1,0,7.55,10.27,,2306
Australia,17,36,AUS,1,0,169.95,272.76,,35403
Austria,17,40,AUT,1,0,22.33,64.32,,2879
Bahamas,17,44,BHS,1,0,5.71,6.16,,12
Bahrain,17,48,BHR,1,0,1.01,0.69,,8
Bangladesh,17,50,BGD,1,0,0.92,0.84,,714
Armenia,17,51,ARM,1,0,3.14,4.44,,62
Barbados,17,52,BRB,1,0,4.87,7.16,,10
Belgium,17,56,BEL,1,0,28.78,82.47,,4776
Bhutan,17,64,BTN,1,0,1.67,1.43,,6
Bolivia,17,68,BOL,1,0,5.34,6,,361
Bosnia Herzegovina,17,70,BIH,1,0,7.84,16.72,,266
Botswana,17,72,BWA,1,0,5.68,4.05,,48
Brazil,17,76,BRA,1,0,15.44,20.42,,21587
Belize,17,84,BLZ,1,0,10.66,9.28,,19
Solomon Islands,17,90,SLB,1,0,0.81,0.55,,2
Brunei Darussalam,17,96,BRN,1,0,5.8,5.63,,13
Bulgaria,17,100,BGR,1,0,8.36,21.16,,703
Myanmar,17,104,MMR,1,0,3.43,3.02,,803
Burundi,17,108,BDI,1,0,1.8,0.85,,53
Belarus,17,112,BLR,1,0,8.53,13.92,,612
Cambodia,17,116,KHM,1,0,2.64,1.81,,152
Cameroon,17,120,CMR,1,0,2.14,1.15,,161
Canada,17,124,CAN,1,0,67.3,181.39,,34574
Cape Verde,17,132,CPV,1,0,4.09,2.46,,7
Central African Republic,17,140,CAF,1,0,1.42,0.64,,16
Sri Lanka,17,144,LKA,1,0,1.79,2.34,,242
Chad,17,148,TCD,1,0,0.35,0.26,,23
Chile,17,152,CHL,1,0,10.72,18.68,,1774
China,17,160,CHN,1,0,1.9,3.28,,23628
Colombia,17,170,COL,1,0,5.26,6.97,,1762
Comoros,17,174,COM,1,0,2.97,2.18,,10
"Congo, Republic of",17,178,COG,1,0,0.21,0.1,,3
"Congo, Democratic Republic of",17,180,COD,1,0,1.05,0.55,,261
Costa Rica,17,188,CRI,1,0,22.86,33,,854
Croatia,17,191,HRV,1,0,10.53,33.17,,650
Cuba,17,192,CUB,1,0,20.61,41.6,,2334
Cyprus,17,196,CYP,1,0,10.6,23.54,,144
Czechia,17,203,CZE,1,0,18.06,48.87,,2585
Benin,17,204,BEN,1,0,1.5,1.08,,69
Denmark,17,208,DNK,1,0,30.61,96.14,,2788
Dominican Republic,17,214,DOM,1,0,2.33,2.57,,142
Ecuador,17,218,ECU,1,0,6.26,7.12,,645
El Salvador,17,222,SLV,1,0,2.43,2.84,,87
Equatorial Guinea,17,226,GNQ,1,0,2.1,1.08,,9
Ethiopia,17,231,ETH,1,0,3.07,1.86,,1125
Eritrea,17,232,ERI,1,0,2.39,1.47,,27
Estonia,17,233,EST,1,0,8.56,19.58,,123
Fiji,17,242,FJI,1,0,1.31,1.09,,5
Finland,17,246,FIN,1,0,13.5,46.18,,1266
France (metropolitan),17,250,FRA,1,0,31.29,90.92,,28860
French Guyana,17,254,GUF,1,0,11.26,10.29,,16
French Polynesia,17,258,PYF,1,0,0,0,,0
Djibouti,17,262,DJI,1,0,2,1.69,,9
Gabon,17,266,GAB,1,0,2.08,1.35,,16
Georgia,17,268,GEO,1,0,7.59,13.6,,257
The Republic of the Gambia,17,270,GMB,1,0,0.31,0.16,,2
Gaza Strip and West Bank,17,275,PSE,1,0,1.96,1.25,,34
Germany,17,276,DEU,1,0,31.76,109.44,,45432
Ghana,17,288,GHA,1,0,1.6,1.26,,207
Greece,17,300,GRC,1,0,5.94,27.05,,1370
"France, Guadeloupe",17,312,GLP,1,0,11.76,22.27,,41
Guam,17,316,GUM,1,0,0,0,,0
Guatemala,17,320,GTM,1,0,3.08,2.41,,221
Guinea,17,324,GIN,1,0,2.99,1.56,,105
Guyana,17,328,GUY,1,0,0.44,0.5,,2
Haiti,17,332,HTI,1,0,1.08,0.85,,49
Honduras,17,340,HND,1,0,2.15,1.62,,83
Hungary,17,348,HUN,1,0,18.69,39.33,,1800
Iceland,17,352,ISL,1,0,14.5,35.72,,62
India,17,356,IND,1,0,0.98,0.96,,7012
Indonesia,17,360,IDN,1,0,3.26,3.06,,4302
"Iran, Islamic Republic of",17,364,IRN,1,0,6.43,6.75,,2929
Iraq,17,368,IRQ,1,0,1.96,1.04,,221
Ireland,17,372,IRL,1,0,53.14,114.09,,2845
Israel,17,376,ISR,1,0,1.62,2.25,,100
Italy,17,380,ITA,1,0,18.22,64.87,,19058
"Côte d'Ivoire",17,384,CIV,1,0,1.41,0.87,,122
Jamaica,17,388,JAM,1,0,2.19,2.63,,39
Japan,17,392,JPN,1,0,2.92,10.8,,6621
Kazakhstan,17,398,KAZ,1,0,8.35,7.93,,740
Jordan,17,400,JOR,1,0,2.58,1.78,,93
