Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,6,4,AFG,1,0,5.72,2.5,,522
Albania,6,8,ALB,1,0,1.96,3.84,,56
Algeria,6,12,DZA,1,0,0.63,0.64,,146
Angola,6,24,AGO,1,0,9.31,3.93,,682
Azerbaijan,6,31,AZE,1,0,8.7,9.16,,472
Argentina,6,32,ARG,1,0,4.94,6.38,,1433
Australia,6,36,AUS,1,0,5.11,9.92,,1288
Austria,6,40,AUT,1,0,4.24,8.67,,388
Bahamas,6,44,BHS,1,0,3.42,4.11,,8
Bahrain,6,48,BHR,1,0,1.22,0.6,,7
Bangladesh,6,50,BGD,1,0,20.59,19.55,,16578
Armenia,6,51,ARM,1,0,1.99,2.79,,39
Barbados,6,52,BRB,1,0,1.29,2.87,,4
Belgium,6,56,BEL,1,0,7.07,14.56,,843
Bhutan,6,64,BTN,1,0,7.02,6.43,,27
Bolivia,6,68,BOL,1,0,2.09,2.01,,121
Bosnia Herzegovina,6,70,BIH,1,0,2.5,4.84,,77
Botswana,6,72,BWA,1,0,12.95,7.76,,92
Brazil,6,76,BRA,1,0,6.66,8.33,,8812
Belize,6,84,BLZ,1,0,1.95,1.47,,3
Solomon Islands,6,90,SLB,1,0,2.31,1.64,,6
Brunei Darussalam,6,96,BRN,1,0,2.28,2.17,,5
Bulgaria,6,100,BGR,1,0,2.8,5.54,,184
Myanmar,6,104,MMR,1,0,11.47,11.12,,2959
Burundi,6,108,BDI,1,0,11.99,4.55,,285
Belarus,6,112,BLR,1,0,7.63,12.04,,529
Cambodia,6,116,KHM,1,0,5.25,3.35,,281
Cameroon,6,120,CMR,1,0,1.35,0.58,,81
Canada,6,124,CAN,1,0,5.14,11.98,,2283
Cape Verde,6,132,CPV,1,0,6.88,5.26,,15
Central African Republic,6,140,CAF,1,0,1.56,0.68,,17
Sri Lanka,6,144,LKA,1,0,7.5,10.84,,1119
Chad,6,148,TCD,1,0,1.08,0.47,,41
Chile,6,152,CHL,1,0,3.32,5.7,,541
China,6,160,CHN,1,0,13.09,23.23,,167472
Colombia,6,170,COL,1,0,2.15,2.74,,692
Comoros,6,174,COM,1,0,12.48,6.55,,30
"Congo, Republic of",6,178,COG,1,0,0.59,0.28,,8
"Congo, Democratic Republic of",6,180,COD,1,0,3.78,1.73,,825
Costa Rica,6,188,CRI,1,0,1.35,2.09,,54
Croatia,6,191,HRV,1,0,4.34,8.78,,172
Cuba,6,192,CUB,1,0,7.67,14.35,,805
Cyprus,6,196,CYP,1,0,1.27,2.29,,14
Czechia,6,203,CZE,1,0,5.42,10.44,,552
Benin,6,204,BEN,1,0,3.76,1.75,,112
Denmark,6,208,DNK,1,0,6.6,15.41,,447
Dominican Republic,6,214,DOM,1,0,2.14,2.21,,122
Ecuador,6,218,ECU,1,0,1.47,1.65,,149
El Salvador,6,222,SLV,1,0,1.5,1.67,,51
Equatorial Guinea,6,226,GNQ,1,0,1.26,0.6,,5
Ethiopia,6,231,ETH,1,0,1.86,0.94,,569
Eritrea,6,232,ERI,1,0,2.59,1.47,,27
Estonia,6,233,EST,1,0,6.76,12.1,,76
