Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,3,4,AFG,1,0,0.98,0.46,,97
Albania,3,8,ALB,1,0,0.59,1.03,,15
Algeria,3,12,DZA,1,0,0.31,0.31,,71
Angola,3,24,AGO,1,0,2.41,1.06,,183
Azerbaijan,3,31,AZE,1,0,0.47,0.5,,26
Argentina,3,32,ARG,1,0,1.24,1.44,,323
Australia,3,36,AUS,1,0,4.39,6.59,,855
Austria,3,40,AUT,1,0,3.13,5.99,,268
Bahamas,3,44,BHS,1,0,1.01,1.03,,2
Bahrain,3,48,BHR,1,0,0.1,0.09,,1
Bangladesh,3,50,BGD,1,0,4.75,4.45,,3775
Armenia,3,51,ARM,1,0,0.3,0.43,,6
Barbados,3,52,BRB,1,0,2.77,5.01,,7
Belgium,3,56,BEL,1,0,3.59,6.65,,385
Bhutan,3,64,BTN,1,0,1.74,1.43,,6
Bolivia,3,68,BOL,1,0,0.95,0.86,,52
Bosnia Herzegovina,3,70,BIH,1,0,1.08,1.95,,31
Botswana,3,72,BWA,1,0,1.12,0.68,,8
Brazil,3,76,BRA,1,0,3.68,4.5,,4761
Belize,3,84,BLZ,1,0,0,0,,0
Solomon Islands,3,90,SLB,1,0,0.39,0.27,,1
Brunei Darussalam,3,96,BRN,1,0,0,0,,0
Bulgaria,3,100,BGR,1,0,1.54,2.77,,92
Myanmar,3,104,MMR,1,0,2.41,2.25,,598
Burundi,3,108,BDI,1,0,0.74,0.32,,20
Belarus,3,112,BLR,1,0,6.61,10.08,,443
Cambodia,3,116,KHM,1,0,1.42,1.1,,92
Cameroon,3,120,CMR,1,0,2.02,1.07,,149
Canada,3,124,CAN,1,0,3.36,5.76,,1098
Cape Verde,3,132,CPV,1,0,0.36,0.35,,1
Central African Republic,3,140,CAF,1,0,0.56,0.32,,8
Sri Lanka,3,144,LKA,1,0,3.01,4.13,,427
Chad,3,148,TCD,1,0,0,0,,0
Chile,3,152,CHL,1,0,0.57,0.86,,82
China,3,160,CHN,1,0,0.55,0.9,,6470
Colombia,3,170,COL,1,0,1.41,1.66,,420
Comoros,3,174,COM,1,0,0.68,0.44,,2
"Congo, Republic of",3,178,COG,1,0,0.09,0.07,,2
"Congo, Democratic Republic of",3,180,COD,1,0,0.38,0.19,,88
Costa Rica,3,188,CRI,1,0,0.77,1.04,,27
Croatia,3,191,HRV,1,0,3.87,7.14,,140
Cuba,3,192,CUB,1,0,6.46,11.44,,642
Cyprus,3,196,CYP,1,0,0.7,0.98,,6
Czechia,3,203,CZE,1,0,4.26,7.69,,407
Benin,3,204,BEN,1,0,0.66,0.3,,19
