Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,13,4,AFG,1,0,2.25,1.01,,211
Albania,13,8,ALB,1,0,7.1,13.23,,193
Algeria,13,12,DZA,1,0,3.07,3.02,,693
Angola,13,24,AGO,1,0,2.08,1.14,,198
Azerbaijan,13,31,AZE,1,0,3.72,3.92,,202
Argentina,13,32,ARG,1,0,9.3,12.04,,2704
Australia,13,36,AUS,1,0,7.19,14.7,,1908
Austria,13,40,AUT,1,0,10.59,24.35,,1090
Bahamas,13,44,BHS,1,0,4.21,4.62,,9
Bahrain,13,48,BHR,1,0,2.64,1.21,,14
Bangladesh,13,50,BGD,1,0,1.01,0.94,,798
Armenia,13,51,ARM,1,0,13,18.39,,257
Barbados,13,52,BRB,1,0,7.88,16.47,,23
Belgium,13,56,BEL,1,0,8.55,20.43,,1183
Bhutan,13,64,BTN,1,0,2.87,2.62,,11
Bolivia,13,68,BOL,1,0,3.1,3.09,,186
Bosnia Herzegovina,13,70,BIH,1,0,8.33,16.72,,266
Botswana,13,72,BWA,1,0,0.91,0.59,,7
Brazil,13,76,BRA,1,0,5.53,7.1,,7504
Belize,13,84,BLZ,1,0,1.74,1.47,,3
Solomon Islands,13,90,SLB,1,0,2.62,1.36,,5
Brunei Darussalam,13,96,BRN,1,0,3.53,3.47,,8
Bulgaria,13,100,BGR,1,0,9.49,20.59,,684
Myanmar,13,104,MMR,1,0,1.7,1.54,,409
Burundi,13,108,BDI,1,0,1.52,0.62,,39
Belarus,13,112,BLR,1,0,10.88,17.41,,765
Cambodia,13,116,KHM,1,0,1.78,1.25,,105
Cameroon,13,120,CMR,1,0,2.12,0.97,,136
Canada,13,124,CAN,1,0,8.31,18.7,,3565
Cape Verde,13,132,CPV,1,0,2.62,1.4,,4
Central African Republic,13,140,CAF,1,0,1.73,0.68,,17
Sri Lanka,13,144,LKA,1,0,1.09,1.55,,160
Chad,13,148,TCD,1,0,1.98,0.74,,64
Chile,13,152,CHL,1,0,5.76,9.18,,872
China,13,160,CHN,1,0,5.29,9.31,,67123
Colombia,13,170,COL,1,0,4.31,5.32,,1345
Comoros,13,174,COM,1,0,0.77,0.44,,2
"Congo, Republic of",13,178,COG,1,0,1.28,0.69,,20
"Congo, Democratic Republic of",13,180,COD,1,0,1.57,0.72,,343
Costa Rica,13,188,CRI,1,0,4.48,6.49,,168
Croatia,13,191,HRV,1,0,8.66,20.11,,394
Cuba,13,192,CUB,1,0,5.04,10.07,,565
Cyprus,13,196,CYP,1,0,10.03,17.66,,108
Czechia,13,203,CZE,1,0,10.44,22.89,,1211
Benin,13,204,BEN,1,0,3.83,1.78,,114
Denmark,13,208,DNK,1,0,9.04,22.21,,644
Dominican Republic,13,214,DOM,1,0,5.77,6.05,,334
Ecuador,13,218,ECU,1,0,3.41,3.64,,330
El Salvador,13,222,SLV,1,0,3.23,3.69,,113
Equatorial Guinea,13,226,GNQ,1,0,2.74,1.2,,10
Ethiopia,13,231,ETH,1,0,1.48,0.78,,472
Eritrea,13,232,ERI,1,0,1.37,0.76,,14
Estonia,13,233,EST,1,0,9.93,20.22,,127
Fiji,13,242,FJI,1,0,3.66,3.04,,14
Finland,13,246,FIN,1,0,9.89,26.34,,722
France (metropolitan),13,250,FRA,1,0,11.13,24.92,,7911
French Guyana,13,254,GUF,1,0,10.37,8.36,,13
French Polynesia,13,258,PYF,1,0,7.46,10.43,,15
Djibouti,13,262,DJI,1,0,1.53,1.13,,6
Gabon,13,266,GAB,1,0,3.18,2.02,,24
Georgia,13,268,GEO,1,0,5.91,9.42,,178
The Republic of the Gambia,13,270,GMB,1,0,1.29,0.55,,7
Gaza Strip and West Bank,13,275,PSE,1,0,5.92,2.95,,80
Germany,13,276,DEU,1,0,9.94,26.43,,10970
Ghana,13,288,GHA,1,0,1.83,1,,165
Greece,13,300,GRC,1,0,9.71,24.19,,1225
"France, Guadeloupe",13,312,GLP,1,0,9.17,20.09,,37
Guam,13,316,GUM,1,0,5.83,8.1,,7
Guatemala,13,320,GTM,1,0,2.84,1.91,,175
Guinea,13,324,GIN,1,0,1.02,0.43,,29
Guyana,13,328,GUY,1,0,2.42,2.5,,10
Haiti,13,332,HTI,1,0,3.57,2.65,,153
Honduras,13,340,HND,1,0,4.43,3.13,,160
Hungary,13,348,HUN,1,0,12.39,24.85,,1137
Iceland,13,352,ISL,1,0,8.51,17.86,,31
India,13,356,IND,1,0,1.23,1.19,,8712
Indonesia,13,360,IDN,1,0,2.36,2.25,,3156
"Iran, Islamic Republic of",13,364,IRN,1,0,4.91,5.04,,2189
Iraq,13,368,IRQ,1,0,4.63,2.36,,504
Ireland,13,372,IRL,1,0,7.82,14.88,,371
Israel,13,376,ISR,1,0,9.61,13.81,,614
Italy,13,380,ITA,1,0,9.02,25.52,,7499
"Côte d'Ivoire",13,384,CIV,1,0,2.25,1.15,,161
Jamaica,13,388,JAM,1,0,4.14,5.13,,76
Japan,13,392,JPN,1,0,12.4,38.52,,23609
Kazakhstan,13,398,KAZ,1,0,6.4,6.38,,595
Jordan,13,400,JOR,1,0,4.75,3.39,,177
