Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,7,4,AFG,1,0,14.04,6.09,,1272
Albania,7,8,ALB,1,0,17.47,32.15,,469
Algeria,7,12,DZA,1,0,7.55,7.39,,1693
Angola,7,24,AGO,1,0,3.86,1.75,,304
Azerbaijan,7,31,AZE,1,0,26.28,27.69,,1426
Argentina,7,32,ARG,1,0,9.99,12.78,,2870
Australia,7,36,AUS,1,0,7,13.51,,1753
Austria,7,40,AUT,1,0,7.11,15.91,,712
Bahamas,7,44,BHS,1,0,10.48,11.81,,23
Bahrain,7,48,BHR,1,0,3.8,1.9,,22
Bangladesh,7,50,BGD,1,0,7.39,6.66,,5650
Armenia,7,51,ARM,1,0,18.06,25.9,,362
Barbados,7,52,BRB,1,0,7.62,15.76,,22
Belgium,7,56,BEL,1,0,7.31,15.9,,921
Bhutan,7,64,BTN,1,0,19.95,18.59,,78
Bolivia,7,68,BOL,1,0,10.17,10.13,,609
Bosnia Herzegovina,7,70,BIH,1,0,13.44,27.54,,438
Botswana,7,72,BWA,1,0,1.95,1.27,,15
Brazil,7,76,BRA,1,0,10.86,13.9,,14700
Belize,7,84,BLZ,1,0,5.79,5.37,,11
Solomon Islands,7,90,SLB,1,0,2.35,1.36,,5
Brunei Darussalam,7,96,BRN,1,0,11.34,10.83,,25
Bulgaria,7,100,BGR,1,0,12.45,26.79,,890
Myanmar,7,104,MMR,1,0,15.87,14.1,,3753
Burundi,7,108,BDI,1,0,6.84,2.6,,163
Belarus,7,112,BLR,1,0,24.45,39.25,,1725
Cambodia,7,116,KHM,1,0,5.36,3.71,,311
Cameroon,7,120,CMR,1,0,3.33,1.58,,221
Canada,7,124,CAN,1,0,6.45,14.26,,2719
Cape Verde,7,132,CPV,1,0,9.05,5.97,,17
Central African Republic,7,140,CAF,1,0,3.59,1.41,,35
Sri Lanka,7,144,LKA,1,0,3.79,5.41,,559
Chad,7,148,TCD,1,0,3.53,1.71,,149
Chile,7,152,CHL,1,0,21.77,35.28,,3350
China,7,160,CHN,1,0,19.47,34.2,,246550
Colombia,7,170,COL,1,0,17.54,21.5,,5437
Comoros,7,174,COM,1,0,2.63,1.31,,6
"Congo, Republic of",7,178,COG,1,0,3.76,1.93,,56
"Congo, Democratic Republic of",7,180,COD,1,0,4.35,1.98,,940
Costa Rica,7,188,CRI,1,0,19.61,29.33,,759
Croatia,7,191,HRV,1,0,13.02,29.34,,575
Cuba,7,192,CUB,1,0,7.53,15.4,,864
Cyprus,7,196,CYP,1,0,8.4,15.69,,96
Czechia,7,203,CZE,1,0,6.33,13.91,,736
Benin,7,204,BEN,1,0,8.78,4.23,,270
Denmark,7,208,DNK,1,0,7.32,16.45,,477
Dominican Republic,7,214,DOM,1,0,7.15,7.52,,415
Ecuador,7,218,ECU,1,0,15.86,17.17,,1555
El Salvador,7,222,SLV,1,0,9.92,11.43,,350
Equatorial Guinea,7,226,GNQ,1,0,2.56,1.44,,12
Ethiopia,7,231,ETH,1,0,3.37,1.91,,1152
Eritrea,7,232,ERI,1,0,2.81,1.63,,30
Estonia,7,233,EST,1,0,17.47,34.07,,214
Fiji,7,242,FJI,1,0,4.9,4.78,,22
Finland,7,246,FIN,1,0,5.02,12.37,,339
France (metropolitan),7,250,FRA,1,0,7.3,15.84,,5029
French Guyana,7,254,GUF,1,0,12.46,10.29,,16
French Polynesia,7,258,PYF,1,0,8.15,11.13,,16
Djibouti,7,262,DJI,1,0,2.81,2.25,,12
Gabon,7,266,GAB,1,0,3.4,2.36,,28
Georgia,7,268,GEO,1,0,14.3,23.33,,441
The Republic of the Gambia,7,270,GMB,1,0,3.11,1.5,,19
Gaza Strip and West Bank,7,275,PSE,1,0,6.35,3.5,,95
Germany,7,276,DEU,1,0,8.68,20.11,,8347
Ghana,7,288,GHA,1,0,5.62,3.1,,509
Greece,7,300,GRC,1,0,8.78,23.18,,1174
"France, Guadeloupe",7,312,GLP,1,0,17.28,38.01,,70
Guam,7,316,GUM,1,0,7.12,10.41,,9
Guatemala,7,320,GTM,1,0,11.37,7.91,,725
