Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,28,4,AFG,1,0,0.93,0.85,,178
Albania,28,8,ALB,1,0,3.3,3.91,,57
Algeria,28,12,DZA,1,0,0.68,0.71,,163
Angola,28,24,AGO,1,0,0.68,0.69,,120
Azerbaijan,28,31,AZE,1,0,1.17,1.36,,70
Argentina,28,32,ARG,1,0,8.54,9.15,,2054
Australia,28,36,AUS,1,0,7.3,7.57,,982
Austria,28,40,AUT,1,0,8.04,8.71,,390
Bahamas,28,44,BHS,1,0,0,0,,0
Bahrain,28,48,BHR,1,0,0.45,0.6,,7
Bangladesh,28,50,BGD,1,0,0.43,0.48,,404
Armenia,28,51,ARM,1,0,2.89,3,,42
Barbados,28,52,BRB,1,0,0,0,,0
Belgium,28,56,BEL,1,0,6.35,6.25,,362
Bhutan,28,64,BTN,1,0,0,0,,0
Bolivia,28,68,BOL,1,0,1.44,1.36,,82
Bosnia Herzegovina,28,70,BIH,1,0,6.92,6.66,,106
Botswana,28,72,BWA,1,0,0.07,0.08,,1
Brazil,28,76,BRA,1,0,2.72,2.99,,3163
Belize,28,84,BLZ,1,0,0,0,,0
Solomon Islands,28,90,SLB,1,0,1.57,1.36,,5
Brunei Darussalam,28,96,BRN,1,0,1.19,1.3,,3
Bulgaria,28,100,BGR,1,0,4.5,4.6,,153
Myanmar,28,104,MMR,1,0,0.52,0.57,,153
Burundi,28,108,BDI,1,0,0.44,0.24,,15
Belarus,28,112,BLR,1,0,2.73,3.14,,138
Cambodia,28,116,KHM,1,0,0.89,0.89,,75
Cameroon,28,120,CMR,1,0,0.36,0.26,,37
Canada,28,124,CAN,1,0,5.82,5.99,,1141
Cape Verde,28,132,CPV,1,0,0.72,1.05,,3
Central African Republic,28,140,CAF,1,0,0.1,0.12,,3
Sri Lanka,28,144,LKA,1,0,0.73,0.78,,81
Chad,28,148,TCD,1,0,0.4,0.24,,21
Chile,28,152,CHL,1,0,7.51,8.66,,822
China,28,160,CHN,1,0,0.41,0.48,,3486
Colombia,28,170,COL,1,0,4.46,5.01,,1266
Comoros,28,174,COM,1,0,0,0,,0
"Congo, Republic of",28,178,COG,1,0,0.03,0.03,,1
"Congo, Democratic Republic of",28,180,COD,1,0,0.22,0.13,,64
Costa Rica,28,188,CRI,1,0,3.99,4.41,,114
Croatia,28,191,HRV,1,0,11.33,11.28,,221
Cuba,28,192,CUB,1,0,1.34,1.82,,102
Cyprus,28,196,CYP,1,0,6.55,7.85,,48
Czechia,28,203,CZE,1,0,9.01,9.62,,509
Benin,28,204,BEN,1,0,0.33,0.25,,16
Denmark,28,208,DNK,1,0,10.18,10.69,,310
Dominican Republic,28,214,DOM,1,0,0.14,0.16,,9
Ecuador,28,218,ECU,1,0,3.78,4.01,,363
El Salvador,28,222,SLV,1,0,1.2,1.34,,41
Equatorial Guinea,28,226,GNQ,1,0,0.08,0.12,,1
Ethiopia,28,231,ETH,1,0,0.56,0.46,,281
Eritrea,28,232,ERI,1,0,0.64,0.49,,9
Estonia,28,233,EST,1,0,4.51,4.62,,29
Fiji,28,242,FJI,1,0,3.73,3.91,,18
Finland,28,246,FIN,1,0,6.78,6.82,,187
France (metropolitan),28,250,FRA,1,0,7.5,7.37,,2339
French Guyana,28,254,GUF,1,0,0.66,0.64,,1
French Polynesia,28,258,PYF,1,0,1.4,1.39,,2
Djibouti,28,262,DJI,1,0,0,0,,0
Gabon,28,266,GAB,1,0,0.3,0.34,,4
Georgia,28,268,GEO,1,0,6.04,6.98,,132
The Republic of the Gambia,28,270,GMB,1,0,0.07,0.08,,1
Gaza Strip and West Bank,28,275,PSE,1,0,1.59,1.66,,45
Germany,28,276,DEU,1,0,9.5,10.25,,4254
Ghana,28,288,GHA,1,0,0.42,0.35,,58
Greece,28,300,GRC,1,0,9.09,8.81,,446
"France, Guadeloupe",28,312,GLP,1,0,2.04,1.63,,3
Guam,28,316,GUM,1,0,0,0,,0
Guatemala,28,320,GTM,1,0,2.49,2.43,,223
Guinea,28,324,GIN,1,0,0.19,0.15,,10
Guyana,28,328,GUY,1,0,0.28,0.25,,1
Haiti,28,332,HTI,1,0,1.78,1.58,,91
Honduras,28,340,HND,1,0,2.08,2.11,,108
