Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,32,4,AFG,1,0,0.55,0.36,,75
Albania,32,8,ALB,1,0,0.79,1.17,,17
Algeria,32,12,DZA,1,0,1.87,1.88,,430
Angola,32,24,AGO,1,0,0.66,0.24,,41
Azerbaijan,32,31,AZE,1,0,1.79,2.08,,107
Argentina,32,32,ARG,1,0,2.57,2.87,,645
Australia,32,36,AUS,1,0,5.29,7.4,,961
Austria,32,40,AUT,1,0,3.95,5.85,,262
Bahamas,32,44,BHS,1,0,5.36,6.16,,12
Bahrain,32,48,BHR,1,0,1.29,0.86,,10
Bangladesh,32,50,BGD,1,0,0.65,0.63,,538
Armenia,32,51,ARM,1,0,2.66,3.65,,51
Barbados,32,52,BRB,1,0,0.5,1.43,,2
Belgium,32,56,BEL,1,0,3.59,5.34,,309
Bhutan,32,64,BTN,1,0,0.27,0.24,,1
Bolivia,32,68,BOL,1,0,0.9,0.93,,56
Bosnia Herzegovina,32,70,BIH,1,0,1.19,1.95,,31
Botswana,32,72,BWA,1,0,0,0,,0
Brazil,32,76,BRA,1,0,4.49,5.47,,5784
Belize,32,84,BLZ,1,0,0.55,0.49,,1
Solomon Islands,32,90,SLB,1,0,2.23,1.36,,5
Brunei Darussalam,32,96,BRN,1,0,2.27,2.6,,6
Bulgaria,32,100,BGR,1,0,1.55,2.35,,78
Myanmar,32,104,MMR,1,0,1.44,1.46,,388
Burundi,32,108,BDI,1,0,0.8,0.29,,18
Belarus,32,112,BLR,1,0,3.9,4.98,,219
Cambodia,32,116,KHM,1,0,1.86,1.42,,119
Cameroon,32,120,CMR,1,0,0.34,0.14,,20
Canada,32,124,CAN,1,0,6.31,9.07,,1729
Cape Verde,32,132,CPV,1,0,0,0,,0
Central African Republic,32,140,CAF,1,0,0.75,0.32,,8
Sri Lanka,32,144,LKA,1,0,2.43,2.96,,306
Chad,32,148,TCD,1,0,1.59,0.79,,69
Chile,32,152,CHL,1,0,1.5,1.94,,184
China,32,160,CHN,1,0,13.25,17.32,,124907
Colombia,32,170,COL,1,0,2.95,3.39,,856
Comoros,32,174,COM,1,0,0,0,,0
"Congo, Republic of",32,178,COG,1,0,0.66,0.31,,9
"Congo, Democratic Republic of",32,180,COD,1,0,0.76,0.34,,162
Costa Rica,32,188,CRI,1,0,3.89,4.83,,125
Croatia,32,191,HRV,1,0,5.6,7.91,,155
Cuba,32,192,CUB,1,0,1.31,2.16,,121
Cyprus,32,196,CYP,1,0,12.03,15.86,,97
Czechia,32,203,CZE,1,0,3.71,5.71,,302
Benin,32,204,BEN,1,0,0.03,0.02,,1
Denmark,32,208,DNK,1,0,4.86,7.45,,216
Dominican Republic,32,214,DOM,1,0,1.44,1.52,,84
Ecuador,32,218,ECU,1,0,2.26,2.31,,209
El Salvador,32,222,SLV,1,0,1.38,1.27,,39
Equatorial Guinea,32,226,GNQ,1,0,0,0,,0
Ethiopia,32,231,ETH,1,0,2.11,1.3,,787
Eritrea,32,232,ERI,1,0,1.74,1.09,,20
Estonia,32,233,EST,1,0,2.24,3.5,,22
Fiji,32,242,FJI,1,0,2.76,2.61,,12
Finland,32,246,FIN,1,0,3.85,6.09,,167
France (metropolitan),32,250,FRA,1,0,5.17,7.52,,2386
French Guyana,32,254,GUF,1,0,0,0,,0
French Polynesia,32,258,PYF,1,0,5.29,6.96,,10
Djibouti,32,262,DJI,1,0,1.28,0.94,,5
Gabon,32,266,GAB,1,0,0.19,0.08,,1
Georgia,32,268,GEO,1,0,1.17,1.69,,32
The Republic of the Gambia,32,270,GMB,1,0,0.17,0.16,,2
Gaza Strip and West Bank,32,275,PSE,1,0,2.28,1.73,,47
Germany,32,276,DEU,1,0,2.77,4.09,,1699
Ghana,32,288,GHA,1,0,0.48,0.37,,61
Greece,32,300,GRC,1,0,3.17,5.47,,277
"France, Guadeloupe",32,312,GLP,1,0,0.98,1.63,,3
Guam,32,316,GUM,1,0,0,0,,0
Guatemala,32,320,GTM,1,0,2.02,1.64,,150
Guinea,32,324,GIN,1,0,0.42,0.21,,14
Guyana,32,328,GUY,1,0,0.74,0.75,,3
Haiti,32,332,HTI,1,0,1.24,1.13,,65
Honduras,32,340,HND,1,0,1.19,0.98,,50
