Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
Afghanistan,15,4,AFG,1,0,11.03,4.88,,1019
Albania,15,8,ALB,1,0,41.51,77.75,,1134
Algeria,15,12,DZA,1,0,19.52,18.81,,4311
Angola,15,24,AGO,1,0,3.28,1.29,,223
Azerbaijan,15,31,AZE,1,0,37.51,38.91,,2004
Argentina,15,32,ARG,1,0,29.98,38.24,,8587
Australia,15,36,AUS,1,0,27.05,56.65,,7353
Austria,15,40,AUT,1,0,31.15,67.11,,3004
Bahamas,15,44,BHS,1,0,13.06,15.41,,30
Bahrain,15,48,BHR,1,0,15.07,5.53,,64
Bangladesh,15,50,BGD,1,0,13.45,11.83,,10033
Armenia,15,51,ARM,1,0,57.38,81.92,,1145
Barbados,15,52,BRB,1,0,13.19,23.64,,33
Belgium,15,56,BEL,1,0,42.31,94.44,,5469
Bhutan,15,64,BTN,1,0,6.53,6.2,,26
Bolivia,15,68,BOL,1,0,11.55,12.79,,769
Bosnia Herzegovina,15,70,BIH,1,0,59.51,117.06,,1862
Botswana,15,72,BWA,1,0,6.46,3.88,,46
Brazil,15,76,BRA,1,0,18.34,23.46,,24804
Belize,15,84,BLZ,1,0,13.59,10.26,,21
Solomon Islands,15,90,SLB,1,0,9.4,5.73,,21
Brunei Darussalam,15,96,BRN,1,0,25.55,24.69,,57
Bulgaria,15,100,BGR,1,0,43.8,87.76,,2916
Myanmar,15,104,MMR,1,0,21.59,18.72,,4983
Burundi,15,108,BDI,1,0,4.18,1.55,,97
Belarus,15,112,BLR,1,0,56.48,91.15,,4006
Cambodia,15,116,KHM,1,0,23.93,16.39,,1374
Cameroon,15,120,CMR,1,0,4.37,1.85,,259
Canada,15,124,CAN,1,0,34.86,83.42,,15900
Cape Verde,15,132,CPV,1,0,1.82,1.05,,3
Central African Republic,15,140,CAF,1,0,2.68,1.13,,28
Sri Lanka,15,144,LKA,1,0,11.23,16.13,,1666
Chad,15,148,TCD,1,0,3.48,1.54,,134
Chile,15,152,CHL,1,0,16.98,27.58,,2619
China,15,160,CHN,1,0,52.03,91.36,,658722
Colombia,15,170,COL,1,0,13.12,16.52,,4178
Comoros,15,174,COM,1,0,2.63,1.31,,6
"Congo, Republic of",15,178,COG,1,0,2.08,0.93,,27
"Congo, Democratic Republic of",15,180,COD,1,0,2.78,1.25,,594
Costa Rica,15,188,CRI,1,0,9.73,13.91,,360
Croatia,15,191,HRV,1,0,56.35,127.17,,2492
Cuba,15,192,CUB,1,0,38.29,78.88,,4426
Cyprus,15,196,CYP,1,0,41.35,74.55,,456
Czechia,15,203,CZE,1,0,31.27,70.12,,3709
Benin,15,204,BEN,1,0,2.07,0.94,,60
Denmark,15,208,DNK,1,0,34.27,83.04,,2408
Dominican Republic,15,214,DOM,1,0,15.07,16.24,,896
Ecuador,15,218,ECU,1,0,6.62,7.33,,664
El Salvador,15,222,SLV,1,0,5.21,5.94,,182
Equatorial Guinea,15,226,GNQ,1,0,2.91,1.32,,11
Ethiopia,15,231,ETH,1,0,3.88,2.03,,1226
Eritrea,15,232,ERI,1,0,3.69,2.07,,38
Estonia,15,233,EST,1,0,45.02,89.63,,563
Fiji,15,242,FJI,1,0,9.06,8.04,,37
Finland,15,246,FIN,1,0,25.05,66.68,,1828
France (metropolitan),15,250,FRA,1,0,49,103.37,,32812
French Guyana,15,254,GUF,1,0,23.83,20.57,,32
French Polynesia,15,258,PYF,1,0,57.39,77.2,,111
Djibouti,15,262,DJI,1,0,3.6,3,,16
Gabon,15,266,GAB,1,0,3.48,2.11,,25
Georgia,15,268,GEO,1,0,45.93,72.11,,1363
The Republic of the Gambia,15,270,GMB,1,0,9.51,3.94,,50
Gaza Strip and West Bank,15,275,PSE,1,0,35.83,17.89,,485
Germany,15,276,DEU,1,0,35.23,88.82,,36871
Ghana,15,288,GHA,1,0,3.14,1.82,,299
Greece,15,300,GRC,1,0,49.64,125.52,,6357
"France, Guadeloupe",15,312,GLP,1,0,18.71,38.56,,71
Guam,15,316,GUM,1,0,45.48,63.64,,55
Guatemala,15,320,GTM,1,0,4.5,3.2,,293
Guinea,15,324,GIN,1,0,5.21,2.38,,160
Guyana,15,328,GUY,1,0,6.43,6.5,,26
Haiti,15,332,HTI,1,0,5.54,4.02,,232
Honduras,15,340,HND,1,0,8.8,6.11,,312
Hungary,15,348,HUN,1,0,64.36,124.69,,5706
Iceland,15,352,ISL,1,0,26.07,53.01,,92
India,15,356,IND,1,0,8.46,8.07,,58970
Indonesia,15,360,IDN,1,0,21.3,20.72,,29107
"Iran, Islamic Republic of",15,364,IRN,1,0,16.73,17.46,,7576
Iraq,15,368,IRQ,1,0,23.45,11.07,,2364
Ireland,15,372,IRL,1,0,32.61,62.44,,1557
Israel,15,376,ISR,1,0,29.91,40.88,,1818
Italy,15,380,ITA,1,0,34.54,96.84,,28450
"Côte d'Ivoire",15,384,CIV,1,0,3.47,1.74,,243
Jamaica,15,388,JAM,1,0,19.01,23.64,,350
Japan,15,392,JPN,1,0,47.19,156.19,,95740
Kazakhstan,15,398,KAZ,1,0,41.44,40.98,,3822
Jordan,15,400,JOR,1,0,24.11,16.34,,853
Kenya,15,404,KEN,1,0,3.56,1.51,,421
"Korea, Democratic People Republic of",15,408,PRK,1,0,50.11,61.86,,7865
"Korea, Republic of",15,410,KOR,1,0,38.58,82.47,,21183
Kuwait,15,414,KWT,1,0,7.65,5.78,,155
Kyrgyzstan,15,417,KGZ,1,0,26.26,17.94,,597
"Lao People's Democratic Republic",15,418,LAO,1,0,27.09,18.51,,695
Lebanon,15,422,LBN,1,0,25.69,29.79,,1004
Lesotho,15,426,LSO,1,0,5,2.88,,31
Latvia,15,428,LVA,1,0,45.7,90.96,,776
Liberia,15,430,LBR,1,0,4.02,2.36,,63
Libya,15,434,LBY,1,0,32.19,23.54,,836
Lithuania,15,440,LTU,1,0,44.88,89.64,,1104
Luxembourg,15,442,LUX,1,0,31.56,64.59,,210
Madagascar,15,450,MDG,1,0,2.8,1.37,,200
Malawi,15,454,MWI,1,0,2.22,0.86,,86
Malaysia,15,458,MYS,1,0,23.23,24.63,,4196
Maldives,15,462,MDV,1,0,18.13,10.95,,37
Mali,15,466,MLI,1,0,4.54,1.79,,193
Malta,15,470,MLT,1,0,27.72,73.6,,164
"France, Martinique",15,474,MTQ,1,0,12.74,32.03,,55
Mauritania,15,478,MRT,1,0,2.81,1.5,,37
Mauritius,15,480,MUS,1,0,12.2,19.75,,124
Mexico,15,484,MEX,1,0,7.3,7.86,,5062
Mongolia,15,496,MNG,1,0,35.91,25.15,,418
Moldova,15,498,MDA,1,0,42.81,61.37,,1178
Montenegro,15,499,MNE,1,0,58.77,99.81,,310
Morocco,15,504,MAR,1,0,38.44,42.02,,7884
Mozambique,15,508,MOZ,1,0,2.35,0.88,,142
Oman,15,512,OMN,1,0,6.96,3.54,,124
Namibia,15,516,NAM,1,0,8.28,4.07,,52
Nepal,15,524,NPL,1,0,12.86,10.89,,1528
The Netherlands,15,528,NLD,1,0,36.5,90.82,,7793
New Caledonia,15,540,NCL,1,0,59.25,78.74,,115
Vanuatu,15,548,VUT,1,0,11.79,7.36,,12
New Zealand,15,554,NZL,1,0,33.13,68.92,,1659
Nicaragua,15,558,NIC,1,0,7.13,5.63,,188
Niger,15,562,NER,1,0,1.83,0.74,,97
Nigeria,15,566,NGA,1,0,1.9,0.74,,812
Norway,15,578,NOR,1,0,28.65,64.5,,1799
Pakistan,15,586,PAK,1,0,9.49,6.41,,7571
Panama,15,591,PAN,1,0,8.69,10.65,,237
Papua New Guinea,15,598,PNG,1,0,13.63,8.09,,384
Paraguay,15,600,PRY,1,0,21.4,19.95,,740
Peru,15,604,PER,1,0,6.87,8.63,,1443
Philippines,15,608,PHL,1,0,37.66,29.39,,16588
Poland,15,616,POL,1,0,52.54,105.05,,19206
Portugal,15,620,PRT,1,0,36.85,88.59,,4253
Guinea-Bissau,15,624,GNB,1,0,3.11,1.48,,15
Timor-Leste,15,626,TLS,1,0,14.7,9.11,,63
Puerto Rico,15,630,PRI,1,0,14.86,35.15,,471
Qatar,15,634,QAT,1,0,6.05,3.46,,77
"France, La Réunion",15,638,REU,1,0,36.34,60.77,,267
Romania,15,642,ROU,1,0,49.25,91.86,,8499
Russian Federation,15,643,RUS,1,0,52.38,82.96,,56078
Rwanda,15,646,RWA,1,0,4.41,2.41,,161
Saint Lucia,15,662,LCA,1,0,16.52,23.04,,21
Sao Tome and Principe,15,678,STP,1,0,15.98,8.78,,10
Saudi Arabia,15,682,SAU,1,0,5.62,4.54,,939
Senegal,15,686,SEN,1,0,4.17,2.03,,175
Serbia,15,688,SRB,1,0,59.6,110.19,,4669
Sierra Leone,15,694,SLE,1,0,2.74,1.25,,52
Singapore,15,702,SGP,1,0,33.22,63.68,,1981
Slovakia,15,703,SVK,1,0,36.52,69.2,,1840
Viet Nam,15,704,VNM,1,0,31.54,34.42,,17007
Slovenia,15,705,SVN,1,0,43.81,100.63,,1042
Somalia,15,706,SOM,1,0,3.89,1.73,,145
South Africa,15,710,ZAF,1,0,27.57,20.24,,6053
Zimbabwe,15,716,ZWE,1,0,9.22,3.48,,255
