code,country,both,male,female
004,Afghanistan,106.24,103.6,110.68
008,Albania,160.77,176.87,147.65
012,Algeria,141.17,130.63,152.22
024,Angola,133.47,132.33,137.33
031,Azerbaijan,152.34,181.24,131.77
032,Argentina,215.82,231.79,208.74
036,Australia,462.51,514.3,415.21
040,Austria,258.47,287.62,235.74
044,Bahamas,192.73,214.38,177.63
048,Bahrain,113.76,105.47,137.35
050,Bangladesh,105.59,120.83,89.51
051,Armenia,201.57,257.5,163.87
052,Barbados,205.34,224.54,190.66
056,Belgium,324.67,350.82,306.62
064,Bhutan,87.62,90.46,84.47
068,Bolivia,143.77,129.56,159.4
070,Bosnia Herzegovina,218.58,251.7,194.16
072,Botswana,115.41,114.12,119.38
076,Brazil,214.43,240.09,197.56
084,Belize,114.72,110.14,118.17
090,Solomon Islands,134.8,114.78,154.42
096,Brunei Darussalam,192.22,171.68,215.97
100,Bulgaria,222.03,253.92,203.24
104,Myanmar,135.5,147.15,129.82
108,Burundi,128.2,123.49,134.6
112,Belarus,273.23,360.45,223.63
116,Cambodia,138.3,152.93,129.96
120,Cameroon,126.02,113.29,139.9
124,Canada,345.94,365.85,331.84
132,Cape Verde,87.01,108.62,78.33
140,Central African Republic,101.8,96.65,109.96
144,Sri Lanka,106.94,110.6,105.96
148,Chad,118.14,147.39,94.39
152,Chile,188.67,221.67,165.05
160,China,201.61,209.61,197.03
170,Colombia,177.62,183.28,175.28
174,Comoros,106.81,92.94,122.01
178,"Congo, Republic of",80.73,84.21,82.28
180,"Congo, Democratic Republic of",102.99,100.1,107.82
188,Costa Rica,177.73,185.46,173.54
191,Croatia,313.4,367.33,276.99
192,Cuba,220.76,247.37,199.11
196,Cyprus,292.27,289.87,300.05
203,Czechia,280.9,317.52,254.94
204,Benin,102.63,108.18,101.31
208,Denmark,374.69,393.96,361.17
214,Dominican Republic,167.02,186.69,150.47
218,Ecuador,152.7,143.28,163.54
222,El Salvador,127.11,126.5,128.37
226,Equatorial Guinea,107.72,93.74,128.03
231,Ethiopia,104.49,75.78,131.77
232,Eritrea,99.82,78.68,119.65
233,Estonia,282.49,356.43,237.94
242,Fiji,174.79,150.27,201.05
246,Finland,276.85,294.85,266.67
250,France (metropolitan),339.02,386.38,300.98
254,French Guyana,204.28,250.52,163.63
258,French Polynesia,228.07,247.06,211.17
262,Djibouti,90.71,71.63,111.28
266,Gabon,114.38,96.38,134.59
268,Georgia,197.5,246.81,165.52
270,The Republic of the Gambia,79.17,74.73,83.12
275,Gaza Strip and West Bank,152.25,165.52,142.56
276,Germany,274.24,306.5,249.03
288,Ghana,120.36,106.17,135.22
300,Greece,258.66,294.98,231.29
312,"France, Guadeloupe",253.9,340.23,184.2
316,Guam,167.19,184.99,155.57
320,Guatemala,121.77,119.57,124.69
324,Guinea,116.32,108.89,123.95
328,Guyana,142.49,130.12,157.74
332,Haiti,141.05,161.28,127.77
340,Honduras,127.96,131.17,127.66
348,Hungary,336.74,395.92,298.83
352,Iceland,268.28,271.68,266.75
356,India,98.54,97.12,100.83
360,Indonesia,136.93,135.46,141.61
364,"Iran, Islamic Republic of",148.98,168.43,129.1
368,Iraq,136.56,131.95,144.07
372,Ireland,344.7,386.31,307.51
376,Israel,245.78,250.27,244.07
380,Italy,284.49,312.05,264.13
384,Côte d'Ivoire,136.96,129.97,143.74
388,Jamaica,199.58,202.5,197.4
392,Japan,267.08,309.84,234.15
398,Kazakhstan,162.28,184.44,152.16
400,Jordan,152.57,149.92,157.59
404,Kenya,149.14,133.11,168.1
408,"Korea, Democratic People Republic of",166.06,187.53,155.02
410,"Korea, Republic of",234.7,252.52,228.49
414,Kuwait,111.4,97.78,139.07
417,Kyrgyzstan,125.77,143.26,117.63
418,Lao People's Democratic Republic,154.53,167.92,143.92
422,Lebanon,168.78,170.76,170.15
426,Lesotho,115.54,108.12,130.38
428,Latvia,288.89,363.98,249.37
430,Liberia,115.21,102.86,128.78
434,Libya,132.25,150.84,120.08
440,Lithuania,287.93,391.3,224.02
442,Luxembourg,273.31,285.83,267.24
450,Madagascar,117.41,104.94,130.67
454,Malawi,159.5,134.97,184.88
458,Malaysia,142.13,137.86,148.04
462,Maldives,105.31,107.14,111.26
466,Mali,139.88,113.9,164.51
470,Malta,282.52,299.75,271.59
474,"France, Martinique",224.16,266.89,189.49
478,Mauritania,105.31,91.44,119.96
480,Mauritius,139.99,130.0,152.56
484,Mexico,140.93,141.3,141.8
496,Mongolia,235.79,280.37,201.98
498,Moldova,232.15,295.26,189.38
499,Montenegro,237.99,261.9,221.08
504,Morocco,149.83,150.81,150.25
508,Mozambique,128.75,115.42,141.42
512,Oman,105.25,111.54,106.97
516,Namibia,193.48,221.42,183.14
524,Nepal,81.6,81.56,80.69
528,The Netherlands,341.44,350.76,336.2
540,New Caledonia,287.55,325.32,256.85
548,Vanuatu,108.16,93.95,121.65
554,New Zealand,427.32,473.37,386.26
558,Nicaragua,133.48,136.41,133.7
562,Niger,83.65,74.16,92.77
566,Nigeria,113.55,93.93,133.29
578,Norway,357.9,383.6,337.63
586,Pakistan,105.58,99.51,111.79
591,Panama,154.86,158.27,154.29
598,Papua New Guinea,188.69,181.73,197.83
600,Paraguay,192.24,199.8,187.6
604,Peru,173.81,164.64,185.7
608,Philippines,185.4,184.61,192.51
616,Poland,262.76,306.96,233.59
620,Portugal,294.63,342.74,258.47
624,Guinea-Bissau,100.34,87.4,112.74
626,Timor-Leste,84.45,80.84,89.63
630,Puerto Rico,226.63,266.61,199.74
634,Qatar,82.37,70.72,119.69
638,"France, La Réunion",203.07,248.74,163.86
642,Romania,276.46,330.79,238.09
643,Russian Federation,248.06,288.54,230.8
646,Rwanda,83.22,91.66,79.72
662,Saint Lucia,166.77,199.33,136.58
678,Sao Tome and Principe,104.86,124.49,90.27
682,Saudi Arabia,87.09,80.99,100.35
686,Senegal,113.85,98.96,126.85
688,Serbia,250.4,289.86,219.64
694,Sierra Leone,35.9,39.3,34.71
702,Singapore,231.06,235.89,231.01
703,Slovakia,283.3,346.79,238.04
704,Viet Nam,150.75,177.14,132.33
705,Slovenia,305.14,343.67,275.53
706,Somalia,121.03,95.35,145.86
710,South Africa,203.42,232.44,190.35
716,Zimbabwe,207.96,202.45,220.53
724,Spain,274.58,319.93,237.97
728,South Sudan,99.42,89.79,109.72
729,Sudan,95.63,80.59,109.73
740,Suriname,169.46,195.03,154.8
748,Eswatini,135.3,107.82,173.62
752,Sweden,310.03,334.82,289.09
756,Switzerland,292.72,329.9,260.24
760,Syrian Arab Republic,138.57,142.74,136.87
762,Tajikistan,91.72,92.7,92.03
764,Thailand,154.36,161.55,150.55
768,Togo,107.48,105.4,111.05
780,Trinidad and Tobago,186.71,195.45,182.07
784,United Arab Emirates,105.12,86.43,157.81
788,Tunisia,135.35,159.42,115.31
792,Türkiye,225.86,273.7,192.24
795,Turkmenistan,122.73,128.76,121.37
800,Uganda,154.35,156.2,157.66
804,Ukraine,199.85,236.39,182.13
807,North Macedonia,206.91,239.8,180.52
818,Egypt,166.13,175.06,161.11
826,United Kingdom,307.82,327.71,292.54
834,"Tanzania, United Republic of",140.13,132.8,151.13
840,United States of America,366.95,401.68,341.74
854,Burkina Faso,125.18,112.53,138.54
858,Uruguay,279.91,322.27,253.2
860,Uzbekistan,112.67,112.94,114.63
862,Venezuela,184.79,201.61,174.5
882,Samoa,240.01,242.13,246.25
887,Yemen,83.13,77.81,89.17
894,Zambia,159.53,162.59,164.77
