code,country,both,male,female
004,Afghanistan,0.47,0.58,0.38
008,Albania,0.24,0.28,0.21
012,Algeria,0.34,0.36,0.31
024,Angola,0.24,0.32,0.17
031,Azerbaijan,0.87,1.19,0.59
032,Argentina,0.5,0.41,0.56
036,Australia,1.43,1.19,1.66
040,Austria,1.06,0.74,1.36
044,Bahamas,1.32,1.92,0.78
048,Bahrain,0.24,0.39,0.0
050,Bangladesh,0.24,0.32,0.15
051,Armenia,0.24,0.3,0.21
052,Barbados,1.44,0.97,1.8
056,Belgium,1.03,0.85,1.22
064,Bhutan,0.0,0.0,0.0
068,Bolivia,0.08,0.05,0.12
070,Bosnia Herzegovina,0.16,0.17,0.16
072,Botswana,0.71,0.4,0.94
076,Brazil,1.06,0.8,1.28
084,Belize,0.0,0.0,0.0
090,Solomon Islands,0.35,0.0,0.67
096,Brunei Darussalam,0.0,0.0,0.0
100,Bulgaria,0.49,0.46,0.51
104,Myanmar,0.31,0.43,0.24
108,Burundi,0.99,1.15,0.85
112,Belarus,0.75,0.66,0.85
116,Cambodia,0.29,0.38,0.22
120,Cameroon,0.68,0.68,0.67
124,Canada,1.21,0.74,1.66
132,Cape Verde,0.39,0.51,0.32
140,Central African Republic,0.57,0.49,0.63
144,Sri Lanka,0.41,0.55,0.3
148,Chad,0.13,0.28,0.0
152,Chile,0.38,0.39,0.36
156,China,0.22,0.25,0.19
170,Colombia,0.78,0.49,1.02
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",0.84,0.83,0.84
180,"Congo, Democratic Republic of",0.98,0.96,1.0
188,Costa Rica,0.23,0.21,0.24
191,Croatia,0.48,0.53,0.44
192,Cuba,0.83,0.33,1.3
196,Cyprus,0.51,0.4,0.59
203,Czechia,1.11,1.0,1.22
204,Benin,0.65,0.99,0.35
208,Denmark,1.64,0.95,2.31
214,Dominican Republic,0.16,0.15,0.18
218,Ecuador,0.66,0.42,0.88
222,El Salvador,0.25,0.0,0.43
226,Equatorial Guinea,0.72,1.0,0.43
231,Ethiopia,0.44,0.44,0.44
232,Eritrea,0.12,0.04,0.2
233,Estonia,0.69,0.58,0.75
242,Fiji,0.53,0.0,1.03
246,Finland,0.44,0.34,0.53
250,France (metropolitan),1.58,1.01,2.1
254,French Guyana,0.69,0.63,0.78
258,French Polynesia,0.21,0.0,0.41
262,Djibouti,0.0,0.0,0.0
266,Gabon,1.06,1.41,0.71
268,Georgia,0.2,0.33,0.11
270,The Republic of the Gambia,0.0,0.0,0.0
275,Gaza Strip and West Bank,0.11,0.23,0.0
276,Germany,1.53,1.33,1.72
288,Ghana,0.93,0.64,1.18
300,Greece,0.85,1.08,0.63
312,"France, Guadeloupe",0.33,0.0,0.6
316,Guam,0.0,0.0,0.0
320,Guatemala,0.05,0.0,0.09
324,Guinea,0.41,0.49,0.36
328,Guyana,0.13,0.0,0.25
332,Haiti,0.7,1.47,0.13
340,Honduras,0.58,0.46,0.67
348,Hungary,0.24,0.23,0.25
352,Iceland,0.52,0.0,1.02
356,India,0.36,0.41,0.31
360,Indonesia,0.28,0.37,0.19
364,"Iran, Islamic Republic of",0.26,0.29,0.23
368,Iraq,0.16,0.21,0.12
372,Ireland,0.78,0.66,0.88
376,Israel,0.32,0.42,0.23
380,Italy,1.02,0.97,1.07
384,Côte d'Ivoire,0.53,0.43,0.65
388,Jamaica,0.65,0.87,0.46
392,Japan,0.29,0.36,0.21
398,Kazakhstan,0.25,0.26,0.24
400,Jordan,0.27,0.32,0.23
404,Kenya,0.87,0.58,1.14
408,"Korea, Democratic People Republic of",0.09,0.09,0.1
410,"Korea, Republic of",0.34,0.29,0.39
414,Kuwait,0.16,0.16,0.16
417,Kyrgyzstan,0.26,0.19,0.29
418,Lao People's Democratic Republic,0.19,0.12,0.24
422,Lebanon,0.21,0.16,0.25
426,Lesotho,0.33,0.14,0.53
428,Latvia,0.66,0.46,0.85
430,Liberia,0.4,0.49,0.32
434,Libya,0.21,0.26,0.16
440,Lithuania,0.47,0.42,0.5
442,Luxembourg,0.49,0.71,0.22
450,Madagascar,1.36,1.34,1.38
454,Malawi,0.85,0.43,1.22
458,Malaysia,0.26,0.13,0.38
462,Maldives,0.0,0.0,0.0
466,Mali,0.61,0.66,0.58
470,Malta,0.54,0.48,0.63
474,"France, Martinique",0.49,0.0,0.88
478,Mauritania,0.84,1.1,0.61
