code,country,both,male,female
004,Afghanistan,29.44,,29.44
008,Albania,51.14,,51.14
012,Algeria,61.87,,61.87
024,Angola,29.43,,29.43
031,Azerbaijan,32.9,,32.9
032,Argentina,71.32,,71.32
036,Australia,101.47,,101.47
040,Austria,69.54,,69.54
044,Bahamas,64.64,,64.64
048,Bahrain,58.49,,58.49
050,Bangladesh,15.18,,15.18
051,Armenia,39.61,,39.61
052,Barbados,57.74,,57.74
056,Belgium,104.39,,104.39
064,Bhutan,4.56,,4.56
068,Bolivia,26.78,,26.78
070,Bosnia Herzegovina,51.88,,51.88
072,Botswana,23.03,,23.03
076,Brazil,63.12,,63.12
084,Belize,46.75,,46.75
090,Solomon Islands,49.18,,49.18
096,Brunei Darussalam,50.16,,50.16
100,Bulgaria,52.82,,52.82
104,Myanmar,23.41,,23.41
108,Burundi,25.32,,25.32
112,Belarus,56.57,,56.57
116,Cambodia,25.13,,25.13
120,Cameroon,48.64,,48.64
124,Canada,88.59,,88.59
132,Cape Verde,23.4,,23.4
140,Central African Republic,37.72,,37.72
144,Sri Lanka,27.68,,27.68
148,Chad,14.24,,14.24
152,Chile,38.23,,38.23
156,China,33.04,,33.04
170,Colombia,50.7,,50.7
174,Comoros,21.5,,21.5
178,"Congo, Republic of",26.85,,26.85
180,"Congo, Democratic Republic of",26.45,,26.45
188,Costa Rica,37.53,,37.53
191,Croatia,74.64,,74.64
192,Cuba,47.24,,47.24
196,Cyprus,104.75,,104.75
203,Czechia,72.51,,72.51
204,Benin,33.26,,33.26
208,Denmark,95.42,,95.42
214,Dominican Republic,53.39,,53.39
218,Ecuador,39.46,,39.46
222,El Salvador,39.65,,39.65
226,Equatorial Guinea,40.99,,40.99
231,Ethiopia,40.81,,40.81
232,Eritrea,37.78,,37.78
233,Estonia,63.06,,63.06
242,Fiji,60.26,,60.26
246,Finland,92.33,,92.33
250,France (metropolitan),105.42,,105.42
254,French Guyana,55.71,,55.71
258,French Polynesia,71.91,,71.91
262,Djibouti,38.06,,38.06
266,Gabon,36.41,,36.41
268,Georgia,49.04,,49.04
270,The Republic of the Gambia,12.12,,12.12
275,Gaza Strip and West Bank,46.33,,46.33
276,Germany,77.02,,77.02
288,Ghana,40.19,,40.19
300,Greece,82.36,,82.36
312,"France, Guadeloupe",66.41,,66.41
316,Guam,44.15,,44.15
320,Guatemala,28.35,,28.35
324,Guinea,15.95,,15.95
328,Guyana,52.6,,52.6
332,Haiti,25.16,,25.16
340,Honduras,27.28,,27.28
348,Hungary,76.38,,76.38
352,Iceland,71.06,,71.06
356,India,26.6,,26.6
360,Indonesia,41.78,,41.78
364,"Iran, Islamic Republic of",30.45,,30.45
368,Iraq,56.91,,56.91
372,Ireland,91.45,,91.45
376,Israel,78.74,,78.74
380,Italy,87.01,,87.01
384,Côte d'Ivoire,45.44,,45.44
388,Jamaica,71.12,,71.12
392,Japan,74.39,,74.39
398,Kazakhstan,36.94,,36.94
400,Jordan,59.99,,59.99
404,Kenya,40.77,,40.77
408,"Korea, Democratic People Republic of",32.25,,32.25
410,"Korea, Republic of",61.48,,61.48
414,Kuwait,49.83,,49.83
417,Kyrgyzstan,25.31,,25.31
418,Lao People's Democratic Republic,31.63,,31.63
422,Lebanon,57.89,,57.89
426,Lesotho,18.92,,18.92
428,Latvia,65.95,,65.95
430,Liberia,33.57,,33.57
434,Libya,30.98,,30.98
440,Lithuania,62.74,,62.74
442,Luxembourg,99.7,,99.7
450,Madagascar,30.32,,30.32
454,Malawi,25.19,,25.19
458,Malaysia,46.09,,46.09
462,Maldives,39.84,,39.84
466,Mali,37.73,,37.73
470,Malta,86.3,,86.3
474,"France, Martinique",77.16,,77.16
478,Mauritania,34.54,,34.54
480,Mauritius,52.68,,52.68
484,Mexico,39.94,,39.94
496,Mongolia,12.63,,12.63
498,Moldova,46.57,,46.57
499,Montenegro,76.54,,76.54
504,Morocco,58.37,,58.37
508,Mozambique,19.69,,19.69
512,Oman,33.96,,33.96
516,Namibia,53.93,,53.93
524,Nepal,14.35,,14.35
528,The Netherlands,101.6,,101.6
540,New Caledonia,90.18,,90.18
548,Vanuatu,29.6,,29.6
554,New Zealand,94.36,,94.36
558,Nicaragua,35.32,,35.32
562,Niger,29.46,,29.46
566,Nigeria,51.5,,51.5
578,Norway,95.56,,95.56
586,Pakistan,34.23,,34.23
591,Panama,41.39,,41.39
598,Papua New Guinea,46.03,,46.03
600,Paraguay,58.37,,58.37
604,Peru,39.3,,39.3
608,Philippines,60.34,,60.34
616,Poland,65.96,,65.96
620,Portugal,88.75,,88.75
624,Guinea-Bissau,27.17,,27.17
626,Timor-Leste,26.38,,26.38
630,Puerto Rico,62.32,,62.32
634,Qatar,39.03,,39.03
638,"France, La Réunion",55.94,,55.94
642,Romania,69.22,,69.22
643,Russian Federation,57.67,,57.67
646,Rwanda,16.2,,16.2
662,Saint Lucia,51.68,,51.68
678,Sao Tome and Principe,19.91,,19.91
682,Saudi Arabia,25.28,,25.28
686,Senegal,29.89,,29.89
688,Serbia,60.5,,60.5
694,Sierra Leone,7.02,,7.02
702,Singapore,72.61,,72.61
703,Slovakia,67.3,,67.3
704,Viet Nam,37.96,,37.96
705,Slovenia,82.27,,82.27
706,Somalia,38.62,,38.62
710,South Africa,47.8,,47.8
716,Zimbabwe,35.84,,35.84
724,Spain,80.96,,80.96
728,South Sudan,27.99,,27.99
729,Sudan,39.94,,39.94
740,Suriname,46.38,,46.38
748,Eswatini,26.17,,26.17
752,Sweden,81.41,,81.41
756,Switzerland,77.42,,77.42
760,Syrian Arab Republic,46.21,,46.21
762,Tajikistan,19.47,,19.47
