code,country,both,male,female
004,Afghanistan,5.57,6.06,5.15
008,Albania,10.18,12.49,8.02
012,Algeria,17.05,18.22,15.9
024,Angola,4.61,4.44,4.66
031,Azerbaijan,14.17,15.73,12.95
032,Argentina,24.2,30.45,19.36
036,Australia,34.6,37.76,31.69
040,Austria,21.84,26.87,17.45
044,Bahamas,19.29,25.43,14.55
048,Bahrain,13.51,14.75,12.38
050,Bangladesh,3.59,4.03,3.12
051,Armenia,21.97,25.03,19.78
052,Barbados,24.7,30.16,19.8
056,Belgium,29.22,33.97,25.02
064,Bhutan,4.15,4.96,3.23
068,Bolivia,6.04,6.69,5.41
070,Bosnia Herzegovina,26.31,33.45,20.36
072,Botswana,4.46,5.02,4.08
076,Brazil,19.83,22.4,17.79
084,Belize,5.98,5.46,6.47
090,Solomon Islands,4.59,3.36,5.74
096,Brunei Darussalam,31.77,37.7,25.82
100,Bulgaria,30.18,40.16,22.6
104,Myanmar,9.9,11.81,8.48
108,Burundi,6.44,7.18,5.83
112,Belarus,32.71,43.39,26.32
116,Cambodia,12.57,14.18,11.52
120,Cameroon,6.28,6.85,5.76
124,Canada,28.6,33.44,24.1
132,Cape Verde,5.52,6.59,4.82
140,Central African Republic,5.68,5.99,5.38
144,Sri Lanka,7.79,7.81,7.91
148,Chad,2.25,3.38,1.22
152,Chile,20.27,22.59,18.29
156,China,20.1,24.74,15.7
170,Colombia,16.44,17.8,15.31
174,Comoros,3.65,3.32,3.99
178,"Congo, Republic of",4.81,4.73,4.78
180,"Congo, Democratic Republic of",5.98,6.29,5.73
188,Costa Rica,14.3,13.21,15.4
191,Croatia,41.06,55.94,29.44
192,Cuba,19.9,18.14,21.5
196,Cyprus,24.11,29.38,19.51
203,Czechia,30.54,39.0,23.43
204,Benin,6.94,9.67,4.85
208,Denmark,48.07,55.07,41.89
214,Dominican Republic,14.69,16.18,13.17
218,Ecuador,12.35,12.14,12.55
222,El Salvador,8.65,9.31,8.16
226,Equatorial Guinea,5.6,7.13,4.03
231,Ethiopia,9.04,9.83,8.42
232,Eritrea,6.89,7.66,6.26
233,Estonia,31.76,40.75,26.3
242,Fiji,11.49,12.31,10.74
246,Finland,26.75,30.58,23.61
250,France (metropolitan),32.1,37.57,27.4
254,French Guyana,16.15,21.8,11.35
258,French Polynesia,11.93,14.39,9.57
262,Djibouti,6.39,7.28,5.49
266,Gabon,6.78,8.15,5.47
268,Georgia,14.51,19.71,10.82
270,The Republic of the Gambia,2.61,2.54,2.67
275,Gaza Strip and West Bank,18.28,20.64,16.18
276,Germany,25.65,31.23,20.51
288,Ghana,4.72,4.88,4.54
300,Greece,26.75,32.89,21.5
312,"France, Guadeloupe",22.79,26.74,19.63
316,Guam,15.97,18.36,13.76
320,Guatemala,6.17,6.51,5.89
324,Guinea,2.75,3.05,2.56
328,Guyana,8.76,10.3,7.41
332,Haiti,11.31,10.02,12.54
340,Honduras,7.09,7.48,6.78
348,Hungary,44.2,62.39,30.36
352,Iceland,30.95,32.16,29.91
356,India,4.89,6.08,3.72
360,Indonesia,12.08,15.68,8.88
364,"Iran, Islamic Republic of",13.89,15.86,11.91
368,Iraq,8.93,10.81,7.3
372,Ireland,32.31,38.85,26.14
376,Israel,24.81,28.61,21.29
380,Italy,30.56,35.97,26.0
384,Côte d'Ivoire,7.16,7.57,6.75
388,Jamaica,20.15,25.8,14.94
392,Japan,36.63,45.45,28.54
398,Kazakhstan,15.5,19.59,12.92
400,Jordan,16.53,16.99,16.2
404,Kenya,11.07,12.3,10.24
408,"Korea, Democratic People Republic of",18.98,23.79,15.46
410,"Korea, Republic of",26.52,33.81,20.12
414,Kuwait,11.16,11.1,11.52
417,Kyrgyzstan,7.91,9.99,6.67
418,Lao People's Democratic Republic,14.06,15.92,12.45
422,Lebanon,12.87,16.0,9.84
426,Lesotho,5.84,7.79,4.67
428,Latvia,23.47,31.12,19.09
430,Liberia,4.45,5.0,4.03
434,Libya,15.93,16.81,15.44
440,Lithuania,21.76,29.31,17.33
442,Luxembourg,23.63,28.05,19.75
450,Madagascar,5.7,5.3,6.07
454,Malawi,4.9,5.73,4.42
458,Malaysia,19.66,21.44,17.94
462,Maldives,11.8,15.63,7.41
466,Mali,8.94,8.78,9.09
470,Malta,27.03,30.95,23.31
474,"France, Martinique",21.73,24.89,19.34
478,Mauritania,6.24,7.03,5.61
480,Mauritius,16.91,19.98,14.41
