code,country,both,male,female
004,Afghanistan,0.73,0.89,0.58
008,Albania,1.89,2.21,1.6
012,Algeria,2.22,2.21,2.23
024,Angola,0.58,0.16,0.92
031,Azerbaijan,1.98,2.23,1.76
032,Argentina,1.66,2.25,1.12
036,Australia,2.37,2.91,1.85
040,Austria,1.64,1.83,1.45
044,Bahamas,1.87,1.41,2.32
048,Bahrain,0.75,0.71,0.81
050,Bangladesh,0.31,0.43,0.19
051,Armenia,1.66,1.97,1.39
052,Barbados,0.0,0.0,0.0
056,Belgium,3.01,3.37,2.64
064,Bhutan,0.0,0.0,0.0
068,Bolivia,1.2,1.78,0.63
070,Bosnia Herzegovina,2.65,2.63,2.67
072,Botswana,1.17,1.34,1.01
076,Brazil,1.08,1.25,0.94
084,Belize,0.59,1.18,0.0
090,Solomon Islands,0.71,0.69,0.74
096,Brunei Darussalam,1.06,1.58,0.49
100,Bulgaria,1.36,1.41,1.32
104,Myanmar,0.2,0.34,0.08
108,Burundi,0.92,1.14,0.72
112,Belarus,2.45,2.29,2.65
116,Cambodia,0.45,0.58,0.34
120,Cameroon,0.54,0.71,0.38
124,Canada,2.56,2.95,2.18
132,Cape Verde,0.15,0.0,0.32
140,Central African Republic,0.39,0.66,0.16
144,Sri Lanka,0.92,1.15,0.73
148,Chad,0.17,0.34,0.0
152,Chile,1.3,1.52,1.09
160,China,0.23,0.28,0.19
170,Colombia,1.16,1.31,1.04
174,Comoros,0.08,0.17,0.0
178,"Congo, Republic of",0.07,0.1,0.05
180,"Congo, Democratic Republic of",0.45,0.53,0.37
188,Costa Rica,1.74,1.85,1.6
191,Croatia,2.22,1.88,2.58
192,Cuba,2.1,2.65,1.55
196,Cyprus,2.61,3.04,2.19
203,Czechia,2.18,2.55,1.81
204,Benin,0.39,0.68,0.19
208,Denmark,2.6,2.94,2.28
214,Dominican Republic,1.98,2.14,1.83
218,Ecuador,1.16,1.22,1.11
222,El Salvador,0.88,1.01,0.77
226,Equatorial Guinea,0.3,0.34,0.28
231,Ethiopia,0.65,0.9,0.4
232,Eritrea,0.65,1.05,0.26
233,Estonia,2.42,2.42,2.46
242,Fiji,1.55,1.61,1.49
246,Finland,2.69,2.99,2.39
250,France (metropolitan),2.78,3.66,1.92
254,French Guyana,0.36,0.74,0.0
258,French Polynesia,0.0,0.0,0.0
262,Djibouti,0.29,0.53,0.0
266,Gabon,0.31,0.35,0.25
268,Georgia,2.32,2.96,1.74
270,The Republic of the Gambia,0.16,0.32,0.0
275,Gaza Strip and West Bank,2.04,1.98,2.11
276,Germany,2.14,3.03,1.23
288,Ghana,0.61,0.72,0.51
300,Greece,1.84,1.69,2.06
312,"France, Guadeloupe",0.58,0.55,0.62
316,Guam,0.0,0.0,0.0
320,Guatemala,0.88,1.29,0.53
324,Guinea,0.58,0.76,0.44
328,Guyana,0.0,0.0,0.0
332,Haiti,0.82,0.98,0.67
340,Honduras,1.89,2.18,1.59
348,Hungary,2.48,2.24,2.76
352,Iceland,2.6,2.02,3.21
356,India,0.67,0.8,0.52
360,Indonesia,0.44,0.62,0.26
364,"Iran, Islamic Republic of",1.88,2.64,1.11
368,Iraq,2.46,2.63,2.29
372,Ireland,3.16,3.57,2.79
376,Israel,2.76,2.97,2.56
380,Italy,3.48,3.89,3.08
384,Côte d'Ivoire,0.56,0.66,0.45
388,Jamaica,0.55,0.5,0.6
392,Japan,0.92,1.26,0.58
398,Kazakhstan,0.85,1.09,0.64
400,Jordan,2.13,2.3,1.94
404,Kenya,0.85,0.98,0.73
408,"Korea, Democratic People Republic of",0.44,0.49,0.37
410,"Korea, Republic of",0.54,0.61,0.48
