code,country,both,male,female
004,Afghanistan,0.64,0.86,0.44
008,Albania,0.3,0.29,0.3
012,Algeria,0.17,0.23,0.11
024,Angola,0.05,0.1,0.0
031,Azerbaijan,0.26,0.44,0.11
032,Argentina,0.15,0.28,0.04
036,Australia,0.47,0.79,0.17
040,Austria,0.84,1.48,0.25
044,Bahamas,0.0,0.0,0.0
048,Bahrain,0.0,0.0,0.0
050,Bangladesh,5.48,9.26,1.55
051,Armenia,0.22,0.53,0.0
052,Barbados,1.42,3.05,0.0
056,Belgium,1.1,1.83,0.41
064,Bhutan,1.98,2.46,1.42
068,Bolivia,0.0,0.0,0.0
070,Bosnia Herzegovina,0.78,1.43,0.2
072,Botswana,0.47,1.1,0.0
076,Brazil,0.52,1.01,0.1
084,Belize,0.0,0.0,0.0
090,Solomon Islands,0.0,0.0,0.0
096,Brunei Darussalam,0.0,0.0,0.0
100,Bulgaria,0.69,1.31,0.14
104,Myanmar,2.34,4.86,0.38
108,Burundi,0.3,0.59,0.07
112,Belarus,2.43,5.45,0.13
116,Cambodia,0.67,1.37,0.17
120,Cameroon,0.94,1.66,0.22
124,Canada,0.29,0.47,0.12
132,Cape Verde,0.66,1.56,0.0
140,Central African Republic,0.0,0.0,0.0
144,Sri Lanka,1.36,2.44,0.46
148,Chad,0.16,0.0,0.31
152,Chile,0.19,0.29,0.12
160,China,0.39,0.75,0.04
170,Colombia,0.18,0.28,0.1
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",0.0,0.0,0.0
180,"Congo, Democratic Republic of",0.22,0.38,0.08
188,Costa Rica,0.23,0.24,0.2
191,Croatia,1.41,2.68,0.3
192,Cuba,0.82,1.65,0.06
196,Cyprus,0.11,0.23,0.0
203,Czechia,0.73,1.31,0.21
204,Benin,0.1,0.17,0.05
208,Denmark,0.98,1.68,0.33
214,Dominican Republic,0.26,0.29,0.23
218,Ecuador,0.08,0.12,0.04
222,El Salvador,0.05,0.13,0.0
226,Equatorial Guinea,0.0,0.0,0.0
231,Ethiopia,0.09,0.11,0.06
232,Eritrea,0.0,0.0,0.0
233,Estonia,1.49,2.76,0.51
242,Fiji,0.0,0.0,0.0
246,Finland,0.32,0.6,0.07
250,France (metropolitan),2.0,3.7,0.45
254,French Guyana,0.0,0.0,0.0
258,French Polynesia,1.33,2.61,0.0
262,Djibouti,0.0,0.0,0.0
266,Gabon,0.15,0.11,0.18
268,Georgia,1.03,2.26,0.08
270,The Republic of the Gambia,0.0,0.0,0.0
275,Gaza Strip and West Bank,0.0,0.0,0.0
276,Germany,1.01,1.84,0.24
288,Ghana,0.14,0.3,0.0
300,Greece,0.1,0.18,0.03
312,"France, Guadeloupe",1.36,3.07,0.0
316,Guam,0.0,0.0,0.0
320,Guatemala,0.04,0.08,0.0
324,Guinea,0.09,0.21,0.02
328,Guyana,0.23,0.28,0.21
332,Haiti,0.1,0.11,0.09
340,Honduras,0.12,0.16,0.08
348,Hungary,3.47,6.37,0.96
352,Iceland,0.0,0.0,0.0
356,India,2.14,3.39,0.9
360,Indonesia,0.1,0.13,0.07
364,"Iran, Islamic Republic of",0.13,0.12,0.13
