code,country,both,male,female
004,Afghanistan,0.1,0.13,0.07
008,Albania,0.07,0.15,0.0
012,Algeria,0.13,0.19,0.07
024,Angola,2.76,4.04,1.59
031,Azerbaijan,0.44,0.51,0.39
032,Argentina,0.45,0.82,0.11
036,Australia,0.1,0.16,0.04
040,Austria,0.05,0.08,0.02
044,Bahamas,1.02,2.23,0.0
048,Bahrain,0.0,0.0,0.0
050,Bangladesh,0.0,0.0,0.0
051,Armenia,0.0,0.0,0.0
052,Barbados,2.04,4.13,0.0
056,Belgium,0.25,0.4,0.1
064,Bhutan,0.0,0.0,0.0
068,Bolivia,0.0,0.0,0.0
070,Bosnia Herzegovina,0.0,0.0,0.0
072,Botswana,9.27,11.6,7.31
076,Brazil,0.26,0.43,0.09
084,Belize,0.0,0.0,0.0
090,Solomon Islands,0.0,0.0,0.0
096,Brunei Darussalam,0.0,0.0,0.0
100,Bulgaria,0.05,0.11,0.01
104,Myanmar,0.02,0.04,0.01
108,Burundi,4.92,6.87,3.17
112,Belarus,0.15,0.26,0.07
116,Cambodia,0.01,0.0,0.01
120,Cameroon,6.23,9.23,3.4
124,Canada,0.16,0.29,0.03
132,Cape Verde,0.88,1.99,0.23
140,Central African Republic,2.31,4.42,0.85
144,Sri Lanka,0.0,0.0,0.0
148,Chad,0.33,0.57,0.12
152,Chile,0.15,0.26,0.04
160,China,0.03,0.03,0.02
170,Colombia,0.69,1.34,0.11
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",0.35,0.53,0.17
180,"Congo, Democratic Republic of",0.22,0.38,0.07
188,Costa Rica,0.24,0.46,0.03
191,Croatia,0.08,0.16,0.02
192,Cuba,0.11,0.19,0.03
196,Cyprus,0.23,0.43,0.05
203,Czechia,0.06,0.1,0.02
204,Benin,0.26,0.36,0.16
208,Denmark,0.05,0.1,0.0
214,Dominican Republic,0.29,0.12,0.45
218,Ecuador,0.34,0.6,0.1
222,El Salvador,0.04,0.09,0.0
226,Equatorial Guinea,4.81,6.69,2.61
231,Ethiopia,0.18,0.27,0.1
232,Eritrea,0.07,0.17,0.0
233,Estonia,0.0,0.0,0.0
242,Fiji,0.0,0.0,0.0
246,Finland,0.09,0.17,0.01
250,France (metropolitan),0.19,0.34,0.04
254,French Guyana,0.0,0.0,0.0
258,French Polynesia,0.0,0.0,0.0
262,Djibouti,0.0,0.0,0.0
266,Gabon,2.92,3.81,1.97
268,Georgia,0.06,0.1,0.02
270,The Republic of the Gambia,0.29,0.53,0.07
275,Gaza Strip and West Bank,0.26,0.32,0.21
276,Germany,0.09,0.14,0.03
288,Ghana,0.48,0.63,0.33
300,Greece,0.1,0.19,0.02
312,"France, Guadeloupe",0.0,0.0,0.0
316,Guam,0.0,0.0,0.0
320,Guatemala,0.0,0.0,0.0
324,Guinea,0.43,0.69,0.26
328,Guyana,0.0,0.0,0.0
332,Haiti,0.53,0.96,0.14
340,Honduras,0.05,0.0,0.08
348,Hungary,0.02,0.03,0.03
352,Iceland,0.0,0.0,0.0
356,India,0.0,0.01,0.0
360,Indonesia,0.04,0.06,0.02
364,"Iran, Islamic Republic of",0.19,0.27,0.1
368,Iraq,0.22,0.29,0.16
372,Ireland,0.1,0.19,0.0
376,Israel,0.58,0.66,0.51
380,Italy,0.53,0.91,0.19
384,Côte d'Ivoire,1.14,1.31,0.96
388,Jamaica,0.0,0.0,0.0
392,Japan,0.03,0.05,0.0
398,Kazakhstan,0.11,0.21,0.05
400,Jordan,0.17,0.27,0.08
404,Kenya,1.51,1.9,1.23
408,"Korea, Democratic People Republic of",0.02,0.02,0.02
410,"Korea, Republic of",0.05,0.1,0.02
414,Kuwait,0.13,0.21,0.0
417,Kyrgyzstan,0.16,0.24,0.1
418,Lao People's Democratic Republic,0.02,0.05,0.0
422,Lebanon,0.13,0.24,0.04
426,Lesotho,6.46,8.43,4.46
428,Latvia,0.0,0.0,0.0
430,Liberia,0.73,1.01,0.49
434,Libya,0.28,0.47,0.12
440,Lithuania,0.09,0.16,0.05
442,Luxembourg,0.0,0.0,0.0
450,Madagascar,0.03,0.05,0.0
454,Malawi,12.0,16.48,7.92
458,Malaysia,0.07,0.13,0.01
462,Maldives,0.0,0.0,0.0
466,Mali,0.85,1.14,0.6
470,Malta,0.37,0.62,0.14
474,"France, Martinique",0.0,0.0,0.0
478,Mauritania,0.55,0.64,0.47
480,Mauritius,0.0,0.0,0.0
484,Mexico,0.34,0.61,0.09
496,Mongolia,0.0,0.0,0.0
498,Moldova,0.06,0.14,0.0
499,Montenegro,0.0,0.0,0.0
504,Morocco,0.25,0.39,0.13
508,Mozambique,14.39,20.43,9.2
512,Oman,0.24,0.36,0.0
516,Namibia,13.64,21.15,7.76
524,Nepal,0.0,0.0,0.0
528,The Netherlands,0.13,0.23,0.02
540,New Caledonia,0.0,0.0,0.0
548,Vanuatu,0.0,0.0,0.0
554,New Zealand,0.08,0.17,0.0
558,Nicaragua,0.23,0.47,0.0
562,Niger,0.13,0.17,0.11
566,Nigeria,1.02,1.63,0.44
578,Norway,0.06,0.12,0.0
586,Pakistan,0.04,0.03,0.05
