code,country,both,male,female
004,Afghanistan,2.42,3.29,1.59
008,Albania,3.51,5.07,2.07
012,Algeria,1.63,1.88,1.39
024,Angola,1.88,2.94,1.16
031,Azerbaijan,2.76,4.02,1.67
032,Argentina,8.14,12.64,4.45
036,Australia,9.53,14.13,5.15
040,Austria,7.77,10.59,5.12
044,Bahamas,1.25,1.8,0.8
048,Bahrain,2.27,2.75,1.5
050,Bangladesh,0.95,1.15,0.76
051,Armenia,4.43,6.49,2.95
052,Barbados,5.14,9.02,1.66
056,Belgium,8.15,11.23,5.25
064,Bhutan,0.32,0.59,0.0
068,Bolivia,3.02,3.4,2.63
070,Bosnia Herzegovina,5.34,7.68,3.23
072,Botswana,0.95,1.12,0.83
076,Brazil,3.88,5.38,2.62
084,Belize,1.64,2.07,1.2
090,Solomon Islands,0.45,0.0,0.89
096,Brunei Darussalam,3.97,4.57,3.3
100,Bulgaria,5.96,8.34,3.88
104,Myanmar,1.03,1.62,0.59
108,Burundi,1.2,1.33,1.12
112,Belarus,14.14,22.92,7.66
116,Cambodia,1.26,1.98,0.59
120,Cameroon,0.84,1.24,0.49
124,Canada,10.85,15.1,6.8
132,Cape Verde,1.16,0.88,1.3
140,Central African Republic,1.07,1.16,1.0
144,Sri Lanka,1.18,1.89,0.59
148,Chad,1.61,1.55,1.63
152,Chile,7.59,10.83,4.78
160,China,3.13,4.08,2.21
170,Colombia,3.75,4.31,3.28
174,Comoros,0.46,0.36,0.56
178,"Congo, Republic of",0.67,0.79,0.58
180,"Congo, Democratic Republic of",1.11,1.19,1.05
188,Costa Rica,2.81,3.57,2.1
191,Croatia,10.25,14.1,6.96
192,Cuba,3.37,4.45,2.37
196,Cyprus,4.68,6.55,2.98
203,Czechia,13.32,19.04,8.17
204,Benin,1.16,1.57,0.81
208,Denmark,10.98,14.8,7.33
214,Dominican Republic,1.36,1.55,1.2
218,Ecuador,3.09,3.85,2.38
222,El Salvador,2.1,2.87,1.55
226,Equatorial Guinea,0.81,0.84,0.77
231,Ethiopia,2.21,2.75,1.74
232,Eritrea,2.13,2.55,1.82
233,Estonia,10.5,13.81,8.04
242,Fiji,0.57,0.22,0.94
246,Finland,8.85,11.8,6.09
250,France (metropolitan),11.39,15.37,7.84
254,French Guyana,2.46,3.49,1.46
258,French Polynesia,3.41,6.14,0.59
262,Djibouti,1.89,2.13,1.69
266,Gabon,1.49,1.37,1.57
268,Georgia,4.56,7.1,2.76
270,The Republic of the Gambia,0.24,0.16,0.3
275,Gaza Strip and West Bank,3.33,4.38,2.35
276,Germany,8.99,12.62,5.69
288,Ghana,1.31,1.63,1.01
300,Greece,8.19,11.86,4.83
312,"France, Guadeloupe",2.32,3.41,1.46
316,Guam,2.04,4.71,0.0
320,Guatemala,2.01,2.41,1.68
324,Guinea,0.62,0.83,0.49
328,Guyana,1.94,1.49,2.31
332,Haiti,2.18,2.48,1.98
340,Honduras,2.18,2.43,2.0
348,Hungary,11.05,15.53,7.23
352,Iceland,10.27,13.05,7.56
356,India,1.25,1.58,0.92
360,Indonesia,0.9,1.36,0.45
364,"Iran, Islamic Republic of",2.26,2.85,1.65
368,Iraq,3.06,3.74,2.5
372,Ireland,10.44,14.47,6.61
376,Israel,7.91,11.58,4.47
380,Italy,9.7,14.2,5.54
384,Côte d'Ivoire,1.29,1.2,1.39
388,Jamaica,1.28,1.22,1.36
392,Japan,6.88,10.34,3.59
398,Kazakhstan,4.6,6.7,3.04
400,Jordan,3.21,4.15,2.28
404,Kenya,1.3,1.23,1.35
408,"Korea, Democratic People Republic of",3.19,4.31,2.31
410,"Korea, Republic of",4.97,7.19,2.9
414,Kuwait,2.53,3.06,1.66
417,Kyrgyzstan,2.51,3.49,1.85
418,Lao People's Democratic Republic,1.3,1.7,0.94
422,Lebanon,3.67,4.98,2.35
426,Lesotho,0.36,0.49,0.3
428,Latvia,13.66,19.24,9.5
430,Liberia,0.9,0.95,0.87
434,Libya,3.43,4.67,2.3
440,Lithuania,11.57,17.87,6.96
442,Luxembourg,5.91,6.46,5.33
450,Madagascar,0.97,1.05,0.93
454,Malawi,0.91,0.91,0.92
458,Malaysia,3.1,4.05,2.14
462,Maldives,0.24,0.47,0.0
466,Mali,1.84,2.01,1.71
470,Malta,10.02,14.12,5.98
474,"France, Martinique",3.8,4.96,2.83
478,Mauritania,1.24,1.56,0.94
480,Mauritius,1.69,2.25,1.18
484,Mexico,4.5,6.51,2.77
496,Mongolia,4.32,5.17,3.73
498,Moldova,5.84,8.46,3.74
499,Montenegro,4.04,5.67,2.45
504,Morocco,1.9,2.1,1.72
508,Mozambique,0.71,0.51,0.89
512,Oman,2.4,2.76,2.0
516,Namibia,2.58,3.26,2.14
524,Nepal,0.53,0.76,0.33
528,The Netherlands,8.3,11.0,5.71
540,New Caledonia,5.24,7.79,3.08
548,Vanuatu,0.0,0.0,0.0
554,New Zealand,7.67,11.35,4.35
558,Nicaragua,2.68,3.82,1.79
562,Niger,1.45,1.72,1.14
566,Nigeria,0.93,0.96,0.92
578,Norway,11.1,15.72,6.51
586,Pakistan,1.67,1.81,1.52
591,Panama,3.77,5.17,2.45
598,Papua New Guinea,1.1,1.57,0.66
600,Paraguay,2.84,4.16,1.52
604,Peru,4.96,6.52,3.48
608,Philippines,2.91,4.2,1.83
616,Poland,7.64,10.26,5.45
620,Portugal,7.18,9.91,4.95
624,Guinea-Bissau,0.85,0.7,0.96
626,Timor-Leste,1.0,1.66,0.38
630,Puerto Rico,4.68,6.41,3.34
634,Qatar,1.59,1.25,2.42
638,"France, La Réunion",3.79,5.44,2.34
642,Romania,7.52,10.57,4.75
643,Russian Federation,11.82,16.76,8.2
646,Rwanda,0.8,0.56,1.05
662,Saint Lucia,3.08,2.9,3.28
678,Sao Tome and Principe,0.37,0.73,0.0
682,Saudi Arabia,2.5,2.79,2.07
686,Senegal,1.23,1.47,1.05
688,Serbia,6.47,8.86,4.39
694,Sierra Leone,0.04,0.0,0.07
702,Singapore,7.0,9.8,4.04
703,Slovakia,11.09,16.62,6.22
704,Viet Nam,2.01,2.03,2.03
705,Slovenia,8.5,12.62,4.6
706,Somalia,1.99,2.21,1.78
710,South Africa,2.57,3.52,1.89
716,Zimbabwe,1.5,2.1,1.23
724,Spain,8.8,12.87,5.01
728,South Sudan,1.47,1.64,1.32
729,Sudan,1.89,1.98,1.82
740,Suriname,1.33,2.59,0.21
748,Eswatini,0.51,0.0,1.03
752,Sweden,9.13,12.37,5.93
756,Switzerland,5.76,8.72,2.9
760,Syrian Arab Republic,2.9,4.02,1.87
762,Tajikistan,1.97,2.78,1.25
764,Thailand,1.71,2.45,1.09
768,Togo,1.28,1.65,0.96
780,Trinidad and Tobago,4.72,5.26,4.23
784,United Arab Emirates,2.71,2.62,2.92
788,Tunisia,2.21,2.6,1.87
792,Türkiye,5.27,7.18,3.63
795,Turkmenistan,3.8,5.31,2.63
800,Uganda,1.34,1.64,1.18
804,Ukraine,7.97,11.16,5.66
807,North Macedonia,2.9,3.83,2.03
818,Egypt,2.44,2.95,1.97
826,United Kingdom,10.04,13.43,6.87
834,"Tanzania, United Republic of",1.42,1.49,1.3
840,United States of America,12.77,17.17,8.68
854,Burkina Faso,1.91,1.72,2.15
858,Uruguay,13.98,20.47,8.71
860,Uzbekistan,2.35,3.26,1.55
862,Venezuela,6.61,9.3,4.26
882,Samoa,7.79,7.48,8.27
887,Yemen,0.62,0.82,0.44
894,Zambia,0.71,0.57,0.82
