Cancer label,Code,Country,BOTH ASR (World) per 100 000,FEMALE ASR (World) per 100 000,MALE ASR (World) per 100 000
"Trachea, bronchus and lung",004,Afghanistan,7.22,3.64,11.03
"Trachea, bronchus and lung",008,Albania,25.28,10.27,41.51
"Trachea, bronchus and lung",012,Algeria,11.32,3.21,19.52
"Trachea, bronchus and lung",024,Angola,2.4,1.6,3.28
"Trachea, bronchus and lung",031,Azerbaijan,19.35,5.16,37.51
"Trachea, bronchus and lung",032,Argentina,19.87,12.06,29.98
"Trachea, bronchus and lung",036,Australia,24.08,21.49,27.05
"Trachea, bronchus and lung",040,Austria,27.16,23.86,31.15
"Trachea, bronchus and lung",044,Bahamas,8.78,5.32,13.06
"Trachea, bronchus and lung",048,Bahrain,10.05,5.33,15.07
"Trachea, bronchus and lung",050,Bangladesh,8.8,4.0,13.45
"Trachea, bronchus and lung",051,Armenia,28.95,9.08,57.38
"Trachea, bronchus and lung",052,Barbados,9.42,6.02,13.19
"Trachea, bronchus and lung",056,Belgium,32.69,24.37,42.31
"Trachea, bronchus and lung",064,Bhutan,7.03,7.6,6.53
"Trachea, bronchus and lung",068,Bolivia,8.48,5.97,11.55
"Trachea, bronchus and lung",070,Bosnia Herzegovina,36.06,15.67,59.51
"Trachea, bronchus and lung",072,Botswana,3.62,1.65,6.46
"Trachea, bronchus and lung",076,Brazil,14.62,11.74,18.34
"Trachea, bronchus and lung",084,Belize,8.79,3.97,13.59
"Trachea, bronchus and lung",090,Solomon Islands,6.18,3.15,9.4
"Trachea, bronchus and lung",096,Brunei Darussalam,24.03,22.57,25.55
"Trachea, bronchus and lung",100,Bulgaria,27.13,13.27,43.8
"Trachea, bronchus and lung",104,Myanmar,16.07,12.19,21.59
"Trachea, bronchus and lung",108,Burundi,3.41,2.84,4.18
"Trachea, bronchus and lung",112,Belarus,26.03,5.48,56.48
"Trachea, bronchus and lung",116,Cambodia,15.7,9.92,23.93
"Trachea, bronchus and lung",120,Cameroon,3.06,1.94,4.37
"Trachea, bronchus and lung",124,Canada,32.39,30.35,34.86
"Trachea, bronchus and lung",132,Cape Verde,2.19,2.47,1.82
"Trachea, bronchus and lung",140,Central African Republic,2.04,1.46,2.68
"Trachea, bronchus and lung",144,Sri Lanka,6.66,3.13,11.23
"Trachea, bronchus and lung",148,Chad,1.99,0.64,3.48
"Trachea, bronchus and lung",152,Chile,12.7,9.23,16.98
"Trachea, bronchus and lung",156,China,40.78,30.34,52.03
"Trachea, bronchus and lung",170,Colombia,10.08,7.61,13.12
"Trachea, bronchus and lung",174,Comoros,1.79,1.08,2.63
"Trachea, bronchus and lung",178,"Congo, Republic of",1.37,0.8,2.08
"Trachea, bronchus and lung",180,"Congo, Democratic Republic of",2.17,1.64,2.78
"Trachea, bronchus and lung",188,Costa Rica,6.75,4.07,9.73
"Trachea, bronchus and lung",191,Croatia,37.05,21.62,56.35
