code,country,both,male,female
004,Afghanistan,0.49,0.6,0.41
008,Albania,2.12,2.27,2.03
012,Algeria,0.66,0.69,0.63
024,Angola,1.26,0.88,1.58
031,Azerbaijan,0.86,1.06,0.69
032,Argentina,2.59,3.43,1.93
036,Australia,36.98,45.9,29.06
040,Austria,13.16,14.18,12.47
044,Bahamas,0.53,1.21,0.0
048,Bahrain,0.16,0.13,0.2
050,Bangladesh,0.28,0.33,0.22
051,Armenia,1.81,2.2,1.49
052,Barbados,0.0,0.0,0.0
056,Belgium,21.1,17.17,25.3
064,Bhutan,0.0,0.0,0.0
068,Bolivia,2.55,1.98,3.04
070,Bosnia Herzegovina,5.77,7.31,4.42
072,Botswana,1.74,1.7,1.73
076,Brazil,3.27,3.63,3.07
084,Belize,3.47,4.21,2.68
090,Solomon Islands,0.32,0.0,0.59
096,Brunei Darussalam,1.62,0.0,3.36
100,Bulgaria,3.39,3.83,3.11
104,Myanmar,0.28,0.34,0.23
108,Burundi,0.99,0.53,1.34
112,Belarus,6.88,6.45,7.44
116,Cambodia,0.51,0.59,0.47
120,Cameroon,1.27,1.38,1.2
124,Canada,14.47,15.85,13.44
132,Cape Verde,0.62,0.57,0.5
140,Central African Republic,1.03,1.16,0.94
144,Sri Lanka,0.33,0.39,0.28
148,Chad,0.73,0.92,0.52
152,Chile,3.29,4.12,2.56
156,China,0.37,0.37,0.36
170,Colombia,2.64,2.84,2.5
174,Comoros,0.48,0.0,0.89
178,"Congo, Republic of",1.62,2.22,1.22
180,"Congo, Democratic Republic of",1.32,1.57,1.1
188,Costa Rica,1.79,2.14,1.48
191,Croatia,11.85,14.8,9.42
192,Cuba,0.91,1.2,0.63
196,Cyprus,5.44,5.87,5.12
203,Czechia,14.68,15.33,14.52
204,Benin,0.45,0.49,0.44
208,Denmark,31.06,26.85,35.58
214,Dominican Republic,0.49,0.58,0.41
218,Ecuador,2.46,2.73,2.22
222,El Salvador,0.44,0.81,0.16
226,Equatorial Guinea,0.45,0.0,0.92
231,Ethiopia,0.35,0.35,0.35
232,Eritrea,0.36,0.4,0.34
233,Estonia,11.15,10.62,12.11
242,Fiji,0.92,0.25,1.44
246,Finland,20.5,19.96,21.58
250,France (metropolitan),13.47,14.45,12.61
254,French Guyana,2.48,2.84,2.15
258,French Polynesia,5.05,4.63,5.46
262,Djibouti,0.0,0.0,0.0
266,Gabon,0.74,0.0,1.37
268,Georgia,4.51,4.61,4.47
270,The Republic of the Gambia,0.07,0.0,0.14
