code,country,both,male,female
004,Afghanistan,0.07,0.08,0.05
008,Albania,0.64,0.87,0.43
012,Algeria,0.15,0.22,0.08
024,Angola,0.0,0.0,0.0
031,Azerbaijan,0.23,0.31,0.17
032,Argentina,0.37,0.47,0.3
036,Australia,1.66,2.8,0.61
040,Austria,0.55,0.84,0.3
044,Bahamas,0.0,0.0,0.0
048,Bahrain,0.76,1.45,0.0
050,Bangladesh,0.01,0.0,0.01
051,Armenia,0.47,0.49,0.47
052,Barbados,0.0,0.0,0.0
056,Belgium,1.12,1.92,0.42
064,Bhutan,0.0,0.0,0.0
068,Bolivia,0.11,0.14,0.06
070,Bosnia Herzegovina,0.18,0.3,0.07
072,Botswana,0.0,0.0,0.0
076,Brazil,0.06,0.08,0.04
084,Belize,0.0,0.0,0.0
090,Solomon Islands,0.0,0.0,0.0
096,Brunei Darussalam,0.0,0.0,0.0
100,Bulgaria,0.44,0.61,0.29
104,Myanmar,0.02,0.03,0.01
108,Burundi,0.07,0.09,0.06
112,Belarus,0.25,0.37,0.17
116,Cambodia,0.01,0.01,0.01
120,Cameroon,0.05,0.11,0.0
124,Canada,0.66,1.06,0.32
132,Cape Verde,0.0,0.0,0.0
140,Central African Republic,0.0,0.0,0.0
144,Sri Lanka,0.02,0.04,0.01
148,Chad,0.26,0.55,0.0
152,Chile,0.25,0.36,0.16
156,China,0.1,0.11,0.09
170,Colombia,0.21,0.29,0.14
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",0.0,0.0,0.0
180,"Congo, Democratic Republic of",0.05,0.09,0.01
188,Costa Rica,0.05,0.08,0.03
191,Croatia,0.99,1.94,0.23
192,Cuba,0.07,0.08,0.05
196,Cyprus,0.55,0.83,0.28
203,Czechia,0.24,0.36,0.15
204,Benin,0.0,0.0,0.0
208,Denmark,1.01,1.63,0.46
214,Dominican Republic,0.04,0.07,0.02
218,Ecuador,0.13,0.14,0.11
222,El Salvador,0.0,0.0,0.0
226,Equatorial Guinea,0.0,0.0,0.0
231,Ethiopia,0.02,0.03,0.01
232,Eritrea,0.0,0.0,0.0
233,Estonia,0.15,0.23,0.08
242,Fiji,0.0,0.0,0.0
246,Finland,0.67,0.99,0.42
250,France (metropolitan),0.75,1.21,0.39
254,French Guyana,0.38,0.75,0.0
258,French Polynesia,0.0,0.0,0.0
262,Djibouti,0.0,0.0,0.0
266,Gabon,0.05,0.1,0.0
268,Georgia,0.17,0.26,0.1
270,The Republic of the Gambia,0.0,0.0,0.0
275,Gaza Strip and West Bank,0.15,0.26,0.06
276,Germany,0.69,1.21,0.25
288,Ghana,0.03,0.06,0.0
300,Greece,0.31,0.44,0.2
312,"France, Guadeloupe",0.0,0.0,0.0
316,Guam,0.0,0.0,0.0
320,Guatemala,0.0,0.0,0.0
324,Guinea,0.01,0.01,0.0
328,Guyana,0.0,0.0,0.0
332,Haiti,0.04,0.09,0.0
340,Honduras,0.2,0.29,0.13
348,Hungary,0.33,0.5,0.2
352,Iceland,0.39,0.79,0.0
356,India,0.11,0.12,0.11
360,Indonesia,0.09,0.17,0.03
364,"Iran, Islamic Republic of",0.05,0.08,0.02
368,Iraq,0.11,0.18,0.05
372,Ireland,0.54,0.96,0.16
376,Israel,0.36,0.59,0.16
380,Italy,1.14,1.76,0.64
384,Côte d'Ivoire,0.15,0.29,0.0
388,Jamaica,0.06,0.12,0.0
392,Japan,0.57,0.99,0.19
398,Kazakhstan,0.24,0.32,0.18
400,Jordan,0.17,0.3,0.05
404,Kenya,0.01,0.02,0.01
408,"Korea, Democratic People Republic of",0.18,0.22,0.16
410,"Korea, Republic of",0.19,0.31,0.09
414,Kuwait,0.48,0.57,0.33
417,Kyrgyzstan,0.07,0.08,0.06
418,Lao People's Democratic Republic,0.0,0.0,0.0
422,Lebanon,0.37,0.62,0.1
426,Lesotho,0.12,0.32,0.0
428,Latvia,0.15,0.1,0.19
430,Liberia,0.04,0.09,0.0
434,Libya,0.13,0.27,0.0
440,Lithuania,0.12,0.18,0.09
442,Luxembourg,1.98,1.3,2.75
450,Madagascar,0.08,0.11,0.04
454,Malawi,0.0,0.0,0.0
458,Malaysia,0.07,0.09,0.06
462,Maldives,0.0,0.0,0.0
466,Mali,0.09,0.1,0.09
470,Malta,0.78,1.73,0.0
474,"France, Martinique",0.0,0.0,0.0
478,Mauritania,0.0,0.0,0.0
480,Mauritius,0.0,0.0,0.0
484,Mexico,0.26,0.39,0.15
496,Mongolia,0.26,0.25,0.28
498,Moldova,0.04,0.03,0.05
499,Montenegro,0.22,0.33,0.13
504,Morocco,0.16,0.22,0.11
508,Mozambique,0.04,0.09,0.0
512,Oman,0.12,0.19,0.0
516,Namibia,0.08,0.2,0.0
524,Nepal,0.03,0.03,0.03
528,The Netherlands,1.36,2.36,0.44
540,New Caledonia,0.69,0.95,0.46
548,Vanuatu,0.0,0.0,0.0
554,New Zealand,1.02,1.77,0.36
558,Nicaragua,0.04,0.0,0.06
562,Niger,0.01,0.02,0.0
566,Nigeria,0.04,0.08,0.01
578,Norway,0.6,1.02,0.23
586,Pakistan,0.03,0.04,0.01
591,Panama,0.02,0.05,0.0
598,Papua New Guinea,0.11,0.12,0.11
600,Paraguay,0.02,0.03,0.0
604,Peru,0.16,0.21,0.12
608,Philippines,0.07,0.08,0.06
616,Poland,0.48,0.67,0.33
620,Portugal,0.27,0.4,0.16
624,Guinea-Bissau,0.0,0.0,0.0
626,Timor-Leste,0.0,0.0,0.0
630,Puerto Rico,0.06,0.12,0.01
634,Qatar,0.15,0.19,0.0
638,"France, La Réunion",0.07,0.14,0.0
642,Romania,0.18,0.2,0.16
643,Russian Federation,0.66,0.86,0.51
646,Rwanda,0.0,0.0,0.0
662,Saint Lucia,0.0,0.0,0.0
678,Sao Tome and Principe,0.0,0.0,0.0
682,Saudi Arabia,0.13,0.17,0.07
686,Senegal,0.01,0.01,0.0
688,Serbia,0.25,0.42,0.11
694,Sierra Leone,0.0,0.0,0.0
702,Singapore,0.36,0.59,0.15
703,Slovakia,0.14,0.26,0.05
704,Viet Nam,0.29,0.23,0.36
705,Slovenia,0.96,1.54,0.45
706,Somalia,0.01,0.03,0.0
710,South Africa,0.6,1.06,0.32
716,Zimbabwe,0.07,0.08,0.06
724,Spain,0.54,0.88,0.23
728,South Sudan,0.0,0.0,0.0
729,Sudan,0.0,0.0,0.0
740,Suriname,0.0,0.0,0.0
748,Eswatini,0.0,0.0,0.0
752,Sweden,0.75,1.19,0.33
756,Switzerland,1.09,1.89,0.35
760,Syrian Arab Republic,0.19,0.35,0.05
762,Tajikistan,0.02,0.04,0.0
764,Thailand,0.03,0.03,0.02
768,Togo,0.03,0.06,0.0
780,Trinidad and Tobago,0.08,0.09,0.08
784,United Arab Emirates,0.22,0.21,0.19
788,Tunisia,0.15,0.23,0.06
792,Türkiye,0.82,1.02,0.65
795,Turkmenistan,0.02,0.04,0.0
800,Uganda,0.11,0.12,0.1
804,Ukraine,0.24,0.32,0.18
807,North Macedonia,0.05,0.05,0.04
818,Egypt,0.42,0.5,0.35
