code,country,both,male,female
004,Afghanistan,0.62,0.67,0.57
008,Albania,1.49,1.85,1.14
012,Algeria,1.71,1.82,1.61
024,Angola,0.91,0.7,1.12
031,Azerbaijan,1.18,1.54,0.91
032,Argentina,1.65,2.07,1.31
036,Australia,4.14,4.55,3.79
040,Austria,2.36,2.78,1.98
044,Bahamas,4.6,5.35,3.93
048,Bahrain,1.18,0.75,1.88
050,Bangladesh,0.5,0.64,0.37
051,Armenia,0.78,1.04,0.59
052,Barbados,6.13,6.07,6.17
056,Belgium,3.72,4.23,3.28
064,Bhutan,0.32,0.6,0.0
068,Bolivia,0.42,0.57,0.28
070,Bosnia Herzegovina,1.18,1.33,1.06
072,Botswana,1.14,1.32,1.0
076,Brazil,1.92,2.36,1.56
084,Belize,0.0,0.0,0.0
090,Solomon Islands,1.17,1.62,0.74
096,Brunei Darussalam,0.7,1.41,0.0
100,Bulgaria,1.39,1.55,1.26
104,Myanmar,0.45,0.45,0.44
108,Burundi,0.83,1.07,0.66
112,Belarus,2.12,2.5,1.86
116,Cambodia,1.03,1.08,1.02
120,Cameroon,0.78,0.91,0.66
124,Canada,5.26,6.44,4.2
132,Cape Verde,1.3,1.62,0.93
140,Central African Republic,1.17,1.51,0.93
144,Sri Lanka,1.54,1.87,1.31
148,Chad,0.49,0.3,0.68
152,Chile,2.73,3.39,2.18
160,China,1.21,1.36,1.06
170,Colombia,2.06,2.67,1.56
174,Comoros,0.0,0.0,0.0
178,"Congo, Republic of",1.31,1.41,1.25
180,"Congo, Democratic Republic of",1.1,1.34,0.9
188,Costa Rica,1.63,1.84,1.42
191,Croatia,3.92,5.09,2.98
192,Cuba,1.88,2.0,1.79
196,Cyprus,4.08,4.88,3.51
203,Czechia,2.49,2.87,2.17
204,Benin,0.89,0.83,0.94
208,Denmark,4.7,5.7,3.81
214,Dominican Republic,1.52,1.75,1.32
218,Ecuador,1.39,1.66,1.15
222,El Salvador,0.78,0.85,0.73
226,Equatorial Guinea,0.68,0.35,0.99
231,Ethiopia,0.48,0.61,0.37
232,Eritrea,0.91,1.11,0.76
233,Estonia,3.45,4.11,3.03
242,Fiji,1.07,1.29,0.85
246,Finland,2.88,3.34,2.51
250,France (metropolitan),3.39,4.06,2.81
254,French Guyana,3.48,4.15,2.86
258,French Polynesia,3.43,3.61,3.23
262,Djibouti,0.3,0.31,0.3
266,Gabon,0.93,0.7,1.16
268,Georgia,1.01,1.2,0.87
270,The Republic of the Gambia,0.0,0.0,0.0
275,Gaza Strip and West Bank,3.36,3.74,3.02
276,Germany,2.86,3.7,2.05
288,Ghana,0.66,0.44,0.84
300,Greece,2.66,3.12,2.25
312,"France, Guadeloupe",5.31,6.32,4.59
316,Guam,1.03,0.67,1.27
320,Guatemala,0.38,0.43,0.34
324,Guinea,0.16,0.14,0.17
328,Guyana,0.34,0.0,0.67
332,Haiti,1.0,0.31,1.6
340,Honduras,1.41,1.81,1.08
348,Hungary,1.96,2.3,1.69
352,Iceland,3.6,3.98,3.27
356,India,1.17,1.43,0.92
360,Indonesia,1.15,1.52,0.8
364,"Iran, Islamic Republic of",1.44,1.81,1.07
368,Iraq,2.0,2.63,1.48
372,Ireland,4.48,5.7,3.35
376,Israel,3.64,3.74,3.56
380,Italy,3.55,4.1,3.08
384,Côte d'Ivoire,1.15,1.13,1.17
388,Jamaica,3.8,4.86,2.82
392,Japan,1.51,1.93,1.13
398,Kazakhstan,0.68,0.74,0.64
400,Jordan,2.36,2.59,2.14
404,Kenya,2.9,2.55,3.14
408,"Korea, Democratic People Republic of",0.56,0.66,0.5
410,"Korea, Republic of",1.81,2.11,1.56
414,Kuwait,1.78,2.05,1.48
417,Kyrgyzstan,0.29,0.29,0.31
