code,country,both,male,female
004,Afghanistan,2.72,2.71,2.71
008,Albania,5.28,6.54,4.14
012,Algeria,2.99,3.58,2.41
024,Angola,2.28,2.99,1.68
031,Azerbaijan,2.72,3.9,1.78
032,Argentina,5.11,7.55,3.33
036,Australia,140.08,169.95,111.44
040,Austria,16.79,22.33,12.24
044,Bahamas,3.75,5.71,1.92
048,Bahrain,0.69,1.01,0.31
050,Bangladesh,0.74,0.92,0.55
051,Armenia,2.43,3.14,1.94
052,Barbados,3.11,4.87,1.45
056,Belgium,23.01,28.78,18.76
064,Bhutan,1.15,1.67,0.58
068,Bolivia,5.04,5.34,4.8
070,Bosnia Herzegovina,6.29,7.84,4.97
072,Botswana,4.77,5.68,4.09
076,Brazil,10.75,15.44,7.04
084,Belize,9.26,10.66,7.88
090,Solomon Islands,0.58,0.81,0.36
096,Brunei Darussalam,5.06,5.8,4.35
100,Bulgaria,6.49,8.36,5.26
104,Myanmar,2.82,3.43,2.39
108,Burundi,1.99,1.8,2.14
112,Belarus,6.29,8.53,5.09
116,Cambodia,2.04,2.64,1.6
120,Cameroon,1.92,2.14,1.72
124,Canada,53.51,67.3,42.03
132,Cape Verde,2.55,4.09,1.5
140,Central African Republic,1.23,1.42,1.12
144,Sri Lanka,1.3,1.79,0.85
148,Chad,0.31,0.35,0.28
152,Chile,7.2,10.72,4.49
160,China,1.86,1.9,1.83
170,Colombia,3.97,5.26,2.95
174,Comoros,2.73,2.97,2.53
178,"Congo, Republic of",0.24,0.21,0.28
180,"Congo, Democratic Republic of",1.04,1.05,1.05
188,Costa Rica,18.42,22.86,14.29
191,Croatia,7.36,10.53,5.63
192,Cuba,16.12,20.61,12.08
196,Cyprus,8.65,10.6,7.16
203,Czechia,13.44,18.06,10.32
204,Benin,1.58,1.5,1.59
208,Denmark,24.86,30.61,20.41
214,Dominican Republic,2.24,2.33,2.16
218,Ecuador,5.64,6.26,5.11
222,El Salvador,2.22,2.43,2.05
226,Equatorial Guinea,1.94,2.1,1.76
231,Ethiopia,3.37,3.07,3.63
232,Eritrea,2.46,2.39,2.54
233,Estonia,5.49,8.56,3.53
242,Fiji,0.92,1.31,0.63
