code,country,both,male,female
004,Afghanistan,4.78,5.72,3.95
008,Albania,1.32,1.96,0.75
012,Algeria,0.61,0.63,0.58
024,Angola,6.35,9.31,3.71
031,Azerbaijan,7.98,8.7,7.34
032,Argentina,3.12,4.94,1.71
036,Australia,3.23,5.11,1.46
040,Austria,2.53,4.24,0.96
044,Bahamas,1.99,3.42,0.79
048,Bahrain,1.2,1.22,1.26
050,Bangladesh,15.95,20.59,11.16
051,Armenia,1.2,1.99,0.64
052,Barbados,0.92,1.29,0.61
056,Belgium,4.51,7.07,2.12
064,Bhutan,6.51,7.02,5.92
068,Bolivia,1.4,2.09,0.79
070,Bosnia Herzegovina,1.43,2.5,0.47
072,Botswana,7.82,12.95,4.21
076,Brazil,3.74,6.66,1.27
084,Belize,0.97,1.95,0.0
090,Solomon Islands,2.3,2.31,2.24
096,Brunei Darussalam,1.36,2.28,0.46
100,Bulgaria,1.58,2.8,0.55
104,Myanmar,6.91,11.47,3.24
108,Burundi,8.75,11.99,6.11
112,Belarus,3.48,7.63,0.51
116,Cambodia,2.92,5.25,1.32
120,Cameroon,1.27,1.35,1.2
124,Canada,3.22,5.14,1.47
132,Cape Verde,3.76,6.88,1.38
140,Central African Republic,1.34,1.56,1.16
144,Sri Lanka,5.44,7.5,3.81
148,Chad,1.38,1.08,1.71
152,Chile,2.2,3.32,1.31
156,China,8.32,13.09,3.78
170,Colombia,1.4,2.15,0.79
174,Comoros,10.37,12.48,8.51
178,"Congo, Republic of",0.43,0.59,0.3
180,"Congo, Democratic Republic of",2.82,3.78,1.98
188,Costa Rica,0.81,1.35,0.34
191,Croatia,2.32,4.34,0.57
192,Cuba,4.35,7.67,1.31
196,Cyprus,0.73,1.27,0.25
203,Czechia,3.06,5.42,0.91
204,Benin,3.26,3.76,2.94
208,Denmark,4.3,6.6,2.18
214,Dominican Republic,1.73,2.14,1.37
218,Ecuador,0.87,1.47,0.35
222,El Salvador,1.01,1.5,0.66
