code,country,both,male,female
004,Afghanistan,0.69,0.98,0.42
008,Albania,0.4,0.59,0.22
012,Algeria,0.19,0.31,0.08
024,Angola,1.53,2.41,0.73
031,Azerbaijan,0.32,0.47,0.19
032,Argentina,0.75,1.24,0.34
036,Australia,2.54,4.39,0.76
040,Austria,2.0,3.13,0.95
044,Bahamas,0.45,1.01,0.0
048,Bahrain,0.06,0.1,0.0
050,Bangladesh,2.83,4.75,0.84
051,Armenia,0.12,0.3,0.0
052,Barbados,1.28,2.77,0.0
056,Belgium,2.36,3.59,1.16
064,Bhutan,1.59,1.74,1.42
068,Bolivia,0.74,0.95,0.54
070,Bosnia Herzegovina,0.68,1.08,0.3
072,Botswana,0.54,1.12,0.11
076,Brazil,2.02,3.68,0.57
084,Belize,0.0,0.0,0.0
090,Solomon Islands,0.19,0.39,0.0
096,Brunei Darussalam,0.0,0.0,0.0
100,Bulgaria,0.9,1.54,0.33
104,Myanmar,1.17,2.41,0.24
108,Burundi,0.45,0.74,0.19
112,Belarus,3.09,6.61,0.39
116,Cambodia,0.79,1.42,0.35
120,Cameroon,1.18,2.02,0.37
124,Canada,2.17,3.36,1.0
132,Cape Verde,0.17,0.36,0.0
140,Central African Republic,0.28,0.56,0.0
144,Sri Lanka,1.49,3.01,0.22
148,Chad,0.05,0.0,0.11
152,Chile,0.41,0.57,0.27
160,China,0.33,0.55,0.12
170,Colombia,0.88,1.41,0.41
174,Comoros,0.33,0.68,0.0
178,"Congo, Republic of",0.11,0.09,0.12
180,"Congo, Democratic Republic of",0.22,0.38,0.07
188,Costa Rica,0.48,0.77,0.21
191,Croatia,2.06,3.87,0.43
192,Cuba,3.37,6.46,0.49
196,Cyprus,0.48,0.7,0.27
203,Czechia,2.89,4.26,1.6
204,Benin,0.52,0.66,0.4
208,Denmark,4.09,6.03,2.2
214,Dominican Republic,1.56,2.64,0.55
218,Ecuador,0.44,0.6,0.29
222,El Salvador,0.26,0.47,0.11
226,Equatorial Guinea,0.9,1.21,0.54
231,Ethiopia,0.18,0.27,0.09
232,Eritrea,0.04,0.09,0.0
233,Estonia,2.0,3.46,0.81
242,Fiji,0.29,0.39,0.18
246,Finland,1.15,1.75,0.58
250,France (metropolitan),3.31,5.17,1.61
254,French Guyana,2.06,4.15,0.0
258,French Polynesia,2.24,4.4,0.0
