code,country,both,male,female
004,Afghanistan,4.2,,4.2
008,Albania,8.75,,8.75
012,Algeria,5.04,,5.04
024,Angola,2.86,,2.86
031,Azerbaijan,5.94,,5.94
032,Argentina,6.83,,6.83
036,Australia,7.84,,7.84
040,Austria,7.67,,7.67
044,Bahamas,9.25,,9.25
048,Bahrain,5.11,,5.11
050,Bangladesh,3.3,,3.3
051,Armenia,4.99,,4.99
052,Barbados,7.32,,7.32
056,Belgium,6.89,,6.89
064,Bhutan,5.64,,5.64
068,Bolivia,3.08,,3.08
070,Bosnia Herzegovina,9.83,,9.83
072,Botswana,2.83,,2.83
076,Brazil,5.1,,5.1
084,Belize,0.69,,0.69
090,Solomon Islands,6.79,,6.79
096,Brunei Darussalam,13.16,,13.16
100,Bulgaria,9.97,,9.97
104,Myanmar,5.61,,5.61
108,Burundi,4.82,,4.82
112,Belarus,9.2,,9.2
116,Cambodia,5.58,,5.58
120,Cameroon,5.85,,5.85
124,Canada,9.22,,9.22
132,Cape Verde,3.85,,3.85
140,Central African Republic,5.77,,5.77
144,Sri Lanka,8.16,,8.16
148,Chad,3.61,,3.61
152,Chile,6.32,,6.32
160,China,5.68,,5.68
170,Colombia,6.67,,6.67
174,Comoros,2.49,,2.49
178,"Congo, Republic of",3.47,,3.47
180,"Congo, Democratic Republic of",4.13,,4.13
188,Costa Rica,4.3,,4.3
191,Croatia,10.69,,10.69
192,Cuba,5.27,,5.27
196,Cyprus,10.61,,10.61
203,Czechia,8.03,,8.03
204,Benin,2.75,,2.75
208,Denmark,7.22,,7.22
214,Dominican Republic,2.65,,2.65
218,Ecuador,5.12,,5.12
222,El Salvador,4.29,,4.29
226,Equatorial Guinea,6.3,,6.3
231,Ethiopia,6.8,,6.8
232,Eritrea,7.16,,7.16
233,Estonia,9.39,,9.39
242,Fiji,11.1,,11.1
246,Finland,7.37,,7.37
250,France (metropolitan),7.11,,7.11
254,French Guyana,8.09,,8.09
258,French Polynesia,6.4,,6.4
262,Djibouti,6.51,,6.51
266,Gabon,7.79,,7.79
268,Georgia,10.61,,10.61
270,The Republic of the Gambia,2.23,,2.23
275,Gaza Strip and West Bank,4.22,,4.22
276,Germany,6.97,,6.97
288,Ghana,10.1,,10.1
300,Greece,8.92,,8.92
