code,country,both,male,female
004,Afghanistan,0.1,0.1,
008,Albania,0.51,0.51,
012,Algeria,0.03,0.03,
024,Angola,1.12,1.12,
031,Azerbaijan,0.02,0.02,
032,Argentina,1.55,1.55,
036,Australia,0.51,0.51,
040,Austria,0.79,0.79,
044,Bahamas,0.7,0.7,
048,Bahrain,0.0,0.0,
050,Bangladesh,0.83,0.83,
051,Armenia,0.33,0.33,
052,Barbados,0.41,0.41,
056,Belgium,0.75,0.75,
064,Bhutan,1.19,1.19,
068,Bolivia,2.39,2.39,
070,Bosnia Herzegovina,0.18,0.18,
072,Botswana,3.9,3.9,
076,Brazil,1.28,1.28,
084,Belize,0.0,0.0,
090,Solomon Islands,1.54,1.54,
096,Brunei Darussalam,0.0,0.0,
100,Bulgaria,0.9,0.9,
104,Myanmar,1.53,1.53,
108,Burundi,2.48,2.48,
112,Belarus,0.86,0.86,
116,Cambodia,1.53,1.53,
120,Cameroon,0.11,0.11,
124,Canada,0.68,0.68,
132,Cape Verde,1.32,1.32,
140,Central African Republic,0.12,0.12,
144,Sri Lanka,0.69,0.69,
148,Chad,0.0,0.0,
152,Chile,0.67,0.67,
160,China,0.49,0.49,
170,Colombia,1.59,1.59,
174,Comoros,0.68,0.68,
178,"Congo, Republic of",0.05,0.05,
180,"Congo, Democratic Republic of",0.63,0.63,
188,Costa Rica,1.14,1.14,
191,Croatia,0.87,0.87,
192,Cuba,1.26,1.26,
196,Cyprus,0.9,0.9,
203,Czechia,1.26,1.26,
204,Benin,0.39,0.39,
208,Denmark,1.09,1.09,
214,Dominican Republic,1.05,1.05,
218,Ecuador,1.39,1.39,
222,El Salvador,0.83,0.83,
226,Equatorial Guinea,0.0,0.0,
231,Ethiopia,0.11,0.11,
232,Eritrea,0.11,0.11,
233,Estonia,1.1,1.1,
242,Fiji,1.32,1.32,
246,Finland,0.68,0.68,
250,France (metropolitan),0.65,0.65,
254,French Guyana,1.49,1.49,
258,French Polynesia,0.0,0.0,
262,Djibouti,0.0,0.0,
266,Gabon,0.13,0.13,
268,Georgia,0.88,0.88,
270,The Republic of the Gambia,0.82,0.82,
275,Gaza Strip and West Bank,0.0,0.0,
276,Germany,0.87,0.87,
288,Ghana,0.3,0.3,
300,Greece,1.25,1.25,
312,"France, Guadeloupe",0.65,0.65,
316,Guam,0.0,0.0,
320,Guatemala,0.3,0.3,
324,Guinea,0.09,0.09,
328,Guyana,0.99,0.99,
332,Haiti,1.27,1.27,
340,Honduras,1.97,1.97,
348,Hungary,1.0,1.0,
352,Iceland,0.83,0.83,
356,India,1.45,1.45,
360,Indonesia,0.77,0.77,
364,"Iran, Islamic Republic of",0.08,0.08,
368,Iraq,0.03,0.03,
372,Ireland,1.15,1.15,
376,Israel,0.14,0.14,
380,Italy,0.84,0.84,
384,Côte d'Ivoire,0.05,0.05,
388,Jamaica,0.96,0.96,
392,Japan,0.27,0.27,
398,Kazakhstan,0.42,0.42,
400,Jordan,0.0,0.0,
404,Kenya,0.45,0.45,
408,"Korea, Democratic People Republic of",0.38,0.38,
410,"Korea, Republic of",0.2,0.2,
414,Kuwait,0.0,0.0,
417,Kyrgyzstan,0.1,0.1,
418,Lao People's Democratic Republic,1.26,1.26,
422,Lebanon,0.23,0.23,
426,Lesotho,3.07,3.07,
428,Latvia,1.19,1.19,
430,Liberia,0.03,0.03,
434,Libya,0.0,0.0,
440,Lithuania,1.11,1.11,
442,Luxembourg,0.31,0.31,
450,Madagascar,0.11,0.11,
454,Malawi,2.54,2.54,
458,Malaysia,0.38,0.38,
462,Maldives,0.0,0.0,
466,Mali,0.11,0.11,
470,Malta,1.26,1.26,
474,"France, Martinique",0.88,0.88,
478,Mauritania,0.0,0.0,
480,Mauritius,0.39,0.39,
484,Mexico,1.08,1.08,
496,Mongolia,0.67,0.67,
498,Moldova,0.62,0.62,
499,Montenegro,0.34,0.34,
504,Morocco,0.03,0.03,
508,Mozambique,1.62,1.62,
512,Oman,0.03,0.03,
516,Namibia,2.24,2.24,
524,Nepal,1.5,1.5,
528,The Netherlands,0.86,0.86,
540,New Caledonia,0.0,0.0,
548,Vanuatu,0.89,0.89,
554,New Zealand,0.35,0.35,
558,Nicaragua,1.49,1.49,
562,Niger,0.08,0.08,
566,Nigeria,0.02,0.02,
578,Norway,1.17,1.17,
586,Pakistan,0.34,0.34,
591,Panama,1.04,1.04,
598,Papua New Guinea,2.35,2.35,
600,Paraguay,3.38,3.38,
604,Peru,1.29,1.29,
608,Philippines,0.32,0.32,
616,Poland,1.42,1.42,
620,Portugal,0.98,0.98,
624,Guinea-Bissau,0.0,0.0,
626,Timor-Leste,0.0,0.0,
630,Puerto Rico,1.56,1.56,
634,Qatar,0.27,0.27,
638,"France, La Réunion",0.81,0.81,
642,Romania,1.06,1.06,
643,Russian Federation,0.76,0.76,
646,Rwanda,2.61,2.61,
662,Saint Lucia,3.67,3.67,
678,Sao Tome and Principe,0.0,0.0,
682,Saudi Arabia,0.03,0.03,
686,Senegal,0.04,0.04,
688,Serbia,0.76,0.76,
694,Sierra Leone,0.0,0.0,
702,Singapore,0.45,0.45,
703,Slovakia,0.98,0.98,
704,Viet Nam,0.74,0.74,
705,Slovenia,0.55,0.55,
706,Somalia,0.07,0.07,
710,South Africa,1.37,1.37,
716,Zimbabwe,2.96,2.96,
724,Spain,0.85,0.85,
728,South Sudan,0.82,0.82,
729,Sudan,0.18,0.18,
740,Suriname,1.41,1.41,
748,Eswatini,6.79,6.79,
752,Sweden,1.16,1.16,
756,Switzerland,0.46,0.46,
760,Syrian Arab Republic,0.08,0.08,
762,Tajikistan,0.0,0.0,
764,Thailand,1.17,1.17,
768,Togo,0.29,0.29,
780,Trinidad and Tobago,0.9,0.9,
784,United Arab Emirates,0.11,0.11,
788,Tunisia,0.12,0.12,
792,Türkiye,0.04,0.04,
795,Turkmenistan,0.0,0.0,
800,Uganda,3.08,3.08,
804,Ukraine,0.71,0.71,
807,North Macedonia,0.57,0.57,
818,Egypt,0.03,0.03,
826,United Kingdom,1.16,1.16,
834,"Tanzania, United Republic of",1.2,1.2,
840,United States of America,0.53,0.53,
854,Burkina Faso,0.0,0.0,
858,Uruguay,1.21,1.21,
860,Uzbekistan,0.08,0.08,
862,Venezuela,1.7,1.7,
882,Samoa,0.0,0.0,
887,Yemen,0.0,0.0,
894,Zambia,3.0,3.0,
