code,country,both,male,female
004,Afghanistan,6.46,6.46,
008,Albania,12.22,12.22,
012,Algeria,15.45,15.45,
024,Angola,47.94,47.94,
031,Azerbaijan,10.81,10.81,
032,Argentina,44.65,44.65,
036,Australia,77.2,77.2,
040,Austria,61.01,61.01,
044,Bahamas,89.05,89.05,
048,Bahrain,13.36,13.36,
050,Bangladesh,3.2,3.2,
051,Armenia,37.24,37.24,
052,Barbados,100.45,100.45,
056,Belgium,81.68,81.68,
064,Bhutan,1.13,1.13,
068,Bolivia,34.22,34.22,
070,Bosnia Herzegovina,24.45,24.45,
072,Botswana,23.9,23.9,
076,Brazil,76.3,76.3,
084,Belize,39.51,39.51,
090,Solomon Islands,37.87,37.87,
096,Brunei Darussalam,21.41,21.41,
100,Bulgaria,38.19,38.19,
104,Myanmar,4.23,4.23,
108,Burundi,38.03,38.03,
112,Belarus,68.21,68.21,
116,Cambodia,5.16,5.16,
120,Cameroon,38.58,38.58,
124,Canada,60.14,60.14,
132,Cape Verde,43.62,43.62,
140,Central African Republic,31.34,31.34,
144,Sri Lanka,6.54,6.54,
148,Chad,82.18,82.18,
152,Chile,62.3,62.3,
156,China,9.68,9.68,
170,Colombia,52.57,52.57,
174,Comoros,33.18,33.18,
178,"Congo, Republic of",42.28,42.28,
180,"Congo, Democratic Republic of",40.1,40.1,
188,Costa Rica,45.55,45.55,
191,Croatia,69.54,69.54,
192,Cuba,58.11,58.11,
196,Cyprus,60.88,60.88,
203,Czechia,70.02,70.02,
204,Benin,38.03,38.03,
208,Denmark,76.74,76.74,
214,Dominican Republic,86.07,86.07,
218,Ecuador,34.95,34.95,
222,El Salvador,41.93,41.93,
226,Equatorial Guinea,31.88,31.88,
231,Ethiopia,8.0,8.0,
232,Eritrea,10.87,10.87,
233,Estonia,98.77,98.77,
242,Fiji,50.19,50.19,
246,Finland,82.24,82.24,
250,France (metropolitan),82.31,82.31,
254,French Guyana,94.1,94.1,
258,French Polynesia,62.31,62.31,
262,Djibouti,11.13,11.13,
266,Gabon,26.08,26.08,
268,Georgia,34.58,34.58,
270,The Republic of the Gambia,10.28,10.28,
275,Gaza Strip and West Bank,17.45,17.45,
276,Germany,54.21,54.21,
288,Ghana,30.39,30.39,
300,Greece,51.35,51.35,
312,"France, Guadeloupe",157.53,157.53,
316,Guam,43.7,43.7,
320,Guatemala,43.64,43.64,
324,Guinea,33.97,33.97,
328,Guyana,61.93,61.93,
332,Haiti,69.76,69.76,
340,Honduras,28.51,28.51,
348,Hungary,68.48,68.48,
352,Iceland,65.55,65.55,
356,India,5.56,5.56,
360,Indonesia,10.53,10.53,
364,"Iran, Islamic Republic of",21.82,21.82,
368,Iraq,12.69,12.69,
372,Ireland,99.79,99.79,
376,Israel,44.63,44.63,
380,Italy,49.47,49.47,
384,Côte d'Ivoire,63.75,63.75,
388,Jamaica,85.67,85.67,
392,Japan,50.1,50.1,
398,Kazakhstan,15.46,15.46,
400,Jordan,15.14,15.14,
404,Kenya,39.66,39.66,
408,"Korea, Democratic People Republic of",3.69,3.69,
410,"Korea, Republic of",29.28,29.28,
414,Kuwait,16.57,16.57,
417,Kyrgyzstan,7.41,7.41,
418,Lao People's Democratic Republic,4.09,4.09,
422,Lebanon,27.88,27.88,
426,Lesotho,32.06,32.06,
428,Latvia,97.3,97.3,
430,Liberia,38.55,38.55,
434,Libya,16.17,16.17,
440,Lithuania,135.04,135.04,
442,Luxembourg,74.66,74.66,
450,Madagascar,33.39,33.39,
454,Malawi,28.01,28.01,
458,Malaysia,12.94,12.94,
462,Maldives,10.46,10.46,
466,Mali,20.96,20.96,
470,Malta,50.43,50.43,
474,"France, Martinique",134.25,134.25,
478,Mauritania,26.49,26.49,
480,Mauritius,24.81,24.81,
484,Mexico,39.05,39.05,
496,Mongolia,3.29,3.29,
498,Moldova,34.55,34.55,
499,Montenegro,36.12,36.12,
504,Morocco,23.56,23.56,
508,Mozambique,28.3,28.3,
512,Oman,15.05,15.05,
516,Namibia,63.84,63.84,
524,Nepal,2.98,2.98,
528,The Netherlands,56.98,56.98,
540,New Caledonia,84.26,84.26,
548,Vanuatu,19.44,19.44,
554,New Zealand,82.86,82.86,
558,Nicaragua,36.79,36.79,
562,Niger,5.54,5.54,
566,Nigeria,41.24,41.24,
578,Norway,109.9,109.9,
586,Pakistan,6.73,6.73,
591,Panama,56.15,56.15,
598,Papua New Guinea,28.33,28.33,
600,Paraguay,51.44,51.44,
604,Peru,40.06,40.06,
608,Philippines,24.12,24.12,
616,Poland,55.95,55.95,
620,Portugal,62.56,62.56,
624,Guinea-Bissau,28.8,28.8,
626,Timor-Leste,7.76,7.76,
630,Puerto Rico,95.17,95.17,
634,Qatar,10.95,10.95,
638,"France, La Réunion",59.61,59.61,
642,Romania,53.86,53.86,
643,Russian Federation,47.35,47.35,
646,Rwanda,36.35,36.35,
662,Saint Lucia,93.89,93.89,
678,Sao Tome and Principe,44.82,44.82,
682,Saudi Arabia,5.87,5.87,
686,Senegal,27.12,27.12,
688,Serbia,37.04,37.04,
694,Sierra Leone,21.2,21.2,
702,Singapore,32.79,32.79,
703,Slovakia,69.19,69.19,
704,Viet Nam,11.53,11.53,
705,Slovenia,72.56,72.56,
706,Somalia,18.49,18.49,
710,South Africa,61.96,61.96,
716,Zimbabwe,68.31,68.31,
724,Spain,66.45,66.45,
728,South Sudan,22.0,22.0,
729,Sudan,11.91,11.91,
740,Suriname,75.15,75.15,
748,Eswatini,40.98,40.98,
752,Sweden,104.27,104.27,
756,Switzerland,69.08,69.08,
760,Syrian Arab Republic,17.55,17.55,
762,Tajikistan,3.92,3.92,
764,Thailand,12.51,12.51,
768,Togo,31.31,31.31,
780,Trinidad and Tobago,73.64,73.64,
784,United Arab Emirates,13.83,13.83,
788,Tunisia,16.75,16.75,
792,Türkiye,35.31,35.31,
795,Turkmenistan,6.05,6.05,
800,Uganda,43.12,43.12,
804,Ukraine,26.36,26.36,
807,North Macedonia,41.43,41.43,
818,Egypt,13.53,13.53,
826,United Kingdom,74.01,74.01,
834,"Tanzania, United Republic of",45.37,45.37,
840,United States of America,75.22,75.22,
854,Burkina Faso,35.28,35.28,
858,Uruguay,58.96,58.96,
860,Uzbekistan,10.34,10.34,
862,Venezuela,52.33,52.33,
882,Samoa,49.05,49.05,
887,Yemen,2.64,2.64,
894,Zambia,65.42,65.42,
