code,country,both,male,female
004,Afghanistan,2.43,2.91,2.0
008,Albania,5.03,6.39,3.72
012,Algeria,6.8,7.3,6.29
024,Angola,1.94,2.18,1.71
031,Azerbaijan,4.94,5.89,4.2
032,Argentina,4.74,6.08,3.7
036,Australia,10.85,13.3,8.56
040,Austria,7.3,9.93,4.9
044,Bahamas,5.12,7.24,3.56
048,Bahrain,3.9,3.38,4.76
050,Bangladesh,1.62,1.73,1.5
051,Armenia,4.98,5.69,4.55
052,Barbados,7.5,11.42,4.04
056,Belgium,8.39,11.08,5.93
064,Bhutan,2.32,3.22,1.26
068,Bolivia,1.21,1.18,1.23
070,Bosnia Herzegovina,12.61,16.6,9.27
072,Botswana,1.58,1.92,1.32
076,Brazil,7.88,9.47,6.58
084,Belize,0.0,0.0,0.0
090,Solomon Islands,2.9,2.08,3.65
096,Brunei Darussalam,16.27,20.14,12.38
100,Bulgaria,11.0,14.96,7.92
104,Myanmar,4.69,5.64,3.94
108,Burundi,2.82,2.93,2.76
112,Belarus,13.09,19.31,9.22
116,Cambodia,5.27,6.38,4.56
120,Cameroon,2.42,2.75,2.13
124,Canada,9.87,12.18,7.71
132,Cape Verde,1.64,1.22,2.01
140,Central African Republic,2.47,2.44,2.41
144,Sri Lanka,4.04,3.99,4.16
148,Chad,1.24,2.02,0.53
152,Chile,6.21,8.15,4.58
160,China,9.45,12.16,6.87
170,Colombia,4.48,5.46,3.66
174,Comoros,1.77,1.51,2.03
178,"Congo, Republic of",2.02,1.95,2.02
180,"Congo, Democratic Republic of",2.67,2.69,2.66
188,Costa Rica,4.55,4.9,4.26
191,Croatia,16.11,22.32,11.1
192,Cuba,3.89,3.58,4.19
196,Cyprus,6.76,8.87,4.84
203,Czechia,11.7,16.77,7.29
204,Benin,2.22,3.05,1.57
208,Denmark,13.71,17.59,10.15
214,Dominican Republic,1.82,2.17,1.5
218,Ecuador,3.13,2.98,3.29
222,El Salvador,1.99,2.18,1.83
226,Equatorial Guinea,1.46,2.4,0.41
231,Ethiopia,3.67,4.08,3.33
232,Eritrea,3.17,3.56,2.85
233,Estonia,11.09,15.3,8.34
242,Fiji,5.11,5.51,4.75
246,Finland,9.83,12.66,7.41
250,France (metropolitan),10.94,13.56,8.63
254,French Guyana,3.7,4.92,2.55
258,French Polynesia,4.9,5.59,4.25
262,Djibouti,2.94,3.45,2.41
266,Gabon,1.66,2.07,1.29
268,Georgia,7.22,10.25,5.07
270,The Republic of the Gambia,1.7,1.79,1.63
275,Gaza Strip and West Bank,6.01,7.08,5.03
276,Germany,9.93,13.04,6.98
288,Ghana,2.15,2.54,1.78
300,Greece,3.89,4.57,3.29
312,"France, Guadeloupe",7.22,9.51,5.44
316,Guam,5.79,5.05,6.48
320,Guatemala,0.56,0.58,0.54
324,Guinea,1.23,1.14,1.31
328,Guyana,1.32,1.39,1.25
332,Haiti,1.88,0.81,2.78
340,Honduras,2.14,2.62,1.73
348,Hungary,17.2,25.9,10.26
352,Iceland,8.53,10.84,6.33
356,India,2.15,2.63,1.67
360,Indonesia,5.47,7.38,3.78
364,"Iran, Islamic Republic of",4.14,4.95,3.33
368,Iraq,3.17,3.39,2.97
372,Ireland,12.12,15.63,8.7
376,Israel,7.13,8.31,6.07
380,Italy,8.73,11.1,6.65
384,Côte d'Ivoire,1.9,1.92,1.85
388,Jamaica,4.72,6.13,3.43
392,Japan,13.64,18.52,9.17
398,Kazakhstan,6.95,8.98,5.67
400,Jordan,4.3,3.9,4.69
