code,country,both,male,female
004,Afghanistan,11.04,14.04,8.23
008,Albania,12.63,17.47,8.1
012,Algeria,6.13,7.55,4.73
024,Angola,4.53,3.86,5.02
031,Azerbaijan,16.56,26.28,8.79
032,Argentina,6.68,9.99,4.1
036,Australia,5.29,7.0,3.68
040,Austria,5.43,7.11,3.96
044,Bahamas,7.74,10.48,5.43
048,Bahrain,3.34,3.8,3.03
050,Bangladesh,5.45,7.39,3.43
051,Armenia,12.1,18.06,7.92
052,Barbados,5.0,7.62,2.84
056,Belgium,5.36,7.31,3.59
064,Bhutan,15.87,19.95,11.07
068,Bolivia,8.74,10.17,7.51
070,Bosnia Herzegovina,9.61,13.44,6.41
072,Botswana,1.29,1.95,0.81
076,Brazil,7.55,10.86,4.91
084,Belize,4.81,5.79,3.81
090,Solomon Islands,2.44,2.35,2.49
096,Brunei Darussalam,10.35,11.34,9.48
100,Bulgaria,9.01,12.45,6.31
104,Myanmar,11.77,15.87,9.0
108,Burundi,5.34,6.84,4.12
112,Belarus,15.28,24.45,9.4
116,Cambodia,4.08,5.36,3.15
120,Cameroon,3.45,3.33,3.53
124,Canada,4.65,6.45,3.0
132,Cape Verde,5.09,9.05,2.27
140,Central African Republic,3.51,3.59,3.46
144,Sri Lanka,2.55,3.79,1.6
148,Chad,3.0,3.53,2.51
152,Chile,14.18,21.77,7.98
156,China,13.72,19.47,8.29
170,Colombia,12.9,17.54,9.05
174,Comoros,2.1,2.63,1.63
178,"Congo, Republic of",3.39,3.76,3.12
180,"Congo, Democratic Republic of",3.85,4.35,3.4
188,Costa Rica,13.97,19.61,9.12
191,Croatia,9.38,13.02,6.4
192,Cuba,5.64,7.53,3.97
196,Cyprus,6.07,8.4,4.14
203,Czechia,4.81,6.33,3.55
204,Benin,5.92,8.78,3.62
208,Denmark,5.34,7.32,3.52
214,Dominican Republic,6.2,7.15,5.34
218,Ecuador,12.75,15.86,10.02
222,El Salvador,8.24,9.92,7.04
226,Equatorial Guinea,2.67,2.56,2.79
231,Ethiopia,3.34,3.37,3.33
232,Eritrea,3.02,2.81,3.19
233,Estonia,13.09,17.47,10.09
242,Fiji,4.14,4.9,3.31
246,Finland,3.99,5.02,3.11
250,France (metropolitan),4.87,7.3,2.71
254,French Guyana,8.59,12.46,5.5
258,French Polynesia,6.75,8.15,5.42
262,Djibouti,2.88,2.81,2.91
266,Gabon,2.42,3.4,1.48
268,Georgia,9.71,14.3,6.49
270,The Republic of the Gambia,2.83,3.11,2.57
275,Gaza Strip and West Bank,4.97,6.35,3.68
276,Germany,6.43,8.68,4.32
288,Ghana,4.81,5.62,4.13
300,Greece,6.28,8.78,4.12
312,"France, Guadeloupe",12.28,17.28,8.32
316,Guam,6.12,7.12,5.17
320,Guatemala,12.18,11.37,12.87
324,Guinea,4.69,6.43,3.51
