code,country,both,male,female
004,Afghanistan,1.0,0.55,1.46
008,Albania,1.11,0.79,1.44
012,Algeria,5.4,1.87,8.95
024,Angola,0.73,0.66,0.8
031,Azerbaijan,2.88,1.79,3.84
032,Argentina,8.02,2.57,13.16
036,Australia,10.96,5.29,16.59
040,Austria,7.02,3.95,10.12
044,Bahamas,4.38,5.36,3.29
048,Bahrain,2.67,1.29,5.15
050,Bangladesh,0.99,0.65,1.33
051,Armenia,3.76,2.66,4.52
052,Barbados,3.43,0.5,6.03
056,Belgium,6.89,3.59,10.25
064,Bhutan,0.84,0.27,1.5
068,Bolivia,2.12,0.9,3.33
070,Bosnia Herzegovina,2.86,1.19,4.5
072,Botswana,0.47,0.0,0.84
076,Brazil,11.78,4.49,18.64
084,Belize,3.14,0.55,5.58
090,Solomon Islands,8.3,2.23,14.18
096,Brunei Darussalam,6.3,2.27,10.52
100,Bulgaria,4.38,1.55,7.26
104,Myanmar,2.85,1.44,4.11
108,Burundi,1.32,0.8,1.79
112,Belarus,9.04,3.9,13.78
116,Cambodia,4.67,1.86,7.02
120,Cameroon,0.75,0.34,1.13
124,Canada,10.69,6.31,15.08
132,Cape Verde,0.6,0.0,1.14
140,Central African Republic,1.28,0.75,1.65
144,Sri Lanka,6.68,2.43,10.53
148,Chad,5.12,1.59,8.48
152,Chile,4.52,1.5,7.47
156,China,24.64,13.25,36.51
170,Colombia,8.05,2.95,12.72
174,Comoros,0.54,0.0,1.07
178,"Congo, Republic of",0.45,0.66,0.26
180,"Congo, Democratic Republic of",0.85,0.76,0.94
188,Costa Rica,13.79,3.89,23.54
191,Croatia,14.03,5.6,22.35
192,Cuba,4.3,1.31,7.29
196,Cyprus,31.81,12.03,51.57
203,Czechia,9.02,3.71,14.42
204,Benin,0.62,0.03,1.12
208,Denmark,7.96,4.86,11.06
214,Dominican Republic,2.33,1.44,3.2
218,Ecuador,6.71,2.26,11.05
222,El Salvador,2.36,1.38,3.07
226,Equatorial Guinea,0.23,0.0,0.59
231,Ethiopia,3.82,2.11,5.44
232,Eritrea,3.32,1.74,4.75
233,Estonia,4.05,2.24,5.67
242,Fiji,8.73,2.76,14.47
246,Finland,8.07,3.85,12.33
250,France (metropolitan),10.96,5.17,16.54
254,French Guyana,4.22,0.0,8.29
258,French Polynesia,16.85,5.29,28.63
262,Djibouti,2.95,1.28,4.73
266,Gabon,0.68,0.19,1.2
268,Georgia,4.61,1.17,7.79
270,The Republic of the Gambia,0.42,0.17,0.64
275,Gaza Strip and West Bank,4.88,2.28,7.52
276,Germany,5.64,2.77,8.59
288,Ghana,0.57,0.48,0.65
300,Greece,5.67,3.17,8.03
312,"France, Guadeloupe",4.29,0.98,6.93
316,Guam,6.54,0.0,13.19
320,Guatemala,3.7,2.02,5.08
324,Guinea,0.48,0.42,0.53
328,Guyana,0.85,0.74,0.91
332,Haiti,1.19,1.24,1.14
340,Honduras,4.76,1.19,8.14
348,Hungary,16.27,6.76,25.76
352,Iceland,6.94,3.04,10.91
356,India,1.46,0.81,2.15
360,Indonesia,4.51,2.81,6.22
364,"Iran, Islamic Republic of",4.0,1.89,6.12
