code,country,both,male,female
004,Afghanistan,7.22,11.03,3.64
008,Albania,25.28,41.51,10.27
012,Algeria,11.32,19.52,3.21
024,Angola,2.4,3.28,1.6
031,Azerbaijan,19.35,37.51,5.16
032,Argentina,19.87,29.98,12.06
036,Australia,24.08,27.05,21.49
040,Austria,27.16,31.15,23.86
044,Bahamas,8.78,13.06,5.32
048,Bahrain,10.05,15.07,5.33
050,Bangladesh,8.8,13.45,4.0
051,Armenia,28.95,57.38,9.08
052,Barbados,9.42,13.19,6.02
056,Belgium,32.69,42.31,24.37
064,Bhutan,7.03,6.53,7.6
068,Bolivia,8.48,11.55,5.97
070,Bosnia Herzegovina,36.06,59.51,15.67
072,Botswana,3.62,6.46,1.65
076,Brazil,14.62,18.34,11.74
084,Belize,8.79,13.59,3.97
090,Solomon Islands,6.18,9.4,3.15
096,Brunei Darussalam,24.03,25.55,22.57
100,Bulgaria,27.13,43.8,13.27
104,Myanmar,16.07,21.59,12.19
108,Burundi,3.41,4.18,2.84
112,Belarus,26.03,56.48,5.48
116,Cambodia,15.7,23.93,9.92
120,Cameroon,3.06,4.37,1.94
124,Canada,32.39,34.86,30.35
132,Cape Verde,2.19,1.82,2.47
140,Central African Republic,2.04,2.68,1.46
144,Sri Lanka,6.66,11.23,3.13
148,Chad,1.99,3.48,0.64
152,Chile,12.7,16.98,9.23
156,China,40.78,52.03,30.34
170,Colombia,10.08,13.12,7.61
174,Comoros,1.79,2.63,1.08
178,"Congo, Republic of",1.37,2.08,0.8
180,"Congo, Democratic Republic of",2.17,2.78,1.64
188,Costa Rica,6.75,9.73,4.07
191,Croatia,37.05,56.35,21.62
192,Cuba,29.75,38.29,22.35
196,Cyprus,27.04,41.35,14.61
203,Czechia,23.72,31.27,17.57
204,Benin,1.49,2.07,1.13
208,Denmark,34.21,34.27,34.4
214,Dominican Republic,12.81,15.07,10.82
218,Ecuador,6.29,6.62,6.04
222,El Salvador,4.66,5.21,4.28
226,Equatorial Guinea,2.72,2.91,2.47
231,Ethiopia,3.69,3.88,3.52
232,Eritrea,3.21,3.69,2.75
233,Estonia,25.84,45.02,12.62
242,Fiji,6.79,9.06,4.85
246,Finland,19.18,25.05,14.15
250,France (metropolitan),35.91,49.0,24.73
