code,country,both,male,female
004,Afghanistan,0.18,,0.18
008,Albania,0.62,,0.62
012,Algeria,0.21,,0.21
024,Angola,0.65,,0.65
031,Azerbaijan,0.03,,0.03
032,Argentina,0.32,,0.32
036,Australia,0.43,,0.43
040,Austria,0.33,,0.33
044,Bahamas,0.81,,0.81
048,Bahrain,0.0,,0.0
050,Bangladesh,0.31,,0.31
051,Armenia,0.28,,0.28
052,Barbados,0.0,,0.0
056,Belgium,0.44,,0.44
064,Bhutan,0.0,,0.0
068,Bolivia,0.49,,0.49
070,Bosnia Herzegovina,0.35,,0.35
072,Botswana,0.6,,0.6
076,Brazil,0.28,,0.28
084,Belize,0.0,,0.0
090,Solomon Islands,0.35,,0.35
096,Brunei Darussalam,0.0,,0.0
100,Bulgaria,0.41,,0.41
104,Myanmar,0.21,,0.21
108,Burundi,0.43,,0.43
112,Belarus,0.24,,0.24
116,Cambodia,0.12,,0.12
120,Cameroon,0.59,,0.59
124,Canada,0.53,,0.53
132,Cape Verde,0.0,,0.0
140,Central African Republic,0.21,,0.21
144,Sri Lanka,0.35,,0.35
148,Chad,0.43,,0.43
152,Chile,0.32,,0.32
156,China,0.23,,0.23
170,Colombia,0.51,,0.51
174,Comoros,0.0,,0.0
178,"Congo, Republic of",0.29,,0.29
180,"Congo, Democratic Republic of",0.45,,0.45
188,Costa Rica,0.24,,0.24
191,Croatia,0.36,,0.36
192,Cuba,0.55,,0.55
196,Cyprus,0.0,,0.0
203,Czechia,0.43,,0.43
204,Benin,0.39,,0.39
208,Denmark,0.3,,0.3
214,Dominican Republic,0.92,,0.92
218,Ecuador,0.28,,0.28
222,El Salvador,0.17,,0.17
226,Equatorial Guinea,0.14,,0.14
231,Ethiopia,0.59,,0.59
232,Eritrea,0.47,,0.47
233,Estonia,0.34,,0.34
242,Fiji,0.46,,0.46
246,Finland,0.33,,0.33
250,France (metropolitan),0.33,,0.33
254,French Guyana,0.0,,0.0
258,French Polynesia,0.0,,0.0
