code,country,both,male,female
004,Afghanistan,0.37,,0.37
008,Albania,1.01,,1.01
012,Algeria,0.41,,0.41
024,Angola,0.91,,0.91
031,Azerbaijan,0.3,,0.3
032,Argentina,0.83,,0.83
036,Australia,1.52,,1.52
040,Austria,1.36,,1.36
044,Bahamas,0.0,,0.0
048,Bahrain,0.15,,0.15
050,Bangladesh,0.37,,0.37
051,Armenia,0.48,,0.48
052,Barbados,1.51,,1.51
056,Belgium,1.91,,1.91
064,Bhutan,0.0,,0.0
068,Bolivia,0.51,,0.51
070,Bosnia Herzegovina,0.8,,0.8
072,Botswana,2.61,,2.61
076,Brazil,0.84,,0.84
084,Belize,0.0,,0.0
090,Solomon Islands,0.0,,0.0
096,Brunei Darussalam,0.0,,0.0
100,Bulgaria,1.11,,1.11
104,Myanmar,0.47,,0.47
108,Burundi,1.28,,1.28
112,Belarus,1.29,,1.29
116,Cambodia,0.5,,0.5
120,Cameroon,0.87,,0.87
124,Canada,2.18,,2.18
132,Cape Verde,0.32,,0.32
140,Central African Republic,1.32,,1.32
144,Sri Lanka,0.25,,0.25
148,Chad,0.62,,0.62
152,Chile,0.6,,0.6
160,China,0.32,,0.32
170,Colombia,1.09,,1.09
174,Comoros,1.64,,1.64
178,"Congo, Republic of",1.55,,1.55
180,"Congo, Democratic Republic of",1.22,,1.22
188,Costa Rica,0.67,,0.67
191,Croatia,1.63,,1.63
192,Cuba,0.98,,0.98
196,Cyprus,0.96,,0.96
203,Czechia,1.87,,1.87
204,Benin,0.88,,0.88
208,Denmark,2.83,,2.83
214,Dominican Republic,0.13,,0.13
218,Ecuador,0.66,,0.66
222,El Salvador,0.48,,0.48
226,Equatorial Guinea,0.0,,0.0
231,Ethiopia,1.13,,1.13
232,Eritrea,1.26,,1.26
233,Estonia,1.35,,1.35
242,Fiji,0.0,,0.0
246,Finland,1.7,,1.7
250,France (metropolitan),1.13,,1.13
254,French Guyana,0.0,,0.0
258,French Polynesia,0.0,,0.0
262,Djibouti,0.86,,0.86
266,Gabon,0.24,,0.24
268,Georgia,1.17,,1.17
270,The Republic of the Gambia,0.11,,0.11
275,Gaza Strip and West Bank,0.35,,0.35
276,Germany,3.67,,3.67
288,Ghana,0.65,,0.65
300,Greece,1.02,,1.02
312,"France, Guadeloupe",0.66,,0.66
316,Guam,0.0,,0.0
320,Guatemala,0.2,,0.2
324,Guinea,0.4,,0.4
328,Guyana,0.67,,0.67
332,Haiti,0.06,,0.06
340,Honduras,0.59,,0.59
348,Hungary,1.58,,1.58
352,Iceland,1.87,,1.87
356,India,0.43,,0.43
360,Indonesia,0.84,,0.84
364,"Iran, Islamic Republic of",0.1,,0.1
368,Iraq,0.22,,0.22
372,Ireland,1.55,,1.55
376,Israel,0.85,,0.85
380,Italy,1.57,,1.57
384,Côte d'Ivoire,0.41,,0.41
388,Jamaica,0.37,,0.37
392,Japan,0.49,,0.49
398,Kazakhstan,0.92,,0.92
400,Jordan,0.32,,0.32
404,Kenya,0.94,,0.94
408,"Korea, Democratic People Republic of",0.26,,0.26
410,"Korea, Republic of",0.35,,0.35
414,Kuwait,0.12,,0.12
417,Kyrgyzstan,1.03,,1.03
418,Lao People's Democratic Republic,0.61,,0.61
422,Lebanon,1.12,,1.12
426,Lesotho,2.76,,2.76
428,Latvia,1.63,,1.63
430,Liberia,0.23,,0.23
434,Libya,0.45,,0.45
440,Lithuania,0.95,,0.95
442,Luxembourg,2.02,,2.02
450,Madagascar,1.89,,1.89
454,Malawi,1.13,,1.13
458,Malaysia,0.29,,0.29
462,Maldives,0.0,,0.0
466,Mali,0.83,,0.83
470,Malta,1.44,,1.44
474,"France, Martinique",0.0,,0.0
478,Mauritania,0.86,,0.86
480,Mauritius,0.77,,0.77
484,Mexico,0.56,,0.56
496,Mongolia,0.42,,0.42
498,Moldova,0.95,,0.95
499,Montenegro,0.3,,0.3
504,Morocco,0.88,,0.88
508,Mozambique,2.21,,2.21
512,Oman,0.05,,0.05
516,Namibia,1.74,,1.74
524,Nepal,0.16,,0.16
528,The Netherlands,2.57,,2.57
540,New Caledonia,0.0,,0.0
548,Vanuatu,0.0,,0.0
554,New Zealand,1.37,,1.37
558,Nicaragua,0.49,,0.49
562,Niger,0.24,,0.24
566,Nigeria,1.93,,1.93
578,Norway,1.67,,1.67
586,Pakistan,0.3,,0.3
591,Panama,0.4,,0.4
598,Papua New Guinea,0.44,,0.44
600,Paraguay,0.96,,0.96
604,Peru,1.2,,1.2
608,Philippines,0.35,,0.35
616,Poland,1.39,,1.39
620,Portugal,0.78,,0.78
624,Guinea-Bissau,0.18,,0.18
626,Timor-Leste,0.0,,0.0
630,Puerto Rico,0.73,,0.73
634,Qatar,0.0,,0.0
638,"France, La Réunion",0.99,,0.99
642,Romania,1.81,,1.81
643,Russian Federation,1.14,,1.14
646,Rwanda,1.35,,1.35
662,Saint Lucia,0.92,,0.92
678,Sao Tome and Principe,0.0,,0.0
682,Saudi Arabia,0.14,,0.14
686,Senegal,0.69,,0.69
688,Serbia,1.27,,1.27
694,Sierra Leone,0.0,,0.0
702,Singapore,0.63,,0.63
703,Slovakia,1.87,,1.87
704,Viet Nam,0.28,,0.28
705,Slovenia,1.81,,1.81
706,Somalia,1.08,,1.08
710,South Africa,1.98,,1.98
716,Zimbabwe,2.5,,2.5
724,Spain,1.26,,1.26
728,South Sudan,0.87,,0.87
729,Sudan,1.16,,1.16
740,Suriname,1.18,,1.18
748,Eswatini,5.14,,5.14
752,Sweden,1.71,,1.71
756,Switzerland,0.97,,0.97
760,Syrian Arab Republic,0.56,,0.56
762,Tajikistan,0.3,,0.3
764,Thailand,0.37,,0.37
768,Togo,0.74,,0.74
780,Trinidad and Tobago,0.61,,0.61
784,United Arab Emirates,0.1,,0.1
788,Tunisia,0.54,,0.54
792,Türkiye,0.5,,0.5
795,Turkmenistan,0.54,,0.54
800,Uganda,1.07,,1.07
804,Ukraine,1.1,,1.1
807,North Macedonia,0.33,,0.33
818,Egypt,0.53,,0.53
826,United Kingdom,1.93,,1.93
834,"Tanzania, United Republic of",1.32,,1.32
840,United States of America,1.83,,1.83
854,Burkina Faso,0.47,,0.47
858,Uruguay,1.07,,1.07
860,Uzbekistan,0.47,,0.47
862,Venezuela,0.49,,0.49
882,Samoa,0.0,,0.0
887,Yemen,0.24,,0.24
894,Zambia,1.74,,1.74
