Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,004,Afghanistan,AFG,0,0,106.24
39,All cancers,008,Albania,ALB,0,0,160.77
39,All cancers,012,Algeria,DZA,0,0,141.17
39,All cancers,024,Angola,AGO,0,0,133.47
39,All cancers,031,Azerbaijan,AZE,0,0,152.34
39,All cancers,032,Argentina,ARG,0,0,215.82
39,All cancers,036,Australia,AUS,0,0,462.51
39,All cancers,040,Austria,AUT,0,0,258.47
39,All cancers,044,Bahamas,BHS,0,0,192.73
39,All cancers,048,Bahrain,BHR,0,0,113.76
39,All cancers,050,Bangladesh,BGD,0,0,105.59
39,All cancers,051,Armenia,ARM,0,0,201.57
39,All cancers,052,Barbados,BRB,0,0,205.34
39,All cancers,056,Belgium,BEL,0,0,324.67
39,All cancers,064,Bhutan,BTN,0,0,87.62
39,All cancers,068,Bolivia,BOL,0,0,143.77
39,All cancers,070,Bosnia Herzegovina,BIH,0,0,218.58
39,All cancers,072,Botswana,BWA,0,0,115.41
39,All cancers,076,Brazil,BRA,0,0,214.43
39,All cancers,084,Belize,BLZ,0,0,114.72
39,All cancers,090,Solomon Islands,SLB,0,0,134.8
39,All cancers,096,Brunei Darussalam,BRN,0,0,192.22
39,All cancers,100,Bulgaria,BGR,0,0,222.03
39,All cancers,104,Myanmar,MMR,0,0,135.5
39,All cancers,108,Burundi,BDI,0,0,128.2
39,All cancers,112,Belarus,BLR,0,0,273.23
39,All cancers,116,Cambodia,KHM,0,0,138.3
39,All cancers,120,Cameroon,CMR,0,0,126.02
39,All cancers,124,Canada,CAN,0,0,345.94
39,All cancers,132,Cape Verde,CPV,0,0,87.01
39,All cancers,140,Central African Republic,CAF,0,0,101.8
39,All cancers,144,Sri Lanka,LKA,0,0,106.94
39,All cancers,148,Chad,TCD,0,0,118.14
39,All cancers,152,Chile,CHL,0,0,188.67
39,All cancers,156,China,CHN,0,0,201.61
39,All cancers,170,Colombia,COL,0,0,177.62
39,All cancers,174,Comoros,COM,0,0,106.81
39,All cancers,178,"Congo, Republic of",COG,0,0,80.73
39,All cancers,180,"Congo, Democratic Republic of",COD,0,0,102.99
39,All cancers,188,Costa Rica,CRI,0,0,177.73
39,All cancers,191,Croatia,HRV,0,0,313.4
39,All cancers,192,Cuba,CUB,0,0,220.76
39,All cancers,196,Cyprus,CYP,0,0,292.27
39,All cancers,203,Czechia,CZE,0,0,280.9
39,All cancers,204,Benin,BEN,0,0,102.63
39,All cancers,208,Denmark,DNK,0,0,374.69
39,All cancers,214,Dominican Republic,DOM,0,0,167.02
39,All cancers,218,Ecuador,ECU,0,0,152.7
39,All cancers,222,El Salvador,SLV,0,0,127.11
