Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,004,Afghanistan,AFG,2,0,110.68
39,All cancers,008,Albania,ALB,2,0,147.65
39,All cancers,012,Algeria,DZA,2,0,152.22
39,All cancers,024,Angola,AGO,2,0,137.33
39,All cancers,031,Azerbaijan,AZE,2,0,131.77
39,All cancers,032,Argentina,ARG,2,0,208.74
39,All cancers,036,Australia,AUS,2,0,415.21
39,All cancers,040,Austria,AUT,2,0,235.74
39,All cancers,044,Bahamas,BHS,2,0,177.63
39,All cancers,048,Bahrain,BHR,2,0,137.35
39,All cancers,050,Bangladesh,BGD,2,0,89.51
39,All cancers,051,Armenia,ARM,2,0,163.87
39,All cancers,052,Barbados,BRB,2,0,190.66
39,All cancers,056,Belgium,BEL,2,0,306.62
39,All cancers,064,Bhutan,BTN,2,0,84.47
39,All cancers,068,Bolivia,BOL,2,0,159.4
39,All cancers,070,Bosnia Herzegovina,BIH,2,0,194.16
39,All cancers,072,Botswana,BWA,2,0,119.38
39,All cancers,076,Brazil,BRA,2,0,197.56
39,All cancers,084,Belize,BLZ,2,0,118.17
39,All cancers,090,Solomon Islands,SLB,2,0,154.42
39,All cancers,096,Brunei Darussalam,BRN,2,0,215.97
39,All cancers,100,Bulgaria,BGR,2,0,203.24
39,All cancers,104,Myanmar,MMR,2,0,129.82
39,All cancers,108,Burundi,BDI,2,0,134.6
39,All cancers,112,Belarus,BLR,2,0,223.63
39,All cancers,116,Cambodia,KHM,2,0,129.96
39,All cancers,120,Cameroon,CMR,2,0,139.9
39,All cancers,124,Canada,CAN,2,0,331.84
39,All cancers,132,Cape Verde,CPV,2,0,78.33
39,All cancers,140,Central African Republic,CAF,2,0,109.96
39,All cancers,144,Sri Lanka,LKA,2,0,105.96
39,All cancers,148,Chad,TCD,2,0,94.39
39,All cancers,152,Chile,CHL,2,0,165.05
39,All cancers,156,China,CHN,2,0,197.03
