Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,004,Afghanistan,AFG,1,0,103.6
39,All cancers,008,Albania,ALB,1,0,176.87
39,All cancers,012,Algeria,DZA,1,0,130.63
39,All cancers,024,Angola,AGO,1,0,132.33
39,All cancers,031,Azerbaijan,AZE,1,0,181.24
39,All cancers,032,Argentina,ARG,1,0,231.79
39,All cancers,036,Australia,AUS,1,0,514.3
39,All cancers,040,Austria,AUT,1,0,287.62
39,All cancers,044,Bahamas,BHS,1,0,214.38
39,All cancers,048,Bahrain,BHR,1,0,105.47
39,All cancers,050,Bangladesh,BGD,1,0,120.83
39,All cancers,051,Armenia,ARM,1,0,257.5
39,All cancers,052,Barbados,BRB,1,0,224.54
39,All cancers,056,Belgium,BEL,1,0,350.82
39,All cancers,064,Bhutan,BTN,1,0,90.46
39,All cancers,068,Bolivia,BOL,1,0,129.56
39,All cancers,070,Bosnia Herzegovina,BIH,1,0,251.7
39,All cancers,072,Botswana,BWA,1,0,114.12
39,All cancers,076,Brazil,BRA,1,0,240.09
39,All cancers,084,Belize,BLZ,1,0,110.14
39,All cancers,090,Solomon Islands,SLB,1,0,114.78
39,All cancers,096,Brunei Darussalam,BRN,1,0,171.68
39,All cancers,100,Bulgaria,BGR,1,0,253.92
39,All cancers,104,Myanmar,MMR,1,0,147.15
39,All cancers,108,Burundi,BDI,1,0,123.49
39,All cancers,112,Belarus,BLR,1,0,360.45
39,All cancers,116,Cambodia,KHM,1,0,152.93
39,All cancers,120,Cameroon,CMR,1,0,113.29
39,All cancers,124,Canada,CAN,1,0,365.85
39,All cancers,132,Cape Verde,CPV,1,0,108.62
39,All cancers,140,Central African Republic,CAF,1,0,96.65
39,All cancers,144,Sri Lanka,LKA,1,0,110.6
39,All cancers,148,Chad,TCD,1,0,147.39
39,All cancers,152,Chile,CHL,1,0,221.67
39,All cancers,156,China,CHN,1,0,209.61
39,All cancers,170,Colombia,COL,1,0,183.28
39,All cancers,174,Comoros,COM,1,0,92.94
39,All cancers,178,"Congo, Republic of",COG,1,0,84.21
39,All cancers,180,"Congo, Democratic Republic of",COD,1,0,100.1
39,All cancers,188,Costa Rica,CRI,1,0,185.46
39,All cancers,191,Croatia,HRV,1,0,367.33
39,All cancers,192,Cuba,CUB,1,0,247.37
39,All cancers,196,Cyprus,CYP,1,0,289.87
39,All cancers,203,Czechia,CZE,1,0,317.52
39,All cancers,204,Benin,BEN,1,0,108.18
39,All cancers,208,Denmark,DNK,1,0,393.96
39,All cancers,214,Dominican Republic,DOM,1,0,186.69
39,All cancers,218,Ecuador,ECU,1,0,143.28
39,All cancers,222,El Salvador,SLV,1,0,126.5
39,All cancers,226,Equatorial Guinea,GNQ,1,0,93.74
39,All cancers,231,Ethiopia,ETH,1,0,75.78
39,All cancers,232,Eritrea,ERI,1,0,78.68
39,All cancers,233,Estonia,EST,1,0,356.43
39,All cancers,242,Fiji,FJI,1,0,150.27
39,All cancers,246,Finland,FIN,1,0,294.85
39,All cancers,250,France (metropolitan),FRA,1,0,386.38
39,All cancers,254,French Guyana,GUF,1,0,250.52
39,All cancers,258,French Polynesia,PYF,1,0,247.06
39,All cancers,262,Djibouti,DJI,1,0,71.63
39,All cancers,266,Gabon,GAB,1,0,96.38
39,All cancers,268,Georgia,GEO,1,0,246.81
39,All cancers,270,The Republic of the Gambia,GMB,1,0,74.73
39,All cancers,275,Gaza Strip and West Bank,PSE,1,0,165.52
39,All cancers,276,Germany,DEU,1,0,306.5
39,All cancers,288,Ghana,GHA,1,0,106.17
39,All cancers,300,Greece,GRC,1,0,294.98
39,All cancers,312,"France, Guadeloupe",GLP,1,0,340.23
39,All cancers,316,Guam,GUM,1,0,184.99
39,All cancers,320,Guatemala,GTM,1,0,119.57
39,All cancers,324,Guinea,GIN,1,0,108.89
39,All cancers,328,Guyana,GUY,1,0,130.12
39,All cancers,332,Haiti,HTI,1,0,161.28
39,All cancers,340,Honduras,HND,1,0,131.17
39,All cancers,348,Hungary,HUN,1,0,395.92
