Country,liters of pure alcohol,Code
Cook Islands,12.97,184
Latvia,12.9,428
Czechia,12.73,203
Lithuania,11.93,440
Austria,11.9,040
Antigua and Barbuda,11.88,028
Estonia,11.65,233
France,11.44,250
Bulgaria,11.18,100
Slovenia,11.05,705
Luxembourg,11.0,442
Andorra,10.99,020
Poland,10.96,616
Romania,10.96,642
Ireland,10.91,372
Hungary,10.79,348
Spain,10.72,724
Belarus,10.57,112
Germany,10.56,276
Portugal,10.37,620
Slovakia,10.3,703
Barbados,9.94,052
Montenegro,9.91,499
United Kingdom,9.8,826
Croatia,9.64,191
Cyprus,9.59,196
Australia,9.51,036
Seychelles,9.48,690
"Bahamas, The",9.48,
Switzerland,9.41,756
Saint Lucia,9.3,662
New Zealand,9.17,554
Denmark,9.16,208
Belgium,9.15,056
United States,8.93,840
Saint Kitts and Nevis,8.84,659
Grenada,8.62,308
Niue,8.5,570
Japan,8.36,392
Netherlands,8.23,528
Finland,8.23,246
Laos,8.15,418
Malta,8.07,470
Canada,8.0,124
Argentina,7.95,032
Tanzania,7.81,834
Chile,7.8,152
"Korea, South",7.74,
Iceland,7.72,352
Eswatini,7.68,748
Italy,7.65,380
Saint Vincent and the Grenadines,7.48,670
Georgia,7.45,268
Moldova,7.45,498
Serbia,7.45,688
Russia,7.29,
Burkina Faso,7.28,854
South Africa,7.21,710
Sweden,7.1,752
Thailand,6.86,764
Uganda,6.82,800
Suriname,6.6,740
Panama,6.54,591
Gabon,6.47,266
Rwanda,6.35,646
Greece,6.33,300
Dominica,6.32,212
Brazil,6.12,076
Equatorial Guinea,6.11,226
Norway,6.05,578
Botswana,5.98,072
Belize,5.93,084
Angola,5.84,024
Trinidad and Tobago,5.81,780
"Congo, Republic of the",5.74,
Peru,5.74,604
Ukraine,5.69,804
Dominican Republic,5.56,214
Paraguay,5.47,600
Mongolia,5.46,496
Bosnia and Herzegovina,5.46,070
Uruguay,5.42,858
Guyana,5.11,328
Philippines,4.85,608
Cuba,4.7,192
Cabo Verde,4.7,132
Cambodia,4.56,116
Nigeria,4.49,566
China,4.48,156
Albania,4.4,008
Mexico,4.25,484
Sao Tome and Principe,4.23,678
Colombia,4.09,170
Cameroon,4.09,120
Burundi,4.07,108
Kyrgyzstan,4.02,417
North Macedonia,3.9,807
Zambia,3.82,894
Armenia,3.77,051
Kazakhstan,3.73,398
Nicaragua,3.69,558
"Korea, North",3.61,
Lesotho,3.56,426
Jamaica,3.46,388
Vietnam,3.41,704
Mauritius,3.39,480
Sierra Leone,3.22,694
Guinea-Bissau,3.21,624
Liberia,3.12,430
Zimbabwe,3.11,716
India,3.09,356
Israel,3.07,376
Costa Rica,3.07,188
Ecuador,3.05,218
Bolivia,2.98,068
El Salvador,2.94,222
Turkmenistan,2.88,795
Haiti,2.85,332
Honduras,2.73,340
Fiji,2.71,242
"Gambia, The",2.67,
Sri Lanka,2.58,144
Venezuela,2.51,862
Uzbekistan,2.45,860
Nauru,2.44,520
Namibia,2.38,516
Samoa,2.18,882
Burma,2.06,
Malawi,2.04,454
United Arab Emirates,2.03,784
Sudan,1.93,729
Singapore,1.81,702
Cote d'Ivoire,1.7,
Kenya,1.68,404
Guatemala,1.63,320
Vanuatu,1.6,548
Ghana,1.59,288
"Micronesia, Federated States of",1.59,583
Tunisia,1.51,788
Mozambique,1.46,508
Togo,1.4,768
Maldives,1.38,462
Azerbaijan,1.38,031
Papua New Guinea,1.26,598
Benin,1.25,204
Solomon Islands,1.19,090
Turkey (Turkiye),1.18,
Bahrain,1.18,048
Ethiopia,1.16,231
Lebanon,1.14,422
Qatar,0.96,634
Central African Republic,0.94,140
Eritrea,0.93,232
Tuvalu,0.93,798
Madagascar,0.89,450
Tajikistan,0.85,762
Brunei,0.69,
Malaysia,0.64,458
Mali,0.6,466
Algeria,0.59,012
"Congo, Democratic Republic of the",0.56,
Chad,0.55,148
Morocco,0.51,504
Oman,0.47,512
Kiribati,0.43,296
Timor-Leste,0.41,626
Nepal,0.36,524
Guinea,0.33,324
Tonga,0.31,776
Senegal,0.25,686
Jordan,0.25,400
Djibouti,0.21,262
Comoros,0.18,174
Iraq,0.16,368
Egypt,0.14,818
Syria,0.13,760
Niger,0.11,562
Indonesia,0.08,360
Bhutan,0.07,064
Pakistan,0.04,586
Iran,0.02,364
Yemen,0.02,887
Afghanistan,0.01,004
Libya,0.01,434
Saudi Arabia,0.0,682
Mauritania,0.0,478
Bangladesh,0.0,050
Somalia,0.0,706
Kuwait,0.0,414
