country,code,both,male,female
Afghanistan,004,0.01618,0.03,0.0
Albania,008,5.10935,,
Algeria,012,0.61271,1.07,0.14
Andorra,020,11.05154,16.94,5.0
Angola,024,6.17199,9.82,2.71
Antigua and Barbuda,028,8.51359,14.02,3.63
Argentina,032,8.03999,12.56,3.71
Armenia,051,4.98389,8.67,2.15
Australia,036,10.0908,15.62,4.74
Austria,040,11.97275,18.81,5.46
Azerbaijan,031,1.96779,3.51,0.54
Bahamas,044,4.39408,7.2,1.87
Bahrain,048,1.58154,2.23,0.34
Bangladesh,050,0.00516,0.01,0.0
Barbados,052,9.46831,15.67,3.91
Belarus,112,10.90107,18.19,4.89
Belgium,056,10.28089,16.16,4.65
Belize,084,5.71321,9.04,2.38
Benin,204,8.34555,13.52,3.27
Bhutan,064,0.19989,0.32,0.06
Bolivia,068,4.09584,6.3,1.9
Bosnia and Herzegovina,070,6.3848,10.75,2.23
Botswana,072,8.16316,13.82,2.81
Brazil,076,7.67496,12.32,3.27
Brunei,096,0.4118,0.66,0.14
Bulgaria,100,11.91963,19.51,4.91
Burkina Faso,854,9.81281,16.59,3.31
Burundi,108,4.12798,6.81,1.54
Cambodia,116,8.48211,13.8,3.43
Cameroon,120,10.1012,16.18,4.14
Canada,124,9.89647,15.59,4.34
Cape Verde,132,6.27088,10.01,2.63
Central African Republic,140,1.98657,3.2,0.79
Chad,148,3.73055,6.3,1.2
Chile,152,6.74572,10.51,3.09
China,156,5.72525,9.09,2.28
Colombia,170,4.91572,8.06,1.91
Comoros,174,0.25281,0.45,0.06
Congo,178,6.39562,10.13,2.72
Costa Rica,188,3.45249,5.62,1.3
Cote d'Ivoire,384,2.80459,4.61,0.95
Croatia,191,8.54359,13.79,3.68
Cuba,192,6.01384,9.77,2.34
Cyprus,196,8.05289,12.7,3.43
Czechia,203,13.28805,21.09,5.84
Democratic Republic of Congo,180,2.11786,3.41,0.86
Denmark,208,9.40172,14.64,4.29
Djibouti,262,0.40234,0.72,0.1
Dominica,212,6.09709,9.76,2.44
Dominican Republic,214,6.76339,10.7,2.82
Ecuador,218,3.25713,5.05,1.49
Egypt,818,0.14772,0.26,0.04
El Salvador,222,3.28108,5.56,1.32
Equatorial Guinea,226,6.94451,10.42,2.79
Eritrea,232,1.22926,2.15,0.37
Estonia,233,11.26302,18.4,5.11
Eswatini,748,8.09183,13.66,2.73
Ethiopia,231,3.36259,5.71,1.04
Fiji,242,3.44896,5.74,1.16
Finland,246,9.15577,14.38,4.14
France,250,11.30123,18.04,5.14
Gabon,266,7.33414,11.46,2.94
Gambia,270,1.11406,1.91,0.34
Georgia,268,14.32856,24.31,5.86
Germany,276,12.21997,19.22,5.49
Ghana,288,4.54779,7.41,1.75
