country,both,male,female,code
Algeria,33.6,26.9,40.2,012
Andorra,38.4,36.8,40.0,020
Argentina,41.6,37.6,45.3,032
Armenia,22.6,23.3,22.1,051
Australia,30.4,27.0,33.6,036
Austria,30.1,26.4,33.6,040
Bahamas,43.3,30.0,55.6,044
Bangladesh,27.8,16.1,39.5,050
Barbados,42.9,29.3,54.9,052
Belarus,14.1,13.7,14.4,112
Belgium,35.7,30.6,40.6,056
Benin,15.9,13.6,18.1,204
Bhutan,23.0,17.7,29.5,064
Bosnia and Herzegovina,25.5,22.8,28.0,070
Botswana,21.7,17.1,26.3,072
Brazil,47.0,40.4,53.3,076
Brunei Darussalam,27.3,21.2,33.9,096
Bulgaria,38.6,35.6,41.4,100
Burkina Faso,20.3,17.7,22.7,854
Cote d'Ivoire,33.1,29.1,37.3,384
Cabo Verde,19.7,14.1,25.0,132
Cambodia,10.5,9.8,11.1,116
Cameroon,28.5,21.8,35.2,120
Canada,28.6,25.7,31.4,124
Central African Republic,14.3,12.6,15.9,140
Chad,23.3,19.6,26.9,148
Chile,26.6,24.4,28.6,152
China,14.1,16.0,12.2,156
Colombia,44.0,38.8,48.9,170
Comoros,14.3,9.6,19.0,174
Congo,28.0,24.8,31.3,178
Cook Islands,18.5,9.8,27.2,184
Costa Rica,46.1,37.7,54.3,188
Croatia,31.1,25.9,35.8,191
Cuba,36.9,30.9,42.8,192
Cyprus,44.4,38.4,50.5,196
Czechia,31.1,28.1,33.9,203
Democratic Republic of the Congo,23.8,20.8,26.8,180
Denmark,28.5,25.7,31.2,208
Dominica,21.6,13.4,29.8,212
Dominican Republic,39.0,34.4,43.4,214
Ecuador,27.2,24.6,29.7,218
Egypt,31.0,23.2,38.8,818
Eritrea,22.4,13.8,30.7,232
Estonia,32.0,28.9,34.6,233
Eswatini,28.0,23.8,32.1,748
Ethiopia,14.9,11.3,18.3,231
Fiji,17.4,10.8,24.1,242
Finland,16.6,17.2,16.0,246
France,29.3,24.3,34.0,250
Gabon,25.3,17.7,33.2,266
Gambia,21.1,16.0,25.9,270
Georgia,18.0,17.3,18.6,268
Germany,42.2,40.2,44.1,276
Ghana,21.8,18.6,24.8,288
Greece,37.7,33.9,41.1,300
Grenada,28.7,21.9,35.4,308
Guatemala,37.1,37.1,37.1,320
Guinea,14.5,10.6,18.4,324
Hungary,38.5,33.1,43.3,348
India,34.0,24.7,43.9,356
Indonesia,22.6,23.5,21.7,360
Iran (Islamic Republic of),33.2,23.1,43.4,364
Iraq,52.0,39.5,64.6,368
Ireland,32.7,28.3,37.1,372
Italy,41.4,36.2,46.2,380
Jamaica,32.6,28.4,36.6,388
Japan,35.5,33.8,37.0,392
Jordan,11.9,10.3,13.5,400
Kazakhstan,27.5,26.1,28.7,398
Kenya,15.4,13.9,16.9,404
Kiribati,40.4,34.5,45.8,296
Kuwait,67.0,61.3,74.6,414
Kyrgyzstan,13.9,10.9,16.7,417
Lao People's Democratic Republic,16.3,11.7,20.6,418
Latvia,29.5,25.4,32.9,428
Lebanon,36.4,39.8,33.0,422
Lesotho,6.3,6.5,6.0,426
Liberia,25.1,21.7,28.5,430
Libya,36.4,31.2,41.5,434
Lithuania,26.5,23.2,29.2,440
Luxembourg,28.4,26.4,30.4,442
Madagascar,17.2,12.8,21.4,450
