Country,Both,Male,Female,Code
Afghanistan,34.2 [20.5-48.0],53.1 [32.5-73.8],15.3 [8.5-22.1],004
Albania,31.6 [25.8-37.4],53.6 [44.2-62.9],9.6 [7.4-11.8],008
Algeria,22.3 [14.2-30.5],43.1 [27.4-58.8],1.5 [0.9-2.1],012
Andorra,35.8 [27.6-43.9],41.3 [32.1-50.5],30.3 [23.2-37.3],020
Argentina,31.5 [26.0-37.1],37.2 [30.6-43.7],25.9 [21.3-30.5],032
Armenia,30.8 [25.7-35.9],59.3 [49.7-68.9],2.3 [1.8-2.8],051
Australia,21.2 [17.7-24.7],23.4 [19.6-27.2],19.0 [15.9-22.2],036
Austria,44.4 [34.9-53.9],48.2 [38.1-58.4],40.5 [31.7-49.3],040
Azerbaijan,26.1 [16.4-35.9],52.0 [32.6-71.3],0.3 [0.1-0.4],031
Bahamas,11.7 [8.0-15.4],19.5 [13.5-25.5],4.0 [2.5-5.4],044
Bahrain,20.0 [14.5-25.5],33.2 [24.3-42.1],6.7 [4.6-8.9],048
Bangladesh,50.7 [41.1-60.3],63.1 [52.0-74.2],38.3 [30.2-46.5],050
Barbados,8.8 [6.0-11.6],14.5 [10.0-18.9],3.1 [1.9-4.2],052
Belarus,39.5 [31.8-47.2],63.9 [51.6-76.2],15.0 [12.0-18.1],112
Belgium,29.9 [24.5-35.3],35.3 [29.2-41.4],24.5 [19.8-29.2],056
Belize,12.3 [7.7-16.9],21.8 [13.8-29.8],2.8 [1.6-4.0],084
Benin,13.8 [10.5-17.1],23.7 [18.2-29.1],3.9 [2.9-5.0],204
Bhutan,28.4 [17.3-39.6],33.4 [20.3-46.6],23.4 [14.2-32.6],064
Bolivia (Plurinational State of),26.6 [14.8-38.4],34.8 [16.8-52.8],18.4 [12.9-24.0],
Bosnia and Herzegovina,43.7 [33.8-53.7],53.9 [41.7-66.2],33.5 [25.8-41.2],070
Botswana,29.4 [21.7-37.2],37.5 [27.7-47.3],21.4 [15.6-27.1],072
Brazil,20.3 [16.6-24.1],25.3 [20.6-30.0],15.4 [12.5-18.2],076
Brunei Darussalam,16.8 [12.2-21.4],29.4 [21.7-37.1],4.2 [2.7-5.7],096
Bulgaria,44.9 [35.5-54.3],53.8 [42.8-64.7],36.0 [28.2-43.8],100
Burkina Faso,25.2 [17.6-32.8],32.7 [24.1-41.2],17.7 [11.0-24.5],854
Burundi,21.1 [11.6-30.6],27.6 [15.6-39.7],14.5 [7.5-21.5],108
Cote d'Ivoire,16.7 [9.7-23.7],31.3 [18.5-44.1],2.2 [1.0-3.3],
Cabo Verde,17.4 [12.5-22.2],24.3 [18.1-30.6],10.4 [6.9-13.9],132
Cambodia,34.4 [28.1-40.7],51.9 [43.2-60.7],16.9 [13.1-20.8],116
Cameroon,12.8 [8.4-17.2],22.1 [14.7-29.6],3.5 [2.2-4.9],120
Canada,23.5 [20.0-27.0],25.8 [21.8-29.8],21.2 [18.1-24.3],124
Chad,9.9 [7.6-12.3],17.0 [13.2-20.9],2.8 [1.9-3.6],148
Chile,41.9 [35.4-48.4],45.6 [38.7-52.5],38.2 [32.2-44.3],152
China,26.0 [21.3-30.7],49.3 [40.4-58.2],2.7 [2.3-3.2],156
Colombia,13.4 [9.0-17.9],19.5 [13.2-25.8],7.3 [4.7-9.9],170
Comoros,37.0 [27.0-47.0],39.1 [29.2-49.0],34.8 [24.8-44.9],174
Congo,12.6 [8.8-16.4],20.7 [14.7-26.8],4.5 [2.8-6.1],178
Cook Islands,35.8 [27.8-43.8],41.3 [32.1-50.6],30.3 [23.6-37.1],184
Costa Rica,14.9 [11.7-18.0],21.7 [17.4-26.1],8.0 [6.1-9.9],188
