country,both,code,female,male
Afghanistan,4132,004,4132,4132
Albania,2542,008,2542,2542
Algeria,3253,012,3253,3253
Andorra,2469,020,2469,2469
Angola,5287,024,5287,5287
Antigua and Barbuda,5148,028,5148,5148
Argentina,3476,032,3476,3476
Armenia,2899,051,2899,2899
Australia,3206,036,3206,3206
Austria,1888,040,1888,1888
Azerbaijan,2702,031,2702,2702
Bahamas,4119,044,4119,4119
Bahrain,4419,048,4419,4419
Bangladesh,4029,050,4029,4029
Barbados,5787,052,5787,5787
Belarus,1795,112,1795,1795
Belgium,1645,056,1645,1645
Belize,4639,084,4639,4639
Benin,5168,204,5168,5168
Bhutan,4180,064,4180,4180
Bolivia (Plurinational State of),5344,068,5344,5344
Bosnia and Herzegovina,2205,070,2205,2205
Botswana,4868,072,4868,4868
Brazil,4552,076,4552,4552
Brunei Darussalam,5148,096,5148,5148
Bulgaria,2331,100,2331,2331
Burkina Faso,5567,854,5567,5567
Burundi,5111,108,5111,5111
Cote d'Ivoire,4931,384,4931,4931
Cabo Verde,5372,132,5372,5372
Cambodia,5152,116,5152,5152
Cameroon,5185,120,5185,5185
Canada,1887,124,1887,1887
Central African Republic,5498,140,5498,5498
Chad,5669,148,5669,5669
Chile,3982,152,3982,3982
China,2908,156,2908,2908
Colombia,5385,170,5385,5385
Comoros,5524,174,5524,5524
Congo,4943,178,4943,4943
Cook Islands,4708,184,4708,4708
Costa Rica,4884,188,4884,4884
Croatia,1976,191,1976,1976
Cuba,4401,192,4401,4401
Cyprus,3439,196,3439,3439
Czechia,1707,203,1707,1707
Democratic People's Republic of Korea,2335,408,2335,2335
Democratic Republic of the Congo,5100,180,5100,5100
Denmark,1691,208,1691,1691
Djibouti,5461,262,5461,5461
Dominica,5464,212,5464,5464
Dominican Republic,4880,214,4880,4880
Ecuador,4929,218,4929,4929
Egypt,4202,818,4202,4202
El Salvador,5364,222,5364,5364
Equatorial Guinea,4635,226,4635,4635
Eritrea,5914,232,5914,5914
Estonia,1781,233,1781,1781
Eswatini,3900,748,3900,3900
Ethiopia,5929,231,5929,5929
Fiji,4431,242,4431,4431
Finland,1494,246,1494,1494
France,1907,250,1907,1907
Gabon,4654,266,4654,4654
Gambia,5358,270,5358,5358
Georgia,2489,268,2489,2489
Germany,1812,276,1812,1812
Ghana,5166,288,5166,5166
Greece,2753,300,2753,2753
Grenada,4875,308,4875,4875
Guatemala,5141,320,5141,5141
Guinea,5391,324,5391,5391
Guinea-Bissau,5319,624,5319,5319
Guyana,5203,328,5203,5203
Haiti,5016,332,5016,5016
Honduras,4924,340,4924,4924
Hungary,1932,348,1932,1932
Iceland,957,352,957,957
India,4514,356,4514,4514
Indonesia,5220,360,5220,5220
Iran (Islamic Republic of),4038,364,4038,4038
Iraq,3825,368,3825,3825
Ireland,1509,372,1509,1509
Israel,3682,376,3682,3682
Italy,2444,380,2444,2444
Jamaica,4942,388,4942,4942
Japan,2521,392,2521,2521
Jordan,4026,400,4026,4026
Kazakhstan,2257,398,2257,2257
Kenya,5803,404,5803,5803
Kiribati,6229,296,6229,6229
Kuwait,4214,414,4214,4214
Kyrgyzstan,3094,417,3094,3094
Lao People's Democratic Republic,4735,418,4735,4735
Latvia,1671,428,1671,1671
Lebanon,2953,422,2953,2953
Lesotho,4439,426,4439,4439
Liberia,4926,430,4926,4926
Libya,3861,434,3861,3861
Lithuania,1801,440,1801,1801
Luxembourg,1687,442,1687,1687
Madagascar,4771,450,4771,4771
Malawi,5019,454,5019,5019
Malaysia,5225,458,5225,5225
Maldives,10224,462,10224,10224
Mali,5617,466,5617,5617
Malta,3091,470,3091,3091
Marshall Islands,5325,584,5325,5325
Mauritania,5547,478,5547,5547
Mauritius,5055,480,5055,5055
Mexico,4974,484,4974,4974
Micronesia (Federated States of),4587,583,4587,4587
Monaco,1907,492,1907,1907
Mongolia,2226,496,2226,2226
Morocco,3568,504,3568,3568
Mozambique,4646,508,4646,4646
Myanmar,4565,104,4565,4565
Namibia,5305,516,5305,5305
Nauru,3022,520,3022,3022
Nepal,4130,524,4130,4130
Netherlands (Kingdom of the),1662,528,1662,1662
New Zealand,2487,554,2487,2487
Nicaragua,5078,558,5078,5078
Niger,5811,562,5811,5811
Nigeria,5251,566,5251,5251
Niue,4687,570,4687,4687
North Macedonia,2403,807,2403,2403
Norway,1439,578,1439,1439
Oman,5102,512,5102,5102
Pakistan,4227,586,4227,4227
Palau,5175,585,5175,5175
Panama,4898,591,4898,4898
Papua New Guinea,5377,598,5377,5377
Paraguay,4038,600,4038,4038
Peru,5906,604,5906,5906
Philippines,4928,608,4928,4928
Poland,1749,616,1749,1749
Portugal,2585,620,2585,2585
Qatar,4905,634,4905,4905
Republic of Korea,2535,408,2535,2535
Republic of Moldova,1910,498,1910,1910
Romania,2071,642,2071,2071
Russian Federation,1795,643,1795,1795
Rwanda,5130,646,5130,5130
Saint Kitts and Nevis,5009,659,5009,5009
Saint Lucia,5164,662,5164,5164
Saint Vincent and the Grenadines,5358,670,5358,5358
Samoa,4966,882,4966,4966
San Marino,1932,674,1932,1932
Sao Tome and Principe,4422,678,4422,4422
Saudi Arabia,5384,682,5384,5384
Senegal,5356,686,5356,5356
Seychelles,5570,690,5570,5570
Sierra Leone,5087,694,5087,5087
Singapore,3979,702,3979,3979
Slovakia,1795,703,1795,1795
Slovenia,2256,705,2256,2256
Solomon Islands,4071,090,4071,4071
Somalia,5773,706,5773,5773
South Africa,4111,710,4111,4111
Spain,2705,724,2705,2705
Sri Lanka,5264,144,5264,5264
Sudan,5783,729,5783,5783
Suriname,4799,740,4799,4799
Sweden,1587,752,1587,1587
Switzerland,2158,756,2158,2158
Syrian Arab Republic,3501,760,3501,3501
Turkiye,2924,792,2924,2924
Tajikistan,3538,762,3538,3538
Thailand,4862,764,4862,4862
Timor-Leste,5637,626,5637,5637
Togo,5307,768,5307,5307
Tonga,4087,776,4087,4087
Trinidad and Tobago,5245,780,5245,5245
Tunisia,3262,788,3262,3262
Turkmenistan,3164,795,3164,3164
Tuvalu,5465,798,5465,5465
Uganda,5499,800,5499,5499
Ukraine,1843,804,1843,1843
